Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield
DRREDDY,Dr Reddys Laboratories Ltd.,,76.98,76.85,123.97,764.1,764.1,20.0,640.09,152.9,105.87,102.45,76.95,,23.88,16.54,16,12.02,10.07,13.34,7.86,0.07,65.39,,2.9,2.25,5.27,25.99,16.13,74.01,83.87,,"46,829.39",4.41,18.45,4.33,74,3.63,4.33,0.03
DSSL,Dynacons Systems and Solutions Ltd.,,5.2,5.2,5.35,33.5,33.5,0.0,331.1,13.29,12.5,6.88,4.56,,4.01,3.77,2.07,1.37,13.62,35.67,4.35,1.14,316.26,,1.46,1.2,18.09,0,0.0,0,0.0,,42.53,0.14,3.49,0.08,0,0.82,0.08,0.17
DTIL,Dhunseri Tea & Industries Ltd.,,1.94,1.94,12.65,866.62,866.62,5.0,258.12,18.71,8,3.91,1.94,,7.24,3.09,1.51,0.75,0.22,0.86,0.18,0.05,25.28,,1.35,1.01,8.05,412.78,63.26,-312.78,36.74,,178.86,0.99,13.65,0.83,-312.78,0.25,0.83,0.01
DUCON,Ducon Infratechnologies Ltd.,,0.6,0.6,0.67,7.51,7.51,0.0,37.67,1.82,1.75,0.78,0.61,,4.83,4.65,2.07,1.6,8.06,12.52,2.33,1.39,145.06,,2.05,2.01,78.17,0,0.0,0,0.0,,223.7,0.57,11.74,0.32,0,1.61,0.32,0.05
DVL,Dhunseri Ventures Ltd.,,14.52,14.52,14.68,249.92,249.92,4.0,205.96,29.74,29.58,15.34,14.52,,14.44,14.36,7.44,7.04,5.8,11.08,5.36,0.06,76.08,,31.21,31.21,0,24.1,23.84,75.9,76.16,,364.66,0.51,3.5,0.45,75.89,0.37,0.45,0.16
DWARKESH,Dwarikesh Sugar Industries Ltd.,,5.05,5.05,6.8,24.62,24.62,1.0,57.57,8.77,7.02,5.89,5.05,,15.23,12.19,10.23,8.77,20.51,21.02,6.96,1.37,79.41,,1.29,0.17,1.32,0,0.0,0,0.0,,"1,216.11",1.12,7.36,0.54,0,1.26,0.54,0.16
DYNAMATECH,Dynamatic Technologies Ltd.,,50.95,50.95,80.36,815.14,815.14,2.0,933.99,224.5,195.08,87.32,50.95,,24.03,20.88,9.34,5.45,6.25,13.07,2.54,0.97,46.7,,1.44,1.1,5.41,3.93,2.49,96.07,97.51,,"1,494.70",2.52,10.5,1.73,96.06,1.99,1.73,0.03
DYNPRO,Dynemic Products Ltd.,,15.68,15.68,18.81,94.77,94.77,1.5,147.07,26.41,23.45,22.42,15.85,,17.95,15.94,15.24,10.77,16.72,23.64,11.4,0.29,105.78,,1.94,1.34,6.14,0,0.0,0,0.0,,163.84,0.98,5.48,0.8,0,1.25,0.8,0.13
EASTSILK,Eastern Silk Industries Ltd.,,-1.22,-1.22,-0.31,-3.02,-3.02,0.0,8.26,-0.17,-1.08,-1.22,-1.22,,-2.01,-13.02,-14.74,-14.75,0,92.63,-4.77,-5.68,32.33,,0.47,0.24,1.31,0,0.0,0,0.0,,157.7,2.42,-119.73,0.26,0,-0.7,0.26,-0.58
ECLERX,eClerx Services Ltd.,,54.19,54.11,60.9,337.05,337.05,1.0,294.44,80.21,73.46,73.46,54.15,,27.24,24.94,24.94,18.39,16.06,21.15,13.94,0.0,75.81,,6.23,6.23,0,1.84,1.64,98.16,98.36,,"4,094.21",3.59,13.19,3.91,98.15,3.42,3.91,0.05
EDELWEISS,Edelweiss Financial Services Ltd.,,1.17,1.15,1.2,37.75,37.75,1.4,3.41,1.42,1.38,1.19,1.16,,41.65,40.37,34.95,33.94,3.07,3.64,2.7,0.11,7.98,,8.48,8.48,0,120.64,116.28,-20.64,-16.28,,"17,838.14",58.87,141.32,57.71,-20.64,5.22,57.71,0.01
EIHAHOTELS,EIH Associated Hotels Ltd.,,12.45,12.45,17.13,106.2,106.2,4.5,86.71,23.97,19.29,19.15,12.45,,27.64,22.24,22.08,14.36,11.72,16.15,9.23,0.0,64.29,,2.81,2.59,25.65,36.14,26.26,63.86,73.74,,"1,134.69",4.3,15.53,4.43,63.85,3.62,4.43,0.03
EIHOTEL,EIH Ltd.,,1.98,1.98,4.14,49.95,49.95,0.9,27,7.11,4.95,2.86,1.98,,26.31,18.34,10.6,7.34,3.96,8.68,2.94,0.15,40.06,,0.58,0.5,30.64,45.38,21.76,54.62,78.24,,"12,002.57",7.78,29.55,7.5,54.61,4.05,7.5,0.01
EIMCOELECO,Eimco Elecon (India) Ltd.,,40.25,40.25,48.87,539.79,539.79,7.0,320.25,62.34,53.72,52.73,40.25,,19.46,16.77,16.46,12.56,7.45,9.6,6.63,0.01,52.77,,4.33,2.86,4.6,0,0.0,0,0.0,,221.14,1.2,6.15,1.21,0,0.72,1.21,0.1
EKC,Everest Kanto Cylinder Ltd.,,7.8,7.8,8.97,22.46,22.46,0.0,40.33,7.1,5.93,3.61,7.8,,17.6,14.7,8.95,19.34,34.72,19.51,12.96,0.63,67.02,,1.14,0.79,3.88,0,0.0,0,0.0,,449.49,0.99,5.64,0.67,0,1.2,0.67,0.29
ELECON,Elecon Engineering Company Ltd.,,1.08,1.08,4.96,65.95,65.95,0.2,85,12.08,8.19,2.48,1.08,,14.2,9.63,2.92,1.26,1.63,8.82,0.62,0.61,48.98,,1.17,0.9,3.99,18.58,4.03,81.42,95.97,,"1,152.81",1.21,8.51,0.74,81.41,0.96,0.74,0.02
ELECTCAST,Electrosteel Castings Ltd.,,-16.44,-16.44,-14.33,58.65,58.65,0.0,58.96,10.13,8.78,-16.26,-15.68,,17.18,14.89,-27.58,-26.59,-26.73,9.66,-12.79,0.62,48.1,,1.22,0.78,4.25,0,0.0,0,0.0,,"2,147.91",0.9,5.23,0.34,0,0.34,0.34,-0.78
ELECTHERM,Electrotherm (India) Ltd.,,110.49,110.49,219.19,-879.92,-879.92,0.0,"2,717.72",249.26,140.58,110.49,110.51,,9.17,5.17,4.06,4.06,-12.55,60.36,6.66,-1.36,1.57,,0.61,0.32,4.91,0,0.0,0,0.0,,"1,698.73",0.49,5.35,0.07,0,-0.21,0.07,0.61
ELGIEQUIP,Elgi Equipments Ltd.,,5.35,5.35,7.48,41.77,41.77,1.3,74.29,9.9,7.76,7.61,5.35,,13.32,10.44,10.24,7.19,12.8,18.38,9.13,0.06,126.82,,1.95,1.51,10.5,24.3,17.37,75.7,82.63,,"3,863.42",3.28,24.64,3.29,75.69,5.85,3.29,0.02
ELGIRUBCO,Elgi Rubber Company Ltd.,,0.09,0.09,1.66,51.75,51.75,0.0,40.54,3.92,2.35,0.03,0.09,,9.66,5.78,0.07,0.22,0.17,3.79,0.11,0.46,49.82,,1.86,1.21,3.23,0,0.0,0,0.0,,212.27,1.05,10.83,0.59,0,0.46,0.59,0.0
EMAMILTD,Emami Ltd.,,6.72,6.72,13.73,45.48,45.48,4.0,54.71,16.38,9.38,8.73,6.72,,29.94,17.13,15.96,12.29,14.78,20.0,11.81,0.03,96.13,,1.44,0.97,11.63,52.04,25.49,47.96,74.51,,"18,101.07",7.29,24.34,7.31,47.95,8.8,7.31,0.02
EMMBI,Emmbi Industries Ltd.,,10.06,10.06,13.6,64.99,64.99,0.5,163.37,23.25,19.71,13.51,10.06,,14.22,12.06,8.27,6.15,15.47,20.02,6.52,0.84,106.03,,1.39,0.65,3.96,4.97,3.67,95.03,96.33,,313.83,1.09,7.63,0.77,95.02,1.92,0.77,0.08
ENDURANCE,Endurance Technologies Ltd.,,25.44,25.44,37.93,147.87,147.87,5.5,385.14,53.19,40.7,38.01,25.44,,13.81,10.56,9.86,6.6,17.2,27.14,12.09,0.1,183.11,,1.3,0.97,19.14,15.72,10.54,84.28,89.46,,"16,495.12",3.04,22.05,3.01,84.27,7.84,3.01,0.02
ENERGYDEV,Energy Development Company Ltd.,,-1.65,-1.65,-1.06,35.05,35.05,0.5,2.81,-0.9,-1.49,-2.09,-1.65,,-32.07,-53.13,-74.22,-58.78,-4.71,-3.86,-3.15,0.11,5.37,,1.54,1.52,9.28,-30.27,-47.18,130.27,147.18,,48.75,3.65,-11.39,2.43,130.27,0.2,2.44,-0.24
ENGINERSIN,Engineers India Ltd.,,5.86,5.86,6.21,36.02,36.02,4.0,38.68,9.35,9,8.98,5.86,,24.18,23.26,23.21,15.13,16.26,24.89,7.89,0.0,52.17,,1.56,1.56,354.43,97.41,91.86,2.59,8.14,,"4,732.31",1.94,8.01,3.02,2.58,3.25,3.02,0.05
ENIL,Entertainment Network India Ltd.,,11.31,11.31,25.39,195.56,195.56,1.0,130.16,32.46,18.38,17.55,11.31,,24.93,14.12,13.48,8.68,5.78,8.97,4.72,0.0,54.31,,2.32,2.32,0,8.84,3.93,91.16,96.07,,"2,544.91",4.1,16.45,4.14,91.15,2.75,4.14,0.02
EPL,EPL Ltd.,,2.03,2.03,4.41,21.46,21.46,1.25,26.84,6.19,3.81,3.09,2.03,,23.07,14.2,11.5,7.56,9.46,13.95,6.36,0.26,84.15,,2.17,1.59,10.21,58.9,27.1,41.1,72.9,,"3,850.21",4.55,19.72,4.35,41.09,5.44,4.35,0.02
EROSMEDIA,Eros International Media Ltd.,,9.18,9.1,9.71,161.08,161.08,0.0,87.49,23.16,22.59,14.32,9.15,,26.46,25.82,16.36,10.45,5.67,11.24,2.85,0.36,27.34,,0.66,0.66,277.62,0,0.0,0,0.0,,"1,303.92",1.56,5.9,0.9,0,0.49,0.9,0.12
ESABINDIA,Esab India Ltd.,,37.41,37.41,44.37,173.22,173.22,90.0,440.1,62.07,55.11,54.67,37.42,,14.1,12.52,12.42,8.5,21.6,31.39,15.2,0.0,178.82,,2.6,1.98,9.94,293.24,247.29,-193.24,-147.29,,"1,349.96",1.99,14.13,2.08,-193.24,5.27,2.08,0.04
ESSARSHPNG,Essar Shipping Ltd.,,-76.99,-76.99,-72,9.6,9.6,0.0,23.77,5.67,0.68,-76.92,-76.99,,23.87,2.87,-323.63,-323.93,-801.87,0.57,-35.43,11.38,10.93,,0.3,0.29,42.48,0,0.0,0,0.0,,"2,470.88",5.02,21.04,0.44,0,1.09,0.44,-7.36
ESSENTIA,Integra Essentia Ltd.,,-0.64,-0.64,-0.23,-4.46,-4.46,0.0,0,-0.14,-0.55,-0.64,-0.64,,0,0,0,0,0,-16.41,-11.82,-2.13,0,,0.02,0.02,0,0,0.0,0,0.0,,43.89,0,-85.01,0.0,0,-0.58,0.0,-0.25
ESTER,Ester Industries Ltd.,,3.73,3.73,7.62,37.61,37.61,0.5,123.28,13.63,9.74,5.64,3.73,,11.05,7.9,4.57,3.02,9.91,18.64,4.67,0.73,154.5,,1.15,0.61,8.21,0,0.0,0,0.0,,515.04,0.5,4.53,0.28,0,0.93,0.28,0.11
EVEREADY,Eveready Industries India Ltd.,,6.5,6.5,9.51,51.82,51.82,0.0,200.55,21.76,18.76,8.13,6.5,,10.85,9.35,4.05,3.24,12.54,22.67,4.0,0.78,123.56,,1.24,0.8,5.77,23.07,15.77,76.93,84.23,,"1,689.59",1.16,10.68,0.96,76.92,3.72,0.96,0.03
EVERESTIND,Everest Industries Ltd.,,41.08,41.08,54.21,289.52,289.52,7.5,898,72.31,59.17,54.3,41.06,,8.05,6.58,6.04,4.57,14.18,17.5,7.14,0.18,156.23,,1.34,0.45,4.27,15.81,11.98,84.19,88.02,,793.2,0.56,7.01,0.52,84.18,1.61,0.52,0.09
EXCEL,Excel Realty N Infra Ltd.,,0.02,0.02,0.06,18.2,18.2,0.0,1.13,0.13,0.1,0.02,0.02,,11.94,8.75,2.09,2.08,0.12,0.53,0.12,0.0,6.08,,25.68,25.68,0,0,0.0,0,0.0,,11.5,1.09,9.09,1.2,0,0.07,1.2,0.02
EXCELINDUS,Excel Industries Ltd.,,120.97,120.97,135.12,469.75,469.75,18.75,641.18,201.06,186.91,184.97,120.97,,31.35,29.15,28.84,18.86,25.75,35.49,19.52,0.01,103.48,,2.74,2.17,12.21,10.33,9.25,89.67,90.75,,"1,445.22",1.79,5.72,1.79,89.66,2.44,1.79,0.11
EXPLEOSOL,Expleo Solutions Ltd.,,29.35,29.35,34.46,99.77,99.77,0.0,263.95,50,44.89,44.83,29.35,,18.94,17,16.98,11.11,29.41,44.67,19.79,0.0,178,,2.52,2.52,0,0,0.0,0,0.0,,458.96,1.62,8.57,1.92,0,5.08,1.92,0.06
FACT,Fertilisers and Chemicals Travancore Ltd.,,2.52,2.52,2.87,-22.53,-22.53,0.0,30.21,7.2,6.86,2.52,2.52,,23.84,22.69,8.34,8.34,-11.19,86.31,7.0,-1.56,84,,1.07,0.71,3,0,0.0,0,0.0,,"4,559.19",2.33,9.78,1.21,0,-1.62,1.21,0.07
FCL,Fineotex Chemical Ltd.,,1.56,1.56,1.64,12.44,12.44,0.1,10.12,2.36,2.28,2.24,1.56,,23.32,22.49,22.13,15.37,12.51,18.19,10.87,0.02,70.68,,3.49,2.8,8.16,0,0.0,0,0.0,,456,4.05,17.36,4.05,0,3.3,4.05,0.04
FCSSOFT,FCS Software Solutions Ltd.,,-0.06,-0.06,-0.03,1.75,1.75,0.0,0.22,0.01,-0.02,-0.06,-0.06,,3.9,-10.31,-26.41,-28.63,-3.52,-1.15,-3.13,0.09,10.94,,1.14,1.14,0,0,0.0,0,0.0,,57.8,1.57,40.13,0.88,0,0.11,0.88,-0.32
FDC,FDC Ltd.,,9.84,9.84,11.68,81.8,81.8,0.0,61.41,15.69,13.8,13.49,9.79,,25.54,22.46,21.96,15.94,11.97,16.68,10.55,0.0,66.18,,4.12,3.15,6.23,0,0.0,0,0.0,,"2,919.20",2.71,10.62,2.73,0,2.05,2.73,0.06
FEDDERELEC,Fedders Electric and Engineering Ltd.,,-157.34,-157.34,-151.89,-172.22,-170.18,0.0,38.39,-143,-148.44,-157.7,-157.34,,-372.51,-386.69,-410.82,-409.86,0,90.43,-76.6,-1.26,0.16,,0.41,0.39,2.09,0,0.0,0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0
FEDERALBNK,Federal Bank Ltd.,,6.28,6.24,6.87,66.84,66.87,1.4,57.53,6.27,,"9,339,187.45","1,017,329.11","200,521,221.97",,"91,279,172.66","9,943,151.88","1,959,850,504.40",,1.77,32.4,10.89,-0.93,0.78,9.37,2.62,33.54,7.16,0.84,-0.06,1.73,4.54,,"155,452.36",13.61,1.44,1.68,84.08,0.07,
FIEMIND,FIEM Industries Ltd.,,42.16,42.16,79.34,362.2,362.2,12.0,"1,097.28",118.64,81.47,64.68,42.16,,10.81,7.42,5.89,3.84,11.64,17.06,5.76,0.28,150.14,,1,0.56,9.81,40.31,21.42,59.69,78.58,,804.42,0.56,5.15,0.47,59.68,1.41,0.47,0.08
FILATEX,Filatex India Ltd.,,3.9,3.83,5.97,21.65,21.65,0.0,132.14,10.5,8.43,6.02,3.9,,7.94,6.37,4.55,2.95,18.01,17.51,5.99,1.16,203.05,,1.08,0.61,16.64,0,0.0,0,0.0,,"1,659.83",0.58,7.27,0.4,0,2.46,0.4,0.07
FINCABLES,Finolex Cables Ltd.,,22.5,22.5,25.15,159.51,159.51,4.5,201.23,37.48,34.83,34.77,22.5,,18.62,17.31,17.28,11.17,14.1,21.24,12.42,0.0,111.15,,6.48,4.23,5.24,17.78,15.9,82.22,84.1,,"7,252.65",2.36,12.65,2.37,82.21,2.99,2.37,0.05
FINEORG,Fine Organics Industries Ltd.,,42.08,42.08,47.77,165.83,165.83,7.0,340.5,79.09,73.4,72.81,42.08,,23.22,21.55,21.38,12.35,25.37,37.15,18.18,0.22,147.18,,4.14,3.38,13.21,16.63,14.65,83.37,85.35,,"3,801.36",3.64,15.68,3.63,83.36,7.46,3.63,0.03
FLEXITUFF,Flexituff Ventures International  Ltd.,,-6.34,-6.34,21.96,148.07,148.07,0.0,472.13,63.43,35.13,-8.67,-6.34,,13.43,7.44,-1.83,-1.34,-4.28,13.17,-1.12,1.5,83.42,,1.03,0.83,7.86,0,0.0,0,0.0,,635.7,0.54,4.03,0.09,0,0.28,0.09,-0.15
FSL,Firstsource Solutions Ltd.,,2.89,2.87,3.23,32.98,32.98,2.0,11.11,3.6,3.25,3.23,2.88,,32.38,29.21,29.01,25.91,8.73,9.8,8.39,0.0,32.38,,8.7,8.7,0,0,0.0,0,0.0,,"3,241.82",4.22,13.03,4.23,0,1.43,4.23,0.06
GABRIEL,Gabriel India Ltd.,,6.61,6.61,9.47,41.07,41.07,1.5,144.56,13.02,10.16,9.96,6.61,,9,7.03,6.88,4.57,16.09,23.04,9.8,0.01,214.25,,1.71,1.21,12.56,21.92,15.3,78.08,84.7,,"2,044.07",0.98,10.93,1.0,78.07,3.54,1.0,0.05
GAIL,GAIL India Ltd.,,26.72,26.72,33.59,195.53,195.53,7.14,333.14,49.22,42.35,40.29,26.72,,14.77,12.71,12.09,8.02,13.66,17.34,9.35,0.02,116.69,,1.1,0.86,32.36,28.77,22.89,71.23,77.11,,"77,974.47",1.04,7.02,1.04,71.22,1.78,1.04,0.08
GALAXYSURF,Galaxy Surfactants Ltd.,,47.51,47.51,55.61,220.74,220.74,8.0,563.15,85.62,77.52,71.75,47.52,,15.2,13.76,12.74,8.43,21.52,29.74,12.89,0.15,152.78,,1.54,1,9.52,25.25,21.58,74.75,78.42,,"3,901.64",1.95,12.86,1.9,74.74,4.84,1.9,0.04
GALLANTT,Gallantt Ispat Ltd.,,8.81,8.81,10.54,59.21,59.21,0.25,130.81,16,14.26,13.53,8.81,,12.22,10.9,10.33,6.73,14.87,24.06,12.7,0.11,188.69,,2,0.65,9.61,2.83,2.37,97.17,97.63,,453.34,0.43,3.49,0.38,97.16,0.84,0.38,0.18
GANDHITUBE,Gandhi Special Tubes Ltd.,,27.96,27.96,30.63,145.49,145.49,9.0,88.94,38.68,36,36,27.96,,43.48,40.48,40.48,31.43,19.21,23.39,17.49,0.0,55.64,,11.89,8.58,4.56,38.81,35.42,61.19,64.58,,475.99,3.87,8.91,3.9,61.18,2.39,3.9,0.08
GANECOS,Ganesha Ecosphere Ltd.,,28.74,28.74,40.2,191.92,191.92,2.0,467.48,61.18,49.37,44.56,28.38,,13.08,10.55,9.53,6.07,14.78,21.28,10.12,0.23,166.81,,2.73,1.5,7.87,5.28,3.73,94.72,96.27,,780.73,0.77,5.85,0.69,94.71,1.69,0.69,0.09
GANESHHOUC,Ganesh Housing Corporation Ltd.,,2.27,2.27,2.73,155.88,155.88,0.5,19.26,14.92,14.46,3.76,2.27,,77.45,75.06,19.53,11.79,1.45,6.87,0.93,0.36,0.08,,4.66,4.62,0,79.22,65.89,20.78,34.11,,553.52,5.84,7.54,3.15,20.77,0.39,3.15,0.04
GARFIBRES,Garware Technical Fibres Ltd.,,57.4,57.4,65.28,296.81,296.82,5.0,465.14,97.32,89.44,83.17,57.4,,20.92,19.22,17.88,12.34,19.34,28.19,11.66,0.17,94.51,,1.3,0.86,6.05,7.83,6.89,92.17,93.11,,"2,573.66",2.53,12.08,2.43,92.16,3.81,2.43,0.05
GEECEE,GeeCee Ventures Ltd.,,16.15,16.15,16.83,201.33,201.33,0.0,67.65,20.99,20.31,20.3,16.15,,31.02,30.02,30,23.87,8.02,9.95,7.55,0.0,31.64,,16.87,13.08,1.83,0,0.0,0,0.0,,255.2,1.74,5.6,1.78,0,0.6,1.78,0.13
GEEKAYWIRE,Geekay Wires Ltd.,,2.74,2.74,4.87,31.84,31.84,0.0,208.41,14.32,12.18,4.76,2.74,,6.86,5.84,2.28,1.31,8.6,22.34,2.26,1.81,172.19,,1.24,0.98,11.91,0,0.0,0,0.0,,87.51,0.4,5.85,0.16,0,1.07,0.16,0.08
GENESYS,Genesys International Corporation Ltd.,,3.97,3.89,7.1,95.05,95.05,0.13,38.18,8.87,5.73,4.9,3.95,,23.23,15,12.83,10.35,4.15,5.89,3.4,0.07,32.92,,2.59,2.59,0,3.79,2.11,96.21,97.89,,323.65,2.72,11.72,2.59,96.2,1.04,2.59,0.04
GENUSPOWER,Genus Power Infrastructures Ltd.,,2.81,2.81,3.57,31.49,31.49,0.58,41.01,5.67,4.91,3.6,2.81,,13.81,11.98,8.76,6.85,8.92,14.52,5.15,0.33,75.24,,1.95,1.57,5.11,13.01,10.26,86.99,89.74,,973.39,0.92,6.67,0.71,86.98,0.92,0.71,0.1
GEOJITFSL,Geojit Financial Services Ltd.,,1.03,1.02,1.85,17.11,17.11,1.0,11.93,3.03,2.21,1.8,1.03,,25.43,18.56,15.09,8.63,6.02,12.5,3.39,0.0,39.34,,2.05,2.05,0,233.86,130.17,-133.86,-30.17,,776.35,2.73,10.74,3.46,-133.86,2.41,3.46,0.02
GEPIL,GE Power India Ltd.,,11.31,11.31,15.99,131.65,131.65,6.0,283.02,46.29,41.62,21.78,11.31,,16.35,14.7,7.69,3.99,8.59,28.8,2.13,0.0,53.41,,1.2,1.13,10.55,26.52,18.76,73.48,81.24,,"4,623.03",2.43,14.85,2.86,73.47,6.16,2.86,0.01
GESHIP,Great Eastern Shipping Company Ltd.,,-1.29,-1.29,32.5,335.97,335.97,5.4,175.84,57.34,23.56,-0.43,-1.29,,32.61,13.39,-0.24,-0.73,-0.38,4.05,-0.18,0.65,25.63,,1.85,1.76,19.59,-557.57,22.15,657.57,77.85,,"5,746.81",2.17,6.65,1.61,657.57,0.84,1.61,0.0
GHCL,Gujarat Heavy Chemicals Ltd.,,36.88,36.56,48.69,199.12,199.12,5.0,343.89,79.95,68.08,55.2,36.83,,23.24,19.79,16.05,10.7,18.49,22.91,9.01,0.56,84.2,,1.12,0.51,5.04,13.5,10.21,86.5,89.79,,"3,494.28",1.04,4.46,0.72,86.49,1.24,0.72,0.15
GICHSGFIN,GIC Housing Finance Ltd.,,31.9,31.9,32.02,232.74,232.74,5.5,227.32,206.58,206.45,45.85,31.89,,90.87,90.81,20.17,14.02,13.7,8.6,1.32,9.3,9.44,,266.43,266.43,0,17.24,17.17,82.76,82.83,,"13,062.25",10.66,11.74,1.19,82.75,1.16,1.19,0.12
GILLANDERS,Gillanders Arbuthnot & Co Ltd.,,-4.12,-4.12,3.82,125.73,125.73,0.0,330.5,25.66,17.72,-3.36,-4.12,,7.76,5.36,-1.01,-1.24,-3.27,9.97,-1.09,1.01,87.43,,0.97,0.56,4.04,0,0.0,0,0.0,,378.94,0.54,6.92,0.15,0,0.39,0.15,-0.08
GILLETTE,Gillette India Ltd.,,77.62,77.62,92.24,238.83,238.83,44.0,571.23,121.08,106.44,104.03,77.61,,21.19,18.63,18.21,13.58,32.49,40.45,20.9,0.0,153.86,,1.69,1.03,7.96,54.11,45.52,45.89,54.48,,"24,230.87",13.02,61.41,13.09,45.88,31.31,13.09,0.01
GINNIFILA,Ginni Filaments Ltd.,,-0.49,-0.49,3.15,25.32,25.32,0.0,114.39,7.88,4.24,-0.49,-0.49,,6.89,3.71,-0.43,-0.43,-1.95,11.32,-0.6,1.55,139.2,,0.97,0.47,5.13,0,0.0,0,0.0,,365.9,0.45,6.57,0.12,0,0.53,0.12,-0.04
GIPCL,Gujarat Industries Power Co. Ltd.,,11.66,11.66,22.8,169.96,169.96,2.9,93.05,43.97,32.84,15.09,11.66,,47.25,35.29,16.22,12.53,6.86,14.63,4.6,0.17,36.73,,1.53,1.15,8.5,23.15,11.84,76.85,88.16,,"1,240.06",0.88,1.86,0.77,76.84,0.42,0.77,0.16
GKWLIMITED,GKW Ltd.,,33.32,33.32,34.26,479.93,479.93,0.0,50.99,35.05,34.1,34.1,33.32,,68.73,66.88,66.88,65.34,6.94,7.1,6.57,0.0,10.05,,6.15,6.15,0,0,0.0,0,0.0,,1.48,0.05,0.07,0.12,0,0.01,0.12,5.42
GLAXO,GlaxoSmithKline Pharmaceuticals Ltd.,,25.11,25.11,27.98,126.47,126.47,20.0,184.68,41.79,38.92,39.18,25.11,,22.62,21.07,21.21,13.59,19.85,26.82,10.88,0.0,80.03,,1.37,1.04,6.43,69.69,62.55,30.31,37.45,,"20,865.08",6.67,29.47,7.04,30.3,10.28,7.04,0.02
GLFL,Gujarat Lease Financing Ltd.,,-0.14,-0.14,-0.13,-2.29,-2.29,0.0,0,-0.12,-0.13,-0.13,-0.14,,0,0,0,0,0,-3.92,-4.1,-2.41,0,,0.22,0.22,0,0,0.0,0,0.0,,20.81,0,-64,0.0,0,-0.94,0.0,-0.07
GLOBALVECT,Global Vectra Helicorp Ltd.,,5.01,5.01,32.74,47.36,47.36,0.0,343.08,41.28,13.55,5.19,5.01,,12.03,3.94,1.51,1.46,10.58,7.97,1.09,1.8,75.26,,0.41,0.35,18.87,0,0.0,0,0.0,,209.64,0.44,3.63,0.2,0,1.46,0.2,0.07
GLOBUSSPR,Globus Spirits Ltd.,,10.64,10.64,23.15,142.37,142.37,0.0,341.79,35.48,22.94,13.81,10.61,,10.37,6.71,4.03,3.1,7.45,10.87,3.91,0.49,126.22,,0.82,0.41,13.9,0,0.0,0,0.0,,596.95,0.61,5.84,0.41,0,0.97,0.41,0.08
GMBREW,GM Breweries Ltd.,,45.21,45.21,49.02,200.6,200.6,3.0,253.75,71.42,67.41,67.37,45.01,,28.14,26.56,26.55,17.73,22.43,33.2,19.43,0.0,109.55,,0.82,0.48,26.15,5.32,4.89,94.68,95.11,,"1,199.63",2.59,9.19,2.59,94.67,3.27,2.59,0.07
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,,4.36,4.36,7.39,134.76,134.76,2.0,62.81,22.1,19.08,9.66,4.36,,35.19,30.37,15.38,6.94,3.23,12.31,2.68,0.0,38.61,,6.06,5.66,20.35,80.19,47.37,19.81,52.63,,"2,572.02",1.29,3.66,1.3,19.8,0.6,1.3,0.05
GMMPFAUDLR,GMM Pfaudler Ltd.,,27.8,27.8,34.9,148.97,148.97,4.5,286.49,49.82,42.72,41.92,27.8,,17.38,14.91,14.63,9.7,18.66,27.99,11.77,0.0,121.33,,2.05,1.2,4.06,17.62,14.04,82.38,85.96,,"1,724.94",4.12,23.69,4.19,82.37,8.06,4.19,0.02
GNFC,Gujarat Narmada Valley Fert & Chem. Ltd.,,47.69,47.69,64.61,321.52,321.52,7.0,379.36,70.05,53.13,52.72,47.69,,18.46,14,13.89,12.57,14.83,12.66,9.82,0.04,78.17,,2.43,1.62,7.11,15.72,11.6,84.28,88.4,,"4,742.86",0.8,4.36,0.81,84.27,0.95,0.81,0.16
GOACARBON,Goa Carbon Ltd.,,-8.21,-8.21,-5.98,117.57,117.57,0.0,504.63,3.09,0.86,-11.84,-8.21,,0.61,0.17,-2.34,-1.62,-6.98,0.72,-2.19,0.0,134.9,,1.26,0.55,2.77,0,0.0,0,0.0,,384.23,0.83,135.92,0.91,0,3.89,0.91,-0.02
