Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield,
DWARKESH,Dwarikesh Sugar Industries Ltd.,,5.57,5.57,8.23,39.29,39.29,2,111.68,12.14,9.47,8.1,5.57,,10.86,8.48,7.25,4.98,14.16,18.16,8.18,0.5,1.56,,2.3,0.42,2.16,35.93,24.28,64.07,75.72,,"1,938.62",0.92,8.48,0.76,64.06,2.17,0.76,0.07,
DYNAMATECH,Dynamatic Technologies Ltd.,,45.86,45.86,78.56,750.85,750.85,10,855.85,176.13,140.5,64.54,42.93,,20.57,16.41,7.54,5.01,5.71,12.01,2.49,0.88,0.53,,1.39,1.1,2.58,6.51,3.56,93.49,96.44,,"2,200.59",3.79,18.4,3.22,93.48,3.67,3.22,0.02,
DYNPRO,Dynemic Products Ltd.,,-3.14,-3.14,11.24,155.21,155.21,0,252.78,24.74,10.41,-3.37,-3.09,,9.78,4.11,-1.33,-1.22,-1.98,4.63,-0.87,0.82,0.72,,0.87,0.44,2.75,0,0,0,0,,420.92,1.42,14.56,0.93,0,1.51,0.93,-0.01,
EASTSILK,Eastern Silk Industries Ltd.,,-1.83,-1.83,-1.45,-5.47,-5.47,0,4.81,-1.31,-1.69,-1.83,-1.83,,-27.23,-35.02,-37.97,-37.97,0,45.95,-9.48,-3.05,0.24,,0.36,0.2,0.42,0,0,0,0,,146.6,3.86,-14.16,0.39,0,-0.34,0.39,-0.97,
ECLERX,eClerx Services Ltd.,,76.45,75.21,91,241.25,241.25,1,393.09,120.53,108.31,104.93,78.78,,30.66,27.55,26.69,20.04,32.65,40.26,23.69,0,1.2,,2.91,2.91,0,0.87,0.75,99.13,99.25,,"6,055.15",3.21,10.46,3.28,99.12,5.35,3.28,0.06,
EDELWEISS,Edelweiss Financial Services Ltd.,,26.59,26.59,26.59,80.76,80.76,1.5,26.82,29.14,29.13,25.76,26.58,,108.66,108.64,96.07,99.13,32.91,36.05,22.28,0.36,0.26,,2.98,2.98,0,5.54,5.54,94.46,94.46,,"7,162.63",2.97,2.74,1.96,94.45,0.65,1.96,0.51,
EIHAHOTELS,EIH Associated Hotels Ltd.,,21.21,21.21,26.64,130.16,130.16,5,110.63,33.4,27.98,27.85,21.21,,30.19,25.28,25.17,19.17,16.29,19.48,12.81,0,0.74,,3,2.77,0,0,0,0,0,,"1,241.86",3.68,12.2,3.74,0,3.18,3.74,0.05,
EIHOTEL,EIH Ltd.,,5.12,5.12,6.96,49.86,49.86,0,28.36,10,8.16,6.98,5.12,,35.26,28.77,24.61,18.05,10.26,14.74,8.3,0.02,0.47,,1.3,1.16,0,0,0,0,0,,"10,233.27",5.77,16.36,5.84,0,3.32,5.84,0.03,
EIMCOELECO,Eimco Elecon (India) Ltd.,,36.18,36.18,49.7,604.79,604.79,5,299.38,60.31,46.78,45.92,36.18,,20.14,15.62,15.33,12.08,5.98,7.61,5.39,0,0.46,,4.42,2,0.63,6.91,5.03,93.09,94.97,,202.98,1.18,5.83,1.19,93.08,0.59,1.19,0.1,
EKC,Everest Kanto Cylinder Ltd.,,6.42,6.42,8.41,58.71,58.71,0.7,70.37,9.93,7.95,8.1,6.42,,14.11,11.29,11.5,9.12,10.93,13.08,8.84,0.08,0.95,,3.65,1.51,2,0,0,0,0,,"1,032.42",1.31,9.26,1.28,0,1.53,1.28,0.07,
ELECON,Elecon Engineering Company Ltd.,,16.77,16.77,20.27,96.2,96.2,2,106.68,26.47,22.97,21.97,16.77,,24.81,21.53,20.58,15.71,17.43,22.79,13.29,0,0.84,,2.31,1.69,3.04,8.34,6.9,91.66,93.1,,"4,149.24",3.47,13.97,3.58,91.65,3.97,3.58,0.04,
ELECTCAST,Electrosteel Castings Ltd.,,5.63,5.63,7.55,71.82,71.82,0.9,116.31,13.77,11.86,7.28,5.63,,11.84,10.19,6.25,4.84,7.83,12.94,4.13,0.57,0.85,,1.48,0.84,2.26,14.2,10.59,85.8,89.41,,"3,963.74",0.57,4.84,0.28,85.79,0.45,0.28,0.18,
ELECTHERM,Electrotherm (India) Ltd.,,-60.17,-60.17,-23.22,-815.86,-815.86,0,"2,412.91",110.86,73.91,-60.17,-60.17,,4.59,3.06,-2.49,-2.49,0,-12.18,-4.48,-1.82,1.77,,0.41,0.18,4.12,0,0,0,0,,"1,886.77",0.61,13.36,0.02,0,-0.07,0.02,-1.09,
ELGIEQUIP,Elgi Equipments Ltd.,,8.61,8.61,9.81,38.56,38.56,2,55.43,12.55,11.34,11.17,8.6,,22.64,20.46,20.15,15.51,22.29,29.16,17.21,0.07,1.24,,3.14,2.66,4.84,13.37,11.72,86.63,88.28,,"13,766.33",7.84,34.61,7.93,86.62,11.4,7.93,0.02,
ELGIRUBCO,Elgi Rubber Company Ltd.,,2.96,2.96,4.63,59.22,59.22,0,44.56,9.35,7.68,3.61,2.96,,20.99,17.24,8.1,6.64,4.99,10.5,3.14,0.48,0.49,,1.18,0.75,2.58,0,0,0,0,,270.91,1.21,5.79,0.66,0,0.49,0.66,0.1,
EMAMILTD,Emami Ltd.,,13,13,17.88,51.31,51.31,8,65.89,18.71,13.83,13.74,13,,28.39,20.98,20.85,19.72,25.33,26.36,20.84,0,1.04,,2.24,1.57,2.54,61.53,44.73,38.47,55.27,,0,0,0,0,38.46,0,0,0,
EMMBI,Emmbi Industries Ltd.,,4.67,4.67,10.27,90.83,90.83,0.3,209.77,21.25,15.65,6.78,4.67,,10.12,7.46,3.23,2.22,5.14,11.68,2.25,0.91,1.03,,1.48,0.67,2.4,0,0,0,0,,282.61,0.76,7.52,0.37,0,0.85,0.37,0.06,
ENDURANCE,Endurance Technologies Ltd.,,29.07,29.07,46.18,236.8,236.8,7,481.11,57.4,40.29,39.25,29.07,,11.93,8.37,8.15,6.04,12.27,16.82,9.95,0.01,1.72,,2.33,1.75,11.34,21.49,13.53,78.51,86.47,,"17,440.58",2.58,21.6,2.58,78.5,5.24,2.58,0.02,
ENERGYDEV,Energy Development Company Ltd.,,0.14,0.14,0.69,34.53,34.53,0,2.7,1.2,0.65,0.11,0.14,,44.57,23.93,4.05,5.09,0.39,1.86,0.24,0.15,0.05,,1.42,1.41,0.04,0,0,0,0,,96.22,7.51,16.84,5.81,0,0.45,5.81,0.01,
ENGINERSIN,Engineers India Ltd.,,6.09,6.09,6.54,37.46,37.46,3,58.43,8.3,7.85,7.83,6.09,,14.21,13.44,13.4,10.41,16.24,20.76,7.58,0,0.74,,1.01,1.01,0,49.28,45.89,50.72,54.11,,"3,153.85",0.96,6.76,1.27,50.71,1.99,1.27,0.08,
ENIL,Entertainment Network India Ltd.,,-4.09,-4.09,12.14,156.77,156.77,1,88,18.12,1.9,-5.08,-4.09,,20.59,2.15,-5.77,-4.64,-2.6,0.97,-1.81,0,0.39,,2.83,2.83,0,-24.47,8.23,124.47,91.77,,545.93,1.3,6.32,1.32,124.47,0.74,1.32,-0.04,
EPL,EPL Ltd.,,6.47,6.47,9.91,28.29,28.29,4.3,38.01,10.43,6.99,6.3,6.47,,27.43,18.4,16.56,17.03,22.88,21.12,15.36,0.2,0.95,,1.55,1.12,5.1,66.19,43.25,33.81,56.75,,"5,301.82",4.39,15.99,4.26,33.8,5.72,4.26,0.04,
EROSMEDIA,Eros International Media Ltd.,,-11.81,-11.81,-11.58,10.6,10.6,0,44.79,-4.28,-4.52,-11.81,-11.81,,-9.55,-10.09,-26.37,-26.37,-111.48,-9.25,-9.12,2.5,0.33,,1.08,1.07,0,0,0,0,0,,381.68,0.89,-9.3,0.48,0,2.01,0.48,-0.55,
ESABINDIA,Esab India Ltd.,,88.16,88.16,95.88,169.12,169.12,78,708.77,126.37,118.65,118.45,88.16,,17.82,16.74,16.71,12.43,52.13,67.53,28.62,0,2.4,,1.72,1.12,4.59,88.49,81.37,11.51,18.63,,"5,385.84",4.94,27.69,4.99,11.5,20.91,4.99,0.02,
ESSARSHPNG,Essar Shipping Ltd.,,-2.23,-2.23,81.79,-77.47,-77.47,0,0.16,1.08,1.07,80.5,81.78,,670.87,664.26,"50,037.53","50,832.13",-105.56,-1.83,443.66,-1.21,0.01,,0.21,0.21,0,0,0,0,0,,"2,081.89",625.19,93.19,49.79,0,-0.1,50.06,10.21,
ESSENTIA,Integra Essentia Ltd.,,0.14,0.35,0.15,1.65,1.65,0,5.28,0.16,0.16,0.16,0.14,,2.98,2.97,2.97,2.73,8.76,9.52,4.1,0.38,2.72,,1.27,1.27,0,0,0,0,0,,298.96,1.24,41.48,1.14,0,3.66,1.14,0.02,
ESTER,Ester Industries Ltd.,,19.31,19.31,23.99,92.86,92.86,0.5,129.2,14.06,9.38,5.76,19.31,,10.88,7.26,4.46,14.94,20.79,7.77,12.61,0.5,0.91,,1.9,1.39,3.91,9.83,7.92,90.17,92.08,,"1,059.94",0.98,9.04,0.67,90.16,0.94,0.67,0.22,
EVEREADY,Eveready Industries India Ltd.,,2.77,2.77,6.54,43.55,43.55,0,182.66,15.3,11.53,3.74,2.77,,8.37,6.31,2.04,1.51,6.35,15.2,2.04,1.18,1.37,,1.07,0.47,2.34,0,0,0,0,,"2,467.45",1.86,22.19,1.58,0,6.63,1.58,0.01,
EVERESTIND,Everest Industries Ltd.,,27.52,27.43,48.92,371.16,371.16,6,"1,045.39",69.24,47.77,27.76,27.45,,6.62,4.57,2.65,2.62,7.39,11.46,3.81,0.11,1.5,,1.46,0.4,2.35,21.77,12.22,78.23,87.78,,"1,233.97",0.75,11.33,0.72,78.22,2.03,0.72,0.04,
EXCEL,Excel Realty N Infra Ltd.,,0.02,0.02,0.02,1.21,1.21,0,0.05,0.02,0.02,0.02,0.02,,44.16,41.22,40.69,39.8,1.5,1.55,1.44,0,0.04,,10.12,10.07,0,0,0,0,0,,48.09,7.45,16.87,8.31,0,0.31,8.32,0.05,
EXCELINDUS,Excel Industries Ltd.,,62.41,62.41,87.36,788.92,788.92,11.25,866.96,109.37,84.42,82.69,62.41,,12.61,9.73,9.53,7.19,7.91,9.63,6.4,0,0.89,,3.59,2.52,4.14,36.05,25.75,63.95,74.25,,915.11,0.84,6.66,0.92,63.94,1.01,0.92,0.08,
EXPLEOSOL,Expleo Solutions Ltd.,,79.42,79.42,146.83,456.41,456.41,0,881.09,198.07,171.47,169.27,120.23,,22.48,19.46,19.21,13.64,26.34,34.82,19.41,0,1.95,,3.56,3.56,0,0,0,0,0,,"1,134.62",1.26,5.59,1.4,0,2.71,1.4,0.1,
FACT,Fertilisers and Chemicals Travancore Ltd.,,9.47,9.47,9.94,19.69,19.69,0,95.79,13.76,13.3,9.47,9.47,,14.36,13.88,9.88,9.88,48.11,56.95,11.27,1.42,1.28,,1.09,0.84,5.1,0,0,0,0,,"12,770.77",2.06,14.34,2.14,0,10.43,2.14,0.05,
FCL,Fineotex Chemical Ltd.,,4.7,4.7,5,24.34,24.34,0.8,26.69,6.47,6.17,6.11,4.7,,24.24,23.1,22.9,17.6,19.29,25.05,16.11,0.03,1,,3.1,2.36,4.15,8.51,7.99,91.49,92.01,,"2,553.99",8.64,35.64,8.73,91.48,9.57,8.73,0.02,
FCSSOFT,FCS Software Solutions Ltd.,,0.01,0.01,0.04,1.9,1.9,0,0.2,0.05,0.02,0.02,0.01,,23.71,11.71,7.64,5.56,0.59,1.18,0.54,0.06,0.1,,0.96,0.96,0,0,0,0,0,,357.34,10.22,43.11,9.83,0,1.06,9.83,0.01,
FDC,FDC Ltd.,,12.09,12.09,14.45,119.39,119.39,0,107.11,18.59,16.26,16.01,12.11,,17.35,15.17,14.95,11.3,10.14,13.32,8.6,0,0.77,,3.3,2.25,1.87,0,0,0,0,,"4,235.73",2.38,13.73,2.4,0,2.15,2.4,0.05,
FEDDERELEC,Fedders Electric and Engineering Ltd.,,7.62,7.62,8.22,46.28,46.28,0,38.18,8.27,7.68,7.62,7.62,,21.66,20.1,19.95,19.95,16.46,15.26,11.66,0.23,0.69,,2.81,2.65,13.46,0,0,0,0,,0,0,0,0,0,0,0,0,
FEDERALBNK,Federal Bank Ltd.,,14.27,14.13,15,101.6,101.63,1,79.4,14.23,,"12,486,909.27","2,237,195.73","288,201,622.28",,"124,012,057.56","22,218,408.12","2,862,235,594.83",,1.88,32.86,17.91,4.05,1.15,14,2.77,34.24,6.45,0.89,0.26,1.83,3.67,,"248,101.24",14.76,1.3,1.67,87.42,0.11,,
FIEMIND,FIEM Industries Ltd.,,106.1,106.1,153.94,577.1,577.1,30,"1,404.26",196.54,148.7,143.06,106.1,,13.99,10.58,10.18,7.55,18.38,23.94,13.29,0,1.76,,2.27,1.51,6.21,18.84,12.99,81.16,87.01,,"1,878.61",1.02,7.26,1.11,81.15,2.71,1.11,0.07,
FILATEX,Filatex India Ltd.,,2.02,2.02,3.58,24.81,24.81,0.15,97.15,5.65,4.1,2.76,2.03,,5.81,4.21,2.83,2.08,8.17,11.85,4.25,0.27,2.08,,1.27,0.57,8.9,4.92,2.79,95.08,97.21,,"1,639.81",0.38,6.56,0.33,95.07,1.3,0.33,0.06,
FINCABLES,Finolex Cables Ltd.,,32.81,32.81,35.84,242.54,242.54,7,292.98,45.35,42.32,42.24,32.8,,15.48,14.44,14.41,11.19,13.52,17.2,12.28,0,1.17,,10.03,7.93,5.21,18.28,16.74,81.72,83.26,,"12,344.18",2.75,17.8,2.77,81.71,3.35,2.77,0.04,
FINEORG,Fine Organics Industries Ltd.,,192.63,192.63,208.25,496.46,496.46,9,987.98,275.73,260.11,258.65,192.63,,27.9,26.32,26.17,19.49,38.8,52.36,33.32,0.02,2.02,,5.5,4.3,7.69,4.67,4.32,95.33,95.68,,"12,734.50",4.2,15.06,4.36,95.32,8.68,4.36,0.04,
FLEXITUFF,Flexituff Ventures International  Ltd.,,-41.96,-41.96,-13.48,-15.59,-15.59,0,340.47,-2.03,-27.42,-53.38,-38.87,,-0.59,-8.05,-15.67,-11.41,0,261.59,-11.36,-15.36,0.96,,0.42,0.33,5.52,0,0,0,0,,706.8,0.77,-129.64,0.08,0,-1.76,0.08,-1.41,
FSL,Firstsource Solutions Ltd.,,3.65,3.54,4.84,33.06,33.06,3.5,19.74,5.95,4.68,4.46,3.56,,30.15,23.69,22.61,18.05,10.77,13.37,9.48,0,0.51,,4.31,4.31,0,96.01,70.71,3.99,29.29,,"7,336.47",5.33,17.69,5.34,3.98,3.19,5.34,0.03,
GABRIEL,Gabriel India Ltd.,,9.21,9.21,12.6,60.59,60.59,2.55,206.89,16.09,12.7,12.39,9.21,,7.77,6.14,5.98,4.45,15.2,20.08,9.26,0,2.14,,1.81,1.38,10.36,20.62,15.08,79.38,84.92,,"1,841.03",0.62,7.97,0.66,79.37,2.24,0.66,0.07,
GAIL,GAIL India Ltd.,,8.04,8.04,11.85,84.64,84.64,4,219.39,14.27,10.49,10.01,8.06,,6.5,4.78,4.56,3.67,9.52,9.1,5.51,0.26,1.58,,0.92,0.66,1.65,57.9,39.4,42.1,60.6,,"83,109.71",0.58,8.86,0.48,42.09,1.24,0.48,0.08,
GALAXYSURF,Galaxy Surfactants Ltd.,,60.36,60.36,75.21,345.26,345.26,22,891.19,99.45,84.61,81.13,60.37,,11.15,9.49,9.1,6.77,17.48,22.28,11.48,0.15,1.69,,1.75,1.1,6.04,59.64,47.87,40.36,52.13,,"8,417.15",2.66,23.88,2.62,40.35,6.76,2.62,0.03,
GALLANTT,Gallantt Ispat Ltd.,,5.84,5.84,10,92.22,92.22,0,167.22,15.23,11.07,9.94,5.84,,9.1,6.62,5.94,3.49,6.33,11.07,4.77,0.24,1.43,,1.85,1.04,8.56,0,0,0,0,,"1,882.18",0.47,5.12,0.34,0,0.61,0.34,0.1,
GANDHITUBE,Gandhi Special Tubes Ltd.,,38.95,38.95,41.53,149.85,149.85,12,137.82,54.41,51.83,51.73,38.95,,39.48,37.61,37.53,28.26,25.99,32.96,23.39,0,0.91,,8.46,6.36,2.7,25.67,24.07,74.33,75.93,,568.08,3.39,8.59,3.56,74.32,3.27,3.56,0.08,
GANECOS,Ganesha Ecosphere Ltd.,,33.59,33.59,45.97,299.3,299.3,2,518.96,64.26,51.89,45.42,33.59,,12.38,9.99,8.75,6.47,11.22,16.2,7.74,0.24,1.26,,1.7,0.8,3.58,5.95,4.35,94.05,95.65,,"2,002.28",1.77,14.27,1.63,94.04,2.83,1.63,0.04,
GANESHHOUC,Ganesh Housing Corporation Ltd.,,11.03,11.03,11.35,115.53,115.53,2.4,30.18,18.87,18.55,17.64,11.03,,62.53,61.46,58.43,36.55,9.55,15.92,7.83,0,0.22,,3.26,1.85,0,0,0,0,0,,"2,029.45",8.06,12.9,8.87,0,2.32,8.87,0.04,
GARFIBRES,Garware Technical Fibres Ltd.,,77.17,77.17,88.97,503.58,503.58,3.5,615.18,118.18,107.27,101.44,78.06,,19.21,17.43,16.48,12.68,15.5,20.38,10.65,0.13,0.86,,1.33,0.89,1.84,9.07,7.96,90.93,92.04,,"6,018.15",4.8,24.99,4.73,90.92,5.77,4.73,0.03,
GEECEE,GeeCee Ventures Ltd.,,4.7,4.7,5.41,254.57,254.57,0,17.99,6.61,5.9,5.8,4.7,,36.75,32.8,32.25,26.1,1.84,2.25,1.67,0,0.07,,7.56,1.64,0,0,0,0,0,,229.35,6.1,16.59,7.13,0,0.5,7.13,0.04,
GEEKAYWIRE,Geekay Wires Ltd.,,23.37,23.37,27.27,65.97,70.44,2.7,382.06,46.13,42.23,33.23,23.37,,12.07,11.05,8.69,6.11,35.43,35.93,11.14,1.34,1.9,,1.57,1.06,5.57,10.69,9.16,89.31,90.84,,253.39,0.63,5.26,0.42,89.3,2.44,0.42,0.15,
GENESYS,Genesys International Corporation Ltd.,,10.96,10.65,13.8,117.67,117.67,0,47.65,17.18,13.56,12.85,10.19,,36.04,28.45,26.96,21.37,8.65,10.81,7.09,0.07,0.44,,3.54,3.54,0,0,0,0,0,,"1,258.19",6.99,19.4,6.9,0,2.8,6.9,0.03,
GENUSPOWER,Genus Power Infrastructures Ltd.,,1.36,1.35,2.09,38.22,38.22,0.75,31.38,3.77,3.05,1.95,1.36,,12.02,9.7,6.21,4.32,3.55,7.19,2.09,0.35,0.51,,2.12,1.62,2.22,16.43,10.7,83.57,89.3,,"2,390.92",2.96,24.6,2.7,83.56,2.21,2.7,0.02,
GEOJITFSL,Geojit Financial Services Ltd.,,3.75,3.75,4.9,24.28,24.28,1.5,17.55,6.13,4.97,4.63,3.75,,34.92,28.32,26.4,21.34,15.42,19.86,8.14,0.13,0.36,,1.92,1.92,0,80.08,61.16,19.92,38.84,,489.26,1.17,3.34,2.27,19.91,1.64,2.27,0.09,
GEPIL,GE Power India Ltd.,,-65.99,-65.99,-62.63,33.72,33.72,0,267.11,-35.75,-39.1,-49.72,-65.98,,-13.38,-14.63,-18.61,-24.7,-195.65,-64.27,-15.52,1.29,0.57,,1.04,1.01,10.83,0,0,0,0,,736.32,0.41,-3.06,0.37,0,2.94,0.37,-0.67,
GESHIP,Great Eastern Shipping Company Ltd.,,164.74,164.71,196.27,596.78,596.78,28.8,338.64,216.98,185.46,167.3,164.74,,64.07,54.76,49.4,48.64,27.6,23.97,19.55,0.3,0.42,,5.1,4.98,0,15.29,12.83,84.71,87.17,,"8,803.69",1.82,2.84,1.9,84.7,1.08,1.9,0.26,
GHCL,Gujarat Heavy Chemicals Ltd.,,117.45,117.45,126.68,411.54,411.54,17.5,475.51,159.02,149.16,150.91,116.82,,33.44,31.36,31.73,24.56,28.38,32.12,21.78,0.09,0.9,,4.6,3.47,1.5,12.77,11.78,87.23,88.22,,"5,021.68",1.1,3.3,1.06,87.22,1.22,1.06,0.23,
GICHSGFIN,GIC Housing Finance Ltd.,,39.59,39.59,41.41,315.39,315.39,4.5,206.92,186.01,184.17,53.79,39.57,,89.89,89,25.99,19.12,12.54,57.52,1.95,5.38,0.1,,1.17,1.17,0,11.36,10.85,88.64,89.15,,"9,888.17",8.87,9.87,0.75,88.63,0.49,0.75,0.26,
GILLANDERS,Gillanders Arbuthnot & Co Ltd.,,9.56,9.56,13.82,126.6,126.6,0,197.54,15.6,11.33,10.04,9.56,,7.89,5.73,5.08,4.83,7.54,8.33,4.26,0.27,0.85,,1.04,0.56,0.86,0,0,0,0,,215.56,0.51,6.48,0.31,0,0.49,0.31,0.15,
GILLETTE,Gillette India Ltd.,,109.15,109.15,133.9,303.42,303.42,85,760.06,172.25,147.49,145.11,109.14,,22.66,19.4,19.09,14.35,35.96,43.68,18.56,0,1.41,,1.53,1.03,1.73,65.04,53.01,34.96,46.99,,"16,107.66",6.5,28.69,6.69,34.95,16.75,6.69,0.02,
GINNIFILA,Ginni Filaments Ltd.,,-1.67,-1.67,1.73,32.56,32.56,0,111.29,3.05,-0.35,-3,-1.67,,2.74,-0.31,-2.69,-1.5,-5.13,-0.78,-2.25,0.92,1.35,,1.28,0.64,3,0,0,0,0,,398.85,0.42,15.27,0.15,0,0.53,0.15,-0.1,
GIPCL,Gujarat Industries Power Co. Ltd.,,12.48,12.48,23.38,208.55,208.55,3.75,89.62,30.15,19.24,16.76,12.48,,33.63,21.46,18.69,13.91,5.98,6.92,4.2,0.15,0.3,,3.73,2.82,2.7,20.03,10.69,79.97,89.31,,"1,174.59",0.87,2.58,0.85,79.96,0.36,0.85,0.16,
GKWLIMITED,GKW Ltd.,,14.71,14.71,16.37,442.46,"3,698.70",0,34.07,23.34,21.67,21.65,14.71,,68.5,63.6,63.55,43.16,3.32,0.46,0.31,0,0.01,,8.79,8.79,0,0,0,0,0,,-38.03,-1.87,-2.73,0.18,0,0.01,0.18,2.39,
GLAXO,GlaxoSmithKline Pharmaceuticals Ltd.,,35.9,35.88,39.76,103.48,103.48,32,189.86,53.18,49.3,49.14,35.88,,28.01,25.96,25.88,18.89,34.66,41.53,18.26,0,0.81,,1.87,1.54,0.83,250.86,226.37,-150.86,-126.37,,"21,281.16",6.62,23.62,6.97,-150.86,12.8,6.97,0.03,
GLFL,Gujarat Lease Financing Ltd.,,0.07,0.07,0.07,-1.56,-1.56,0,0,0.07,0.07,0.07,0.07,,0,0,0,0,-4.37,3.21,3.01,-2.36,0,,2.21,2.21,0,0,0,0,0,,16.81,0,85.22,0,0,-1.79,0,0.02,
GLOBALVECT,Global Vectra Helicorp Ltd.,,-11.88,-11.88,41.99,20.07,20.07,0,293.66,55.64,1.78,-13.15,-11.88,,18.94,0.6,-4.47,-4.04,-59.17,0.72,-2.16,1.55,0.57,,0.5,0.44,0,0,0,0,0,,101.61,0.25,1.3,0.18,0,2.61,0.18,-0.23,
GLOBUSSPR,Globus Spirits Ltd.,,42.43,42.39,61.98,307.83,307.83,6,732.24,87.98,68.42,62.52,42.43,,12.01,9.34,8.53,5.79,13.78,17.5,7.68,0.31,1.49,,1.1,0.76,9.51,7.07,4.84,92.93,95.16,,"2,475.30",1.17,9.77,1.06,92.92,2.52,1.06,0.05,
GMBREW,GM Breweries Ltd.,,54.61,54.61,57.79,372.83,372.83,6,324.57,75.18,72,71.98,54.61,,23.16,22.18,22.17,16.82,14.64,19.23,12.98,0,0.83,,1.27,0.84,12.68,9.15,8.64,90.85,91.36,,950.31,1.6,6.91,1.64,90.84,1.43,1.64,0.1,
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,,38.13,38.13,40.68,181.11,181.11,11.45,121.93,54.74,52.18,52.11,38.13,,44.89,42.79,42.74,31.27,21.05,25.97,17.61,0,0.61,,4.04,3.82,0,11.27,10.57,88.73,89.43,,"3,948.67",1.02,2.27,1.04,88.72,0.7,1.04,0.3,
GMMPFAUDLR,GMM Pfaudler Ltd.,,22.28,22.27,30.1,157.5,157.5,2,239.11,43.29,35.19,29.16,22.01,,18.1,14.71,12.19,9.2,13.97,16.99,7.47,0.47,0.98,,1.41,0.9,2.5,8.98,6.56,91.02,93.44,,"6,881.97",6.4,35.37,6.13,91.01,9.31,6.13,0.02,
GNFC,Gujarat Narmada Valley Fert & Chem. Ltd.,,94.2,94.2,113.69,579.49,579.49,30,658.02,144.11,124.62,124.28,94.2,,21.9,18.93,18.88,14.31,16.25,18.79,12.62,0,0.92,,3.77,2.9,6.66,10.61,8.79,89.39,91.21,,"5,923.19",0.58,2.64,0.77,89.38,0.88,0.77,0.18,
GOACARBON,Goa Carbon Ltd.,,88.24,88.24,90.62,203.28,203.28,17.5,"1,490.93",171.18,168.8,118.27,88.24,,11.48,11.32,7.93,5.91,43.4,78.62,10.5,2.27,2.28,,1.26,0.69,4.96,11.33,11.03,88.67,88.97,,593.41,0.43,3.79,0.27,88.66,2,0.27,0.22,
GODFRYPHLP,Godfrey Phillips India Ltd.,,117.01,117.01,145.98,613.22,613.22,44,684.76,186.4,157.42,151.86,117.01,,27.22,22.98,22.17,17.08,19.08,23.43,13.4,0.01,0.85,,1.28,0.46,1.14,23.92,19.18,76.08,80.82,,"9,459.08",2.66,9.76,2.66,76.07,2.97,2.66,0.06,
GODREJPROP,Godrej Properties Ltd.,,23.58,23.58,24.27,357.71,357.71,0,41.55,38.94,38.26,29.87,23.58,,93.73,92.08,71.9,56.76,6.59,10.66,3.28,0.64,0.06,,1.62,1.01,0,0,0,0,0,,"33,435.24",28.95,30.88,24.81,0,2.88,24.81,0.02,
GOKEX,Gokaldas Exports Ltd.,,29.5,28.05,41.13,147.41,147.41,1,366.65,49.5,37.82,34.64,29.45,,13.5,10.31,9.44,8.03,19.97,23.11,13.28,0.03,1.73,,2.48,1.65,2.9,0,0,0,0,,"2,158.34",0.97,7.2,0.97,0,2.41,0.97,0.08,
GOKULAGRO,Gokul Agro Resources Ltd.,,7.26,7.26,9.03,37.44,37.44,0,683.38,17.37,15.44,9.58,7.1,,2.54,2.25,1.4,1.03,18.95,26.95,5.5,0.74,6.07,,1.26,0.65,14.28,0,0,0,0,,"1,696.98",0.17,6.62,0.15,0,2.74,0.15,0.07,
GOLDTECH,AION-TECH SOLUTIONS Ltd.,,0.77,0.77,0.98,16.66,16.66,0,21.65,1.41,1.2,1.1,0.77,,6.53,5.53,5.08,3.53,4.59,6.29,3.39,0,0.99,,3.17,3.17,0,0,0,0,0,,142.14,1.9,29.06,2.11,0,2.74,2.11,0.02,
GOODLUCK,Good Luck India Ltd.,,32.97,32.97,43.84,219.55,219.55,4.5,"1,127.07",80.08,68.13,44.07,31.88,,7.1,6.04,3.91,2.82,14.52,24.79,5.91,1,2.26,,1.42,0.7,4.9,12.25,8.91,87.75,91.09,,"1,746.72",0.57,8,0.38,87.74,1.94,0.38,0.07,
GPPL,Gujarat Pipavav Port Ltd.,,6.04,6.04,8.44,42.99,42.99,6.1,18.97,11.44,9.04,8.11,6.04,,60.32,47.65,42.73,31.82,14.03,18.61,11.06,0,0.36,,3.64,3.61,0,84.5,60.43,15.5,39.57,,"4,732.45",5.16,8.56,6.14,15.49,2.71,6.14,0.05,
