Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield,
AMBIKCO,Ambika Cotton Mills Ltd.,,195.45,195.45,247.54,"1,426.40","1,426.40",35,"1,480.35",329.6,277.51,266.34,195.45,,22.26,18.74,17.99,13.2,13.7,18.83,11.41,0,0.94,,5.53,2.63,2.11,17.9,14.13,82.1,85.87,,511.06,0.6,2.71,0.93,82.09,0.97,0.93,0.14,
AMDIND,AMD Industries Ltd.,,10.02,10.02,17.07,82.33,82.33,0,182.61,25.61,18.55,13.72,10.02,,14.02,10.15,7.51,5.48,12.17,19.37,5.38,0.65,1.07,,1.36,0.74,2.56,7.48,4.39,92.52,95.61,,171.41,0.49,3.49,0.24,92.51,0.54,0.24,0.22,
AMJLAND,AMJ Land Ltd.,,1.59,1.59,2.04,32.31,32.31,0.2,2.17,2.16,1.7,1.7,1.59,,99.33,78.49,78.49,73.15,4.91,5.1,4.69,0,0.07,,19.32,12.12,0,12.59,9.8,87.41,90.2,,86.68,9.74,9.8,9.8,87.4,0.66,9.8,0.07,
AMRUTANJAN,Amrutanjan Health Care Ltd.,,13.65,13.63,15.41,99.47,99.47,4.6,129.87,20.16,18.38,18.35,13.63,,15.52,14.15,14.13,10.49,13.69,17.96,11,0,1.07,,4.12,3.66,3.84,14.67,12.97,85.33,87.03,,"1,610.32",4.24,27.32,4.43,85.32,5.78,4.43,0.02,
ANANTRAJ,Anant Raj Ltd.,,3.3,3.3,3.73,85.2,85.2,0.5,20.02,5.47,5.03,4.35,3.29,,27.32,25.1,21.74,16.43,3.86,4.3,2.6,0.32,0.16,,6.03,2.61,0,3.32,2.92,96.68,97.08,,"4,808.01",7.41,27.12,6.12,96.67,1.44,6.12,0.03,
ANDHRAPAP,Andhra Paper Ltd.,,131.37,131.37,147.26,397.83,397.83,12.5,527.45,197.82,181.93,176.26,131.37,,37.5,34.49,33.41,24.9,33.02,43.4,26.06,0.03,1.2,,3.4,2.89,5.15,5.7,5.09,94.3,94.91,,"1,644.74",0.78,2.09,0.78,94.29,1.04,0.78,0.32,
ANDHRSUGAR,The Andhra Sugar Ltd.,,12.84,12.84,17.33,95.15,95.15,2,107.19,22.73,18.24,17.21,12.84,,21.2,17.01,16.05,11.97,13.49,16.69,10.61,0.02,0.88,,4.15,2.07,1.34,0,0,0,0,,"1,445.21",0.99,4.69,1.01,0,1.14,1.01,0.12,
ANIKINDS,Anik Industries Ltd.,,1.83,1.83,2.12,101.18,101.18,0,42.55,3.66,3.37,2.08,1.83,,8.6,7.91,4.89,4.29,1.8,3.24,1.5,0.11,0.24,,3.19,2.75,0.8,0,0,0,0,,104.62,0.89,10.3,0.72,0,0.3,0.72,0.06,
ANKITMETAL,Ankit Metal and Power Ltd.,,-7,-7,-4.5,-62.55,-62.55,0,60.52,-4.49,-6.99,-7,-7,,-7.42,-11.55,-11.56,-11.56,0,11.38,-8.26,-1.25,0.71,,0.35,0.07,0.91,0,0,0,0,,"1,158.42",1.36,-18.28,0.06,0,-0.06,0.06,-1.81,
ANTGRAPHIC,Antarctica Ltd.,,0,0,0.01,1.08,1.08,0,0.04,0.01,0,0,0,,16.66,-0.66,-0.73,-0.73,-0.02,-0.02,-0.02,0.18,0.03,,33.49,17.14,0.06,0,0,0,0,,38.45,56.81,340.89,52.9,0,2.14,52.98,0,
ANUP,The Anup Engineering Ltd.,,55.25,54.89,67.88,446.56,446.56,15,415.65,88.05,75.37,73.97,55.2,,21.18,18.13,17.79,13.28,12.36,16.42,8.99,0,0.73,,2.31,1.48,2.15,14.46,11.76,85.54,88.24,,962.18,2.34,11.04,2.42,85.53,2.25,2.42,0.05,
APEX,Apex Frozen Foods Ltd.,,11.48,11.48,17.7,156.79,156.79,2.5,342.5,27.13,20.91,16.2,11.48,,7.91,6.1,4.73,3.35,7.32,13.06,5.84,0.18,1.66,,2.99,1.41,3.76,21.77,14.12,78.23,85.88,,683.47,0.64,8.06,0.56,78.22,1.23,0.56,0.06,
APLAPOLLO,APL Apollo Tubes Ltd.,,18.47,18.45,22.15,92.7,92.7,5,514.85,30.26,26.56,24.85,18.46,,5.87,5.15,4.82,3.58,19.91,25.99,11.36,0.16,3.7,,0.93,0.29,13.47,17.11,14.25,82.89,85.75,,"33,530.31",2.35,39.96,2.34,82.88,12.99,2.34,0.02,
APLLTD,Alembic Pharmaceuticals Ltd.,,17.64,17.64,31.53,224.59,224.59,8,261.97,33.98,20.09,17.6,17.64,,12.97,7.67,6.71,6.73,7.85,8.62,5.65,0.14,0.78,,1.79,0.97,0.94,56.68,31.71,43.32,68.29,,"10,354.51",2.01,15.5,1.89,43.31,2.21,1.89,0.04,
