Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield,,,,,
BRIGADE,Brigade Enterprises Ltd.,,13.69,13.66,17.08,154.8,154.8,1.5,93.84,28.67,25,18.8,13.41,,30.54,26.64,20.03,14.29,8.66,11.32,3.51,0.46,0.26,,1.22,0.42,0.01,8.91,7,91.09,93,,"13,256.53",6.14,20.08,5.51,91.08,3.34,5.51,0.03,,,,,
BRITANNIA,Britannia Industries Ltd.,,66.56,66.56,73.61,99.73,99.73,56.5,555.07,101.64,94.59,89.05,66.55,,18.31,17.04,16.04,11.98,66.72,72.25,22.89,0.91,1.85,,0.93,0.61,5.68,111.93,101.19,-11.93,-1.19,,"79,317.44",5.93,32.39,5.77,-11.93,32.13,5.77,0.02,,,,,
BRNL,Bharat Road Network Ltd.,,-38.38,-38.38,-38.37,98.04,98.04,0,10.87,-2.16,-2.17,-40.64,-38.38,,-19.88,-19.95,-373.88,-353.12,-39.14,-1.7,-25.64,0.38,0.07,,1.83,1.83,0,0,0,0,0,,538.99,5.91,-29.71,2.64,0,0.29,2.64,-1.34,,,,,
BSL,BSL Ltd.,,11.15,11.15,22.34,86.77,86.77,1.2,423.46,40.25,29.06,15.53,11.15,,9.5,6.86,3.66,2.63,12.85,21.32,3.26,2.08,1.36,,1.22,0.55,1.61,0,0,0,0,,300.53,0.69,7.25,0.26,0,1.29,0.26,0.1,,,,,
BSOFT,Birlasoft Ltd.,,10.62,10.49,13.04,56.85,56.85,4.5,73.32,17.03,14.58,14.2,10.59,,23.22,19.88,19.36,14.44,18.63,23.72,14.74,0,1.07,,4.36,4.36,0,37.52,30.46,62.48,69.54,,"12,562.35",6.13,26.39,6.2,62.47,8,6.2,0.02,,,,,
BURNPUR,Burnpur Cement Ltd.,,-6.85,-6.85,-5.56,-33.28,-32.75,0,17.56,2.01,0.72,-6.71,-6.85,,11.46,4.11,-38.21,-38.99,0,-2.44,-25.12,-1.61,0.58,,0.03,0.01,6.57,0,0,0,0,,513.68,3.4,29.61,0.36,0,-0.19,0.36,-1.08,,,,,
BUTTERFLY,Butterfly Gandhimathi Appliances Ltd.,,9.02,9.02,17.67,130.99,131.44,3,562.26,32.42,23.77,13.85,9.02,,5.76,4.22,2.46,1.6,6.88,17.34,3.11,0.22,2,,1.25,0.48,2.49,33.26,16.97,66.74,83.03,,"2,525.04",2.51,43.56,2.47,66.73,10.61,2.47,0.01,,,,,
CAMLINFINE,Camlin Fine Sciences Ltd.,,1.98,1.94,3.35,37.52,37.52,0,43.67,6.13,4.43,2.3,1.65,,14.03,10.13,5.26,3.77,4.39,7.93,1.92,0.76,0.57,,1.53,1.23,2.79,0,0,0,0,,"2,581.11",3.77,26.83,3.19,0,3.72,3.19,0.01,,,,,
CANBK,Canara Bank,,32.49,32.49,35.8,317.54,364.42,6.5,382.61,31.3,,"7,985,623.32","653,299.15","205,940,137.14",,"71,307,005.65","5,833,584.24","1,838,926,523.53",,1.92,33.94,8.18,-15.58,0.46,9.85,2.15,43.3,5.65,1.34,-0.88,1.61,3.5,,"1,122,380.90",16.17,0.72,0.59,79.23,0.14,,,,,,
CANFINHOME,Can Fin Homes Ltd.,,35.38,35.38,36.11,230.29,230.29,3,149.28,135.05,134.31,47.69,35.38,,90.46,89.97,31.94,23.69,15.36,18.28,1.68,8.04,0.08,,1.53,1.53,0,9.89,9.69,90.11,90.31,,"32,731.67",16.47,18.2,4.23,90.1,2.74,4.23,0.06,,,,,
CANTABIL,Cantabil Retail India Ltd.,,23.31,23.31,49.82,98.04,98.04,2.5,234.81,77.7,51.19,36.49,23.31,,33.09,21.79,15.54,9.92,23.77,21.23,7.67,0,0.83,,1.57,0.14,0.64,4.29,2,95.71,98,,"1,496.62",3.9,11.8,3.91,95.7,9.37,3.91,0.03,,,,,
CAPACITE,Capacite Infraprojects Ltd.,,6.58,6.58,21.14,143.46,143.46,0,196.61,33.37,18.82,8.95,6.58,,16.97,9.57,4.55,3.34,4.58,9.26,1.86,0.34,0.58,,1.44,1.33,5.24,0,0,0,0,,886.95,0.66,3.91,0.56,0,0.76,0.56,0.06,,,,,
CAPTRUST,Capital Trust Ltd.,,-7.6,-7.6,-7.29,72.75,72.75,0,63.28,12.9,12.59,-10.36,-7.6,,20.38,19.9,-16.37,-12,-10.44,8.71,-3.07,2.18,0.25,,2.16,2.16,0,0,0,0,0,,389.03,3.79,18.6,1.83,0,1.59,1.83,-0.07,,,,,
CARBORUNIV,Carborundum Universal Ltd.,,13.41,13.41,16.83,91.69,91.69,3.5,116.68,21.68,18.25,18.2,13.4,,18.57,15.64,15.59,11.48,14.61,19.67,11.21,0.09,1.08,,1.62,0.84,2.57,22.36,17.81,77.64,82.19,,"15,293.69",6.9,37.16,6.84,77.63,8.7,6.84,0.02,,,,,
CARERATING,CARE Ratings Ltd.,,28.62,28.47,30.85,219.33,219.33,17,73.96,38.58,36.22,36.08,28.49,,52.15,48.96,48.78,38.52,12.99,16.05,11.92,0,0.32,,13.29,13.29,0,45.33,41.87,54.67,58.13,,"1,446.92",6.6,12.65,6.92,54.66,2.33,6.92,0.06,,,,,
CCHHL,Country Club Hospitality & Holidays Ltd.,,-0.38,-0.38,0.49,31.7,31.85,0,3.45,1.48,0.61,-0.26,-0.38,,42.91,17.74,-7.56,-11.11,-1.2,1.3,-0.63,0.54,0.06,,0.29,0.28,0,0,0,0,0,,402.2,7.13,16.61,2.16,0,0.24,2.16,-0.05,,,,,
CEATLTD,Ceat Ltd.,,13.43,13.43,121.01,778.81,778.81,3,"2,302.26",180.29,72.71,19.1,13.43,,7.83,3.15,0.82,0.58,1.72,5.5,0.6,0.66,1.1,,0.71,0.36,5.16,134.01,14.87,-34.01,85.13,,"5,823.86",0.63,7.99,0.4,-34.01,1.2,0.4,0.01,,,,,
CELEBRITY,Celebrity Fashions Ltd.,,1.3,1.3,3.11,2.9,2.9,0,63.42,4.27,2.86,1.7,1.7,,6.73,4.5,2.67,2.67,58.61,33.32,4.85,3.74,1.94,,1.11,0.59,3,0,0,0,0,,141.99,0.43,6.43,0.21,0,4.54,0.21,0.13,,,,,
CENTEXT,Century Extrusions Ltd.,,0.77,0.77,1.2,7.41,7.41,0,40.31,2.46,2.03,1.08,0.77,,6.09,5.03,2.68,1.91,10.41,22.09,4.5,0.75,2.55,,1.62,0.95,6.87,0,0,0,0,,124.08,0.38,6.32,0.26,0,1.4,0.26,0.07,,,,,
CENTRALBK,Central Bank of India,,1.27,1.27,1.55,27.43,31.71,0,26.27,1.2,,"7,528,029.19","344,952.99","168,663,685.66",,"50,356,995.58","2,307,482.55","1,128,236,390.24",,1.37,50.63,4.58,-8.43,0.27,4.38,2.45,44.27,5.89,0.76,-0.49,1.87,3.44,,"328,062.12",14.39,0.67,0.7,100,0.07,,,,,,
CENTUM,Centum Electronics Ltd.,,9.13,9.12,21.93,205.3,205.3,2.5,272.24,37.49,24.7,11.93,9.13,,13.77,9.07,4.38,3.35,4.44,11.65,2.15,0.37,0.65,,1.22,0.5,1.11,21.9,9.12,78.1,90.88,,648.14,1.85,13.42,1.64,78.09,2.17,1.64,0.02,,,,,
CENTURYPLY,Century Plyboards Ltd.,,14.64,14.64,17.65,70.32,70.32,1.5,134.85,25.05,22.01,21.58,14.62,,18.57,16.32,16,10.83,20.78,30.47,14.68,0.13,1.5,,1.92,1.11,2.98,6.83,5.65,93.17,94.35,,"15,888.93",5.29,28.51,5.31,93.16,10.19,5.31,0.02,,,,,
CENTURYTEX,Century Textiles and Industries Ltd.,,18.57,18.57,38.98,350.89,350.89,4,369.72,54.14,33.73,27.01,18.56,,14.64,9.12,7.3,5.02,5.29,7.68,2.89,0.31,0.61,,0.88,0.27,2.05,5.38,2.56,94.62,97.44,,"10,641.87",2.58,17.6,2.31,94.61,2.43,2.31,0.02,,,,,
CERA,Cera Sanitaryware Ltd.,,114.84,114.84,138.24,773.31,773.31,35,"1,108.55",187.63,164.23,156.29,114.84,,16.92,14.81,14.09,10.35,14.85,19.64,10.46,0.02,1.06,,3.09,2.24,0.77,11.32,9.4,88.68,90.6,,"6,474.50",4.49,26.53,4.49,88.67,6.43,4.49,0.02,,,,,
CEREBRAINT,Cerebra Integrated Technologies Ltd.,,2.45,2.31,2.49,23.47,23.47,0,20.63,4.21,4.17,3.61,2.45,,20.4,20.22,17.51,11.86,10.43,17.73,6.36,0.12,0.64,,1.53,1.4,7.11,0,0,0,0,,913.2,3.95,19.36,3.82,0,3.36,3.82,0.03,,,,,
CGPOWER,CG Power and Industrial Solutions Ltd.,,4.62,4.36,4.86,12.62,12.62,0,35.78,4.45,3.94,5.14,4.35,,12.44,11.01,14.37,12.15,34.46,26.18,16.33,0.17,1.34,,1.26,0.99,8.69,0,0,0,0,,"27,176.05",5.27,42.32,5.29,0,15,5.29,0.02,,,,,
