Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield,,,,,
ESSENTIA,Integra Essentia Ltd.,,0.1,0.1,0.1,-2.67,-2.67,0,6.29,0.1,0.1,0.1,0.1,,1.65,1.65,1.58,1.58,-3.73,-3.89,6.44,-0.99,8.04,,0.36,0.36,0,0,0,0,0,,48.58,0.71,42.79,0.3,0,-0.7,0.3,0.05,,,,,
ESTER,Ester Industries Ltd.,,16.65,16.65,21.28,75.36,75.36,3.3,168.56,30.19,25.57,22.59,16.65,,17.91,15.16,13.39,9.87,22.09,25.14,12.6,0.51,1.43,,1.89,1.09,5.39,19.81,15.51,80.19,84.49,,"1,470.56",1.05,5.84,0.84,80.18,1.88,0.84,0.12,,,,,
EVEREADY,Eveready Industries India Ltd.,,6.53,6.53,10.31,40.6,40.6,0,166.02,17.19,13.41,6.81,6.53,,10.35,8.07,4.09,3.93,16.09,19.17,5,1.26,1.22,,0.93,0.39,1.88,0,0,0,0,,"2,751.48",2.28,22.02,2.02,0,8.24,2.02,0.02,,,,,
EVERESTIND,Everest Industries Ltd.,,28.2,28.2,46.41,346.92,346.92,6,868.21,62.73,44.46,42.45,28.14,,7.22,5.12,4.88,3.24,8.11,11.26,4.16,0,1.37,,1.39,0.63,2.64,26.58,16.12,73.42,83.88,,952.68,0.7,9.69,0.82,73.41,2.05,0.82,0.04,,,,,
EXCEL,Excel Realty N Infra Ltd.,,-0.28,-0.28,-0.26,17.91,17.91,0,0.92,-0.25,-0.27,-0.27,-0.28,,-26.71,-29.12,-29.52,-30.51,-1.56,-1.49,-1.47,0,0.05,,4.99,4.97,0,0,0,0,0,,62.52,7.22,-27.02,7.37,0,0.38,7.38,-0.04,,,,,
EXCELINDUS,Excel Industries Ltd.,,127.41,127.41,151.79,741.99,741.99,22.5,937.12,194.64,170.26,168.73,127.41,,20.77,18.16,18,13.59,17.17,20.78,13,0.01,1.08,,2.34,1.52,5.31,8.83,7.41,91.17,92.59,,"1,662.83",1.41,6.8,1.46,91.16,1.85,1.46,0.09,,,,,
EXPLEOSOL,Expleo Solutions Ltd.,,48.6,48.6,56.34,203.83,203.83,0,394.57,74.08,66.35,65.61,48.61,,18.77,16.81,16.62,12.31,23.84,30.65,17.11,0,1.56,,3.4,3.4,0,0,0,0,0,,"1,607.51",3.97,21.17,4.27,0,8.27,4.27,0.03,,,,,
FACT,Fertilisers and Chemicals Travancore Ltd.,,5.46,5.46,5.88,2.93,2.93,0,68.38,11.03,10.61,5.46,5.46,,16.13,15.52,7.98,7.98,186.55,155.53,8.29,9.53,1.16,,0.99,0.81,4.71,0,0,0,0,,"8,408.63",1.9,11.78,1.92,0,44.79,1.92,0.04,,,,,
FCL,Fineotex Chemical Ltd.,,3.97,3.97,4.17,20.02,20.02,0.4,22.58,5.37,5.17,5.12,3.97,,23.8,22.9,22.69,17.58,19.83,25.6,16.25,0.01,1.03,,3.59,2.56,4.35,7.55,7.18,92.45,92.82,,"1,972.73",7.89,33.14,7.98,92.44,8.99,7.98,0.02,,,,,
FCSSOFT,FCS Software Solutions Ltd.,,0,0,0.02,1.75,1.75,0,0.2,0.05,0.02,0,0,,22.58,11.34,1.54,0.23,0.02,1.2,0.02,0.07,0.1,,1.16,1.16,0,0,0,0,0,,692.77,20.19,89.38,19.63,0,2.25,19.63,0,,,,,
FDC,FDC Ltd.,,13.01,13.01,15.21,115.44,115.44,0,89.98,19.29,17.09,16.91,13.01,,21.43,18.99,18.79,14.45,11.27,14.54,9.74,0,0.72,,3.65,2.53,1.75,0,0,0,0,,"4,304.88",2.83,13.22,2.86,0,2.23,2.86,0.05,,,,,
FEDDERELEC,Fedders Electric and Engineering Ltd.,,249.58,249.58,252.81,38.67,38.67,0,15.49,12.57,9.33,249.02,249.58,,81.11,60.21,"1,607.27","1,610.86",645.45,21.86,541.57,0.02,0.12,,6.93,6.16,2.82,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,
FEDERALBNK,Federal Bank Ltd.,,9.13,9.06,9.57,89.36,89.39,1.8,64.97,8.99,,"10,806,702.71","1,494,993.67","258,388,506.21",,"106,558,134.95","14,741,197.35","2,547,807,415.76",,1.74,37.13,13.83,-1.45,0.85,10.05,2.69,39.11,6.18,0.94,-0.09,1.94,3.48,,"207,562.70",15.19,1.09,1.5,92.6,0.09,,,,,,
FIEMIND,FIEM Industries Ltd.,,72.39,72.39,116.96,491.97,491.97,20,"1,194.74",148.97,104.4,97.87,72.39,,12.46,8.73,8.19,6.05,14.71,19.18,9.03,0.03,1.59,,1.55,1.01,6.49,22.1,13.68,77.9,86.32,,"1,138.81",0.72,5.81,0.75,77.89,1.83,0.75,0.08,,,,,
FILATEX,Filatex India Ltd.,,13.53,13.48,16.25,48.19,48.19,0.2,169.94,24.7,21.88,20.36,13.44,,14.53,12.87,11.97,7.9,27.88,31.37,14.96,0.33,2,,1.59,0.76,9.08,2.93,2.43,97.07,97.57,,"3,186.27",0.83,5.73,0.75,97.06,2.63,0.75,0.11,,,,,
FINCABLES,Finolex Cables Ltd.,,26.46,26.46,28.99,213.39,213.39,6,246.36,37.07,34.53,34.43,26.45,,15.04,14.01,13.97,10.73,12.39,15.97,11.23,0,1.1,,9.53,7.3,3.97,20.79,18.96,79.21,81.04,,"5,740.06",1.52,10.12,1.53,79.2,1.77,1.53,0.07,,,,,
FINEORG,Fine Organics Industries Ltd.,,81.76,81.76,94.77,312.62,312.62,9,606.14,124.5,111.49,109.84,81.76,,20.54,18.39,18.12,13.48,26.15,34.72,20.41,0.06,1.7,,3.56,2.74,7.86,13.45,11.6,86.55,88.4,,"12,151.80",6.54,31.83,6.62,86.54,12.84,6.62,0.02,,,,,
FLEXITUFF,Flexituff Ventures International  Ltd.,,-38.01,-38.01,-10.08,20.69,20.69,0,417.59,8.95,-18.97,-45.82,-38,,2.14,-4.54,-10.97,-9.1,-183.72,-57.41,-9.5,12.12,1,,0.52,0.41,5.48,0,0,0,0,,667.74,0.64,29.97,0.05,0,1.09,0.05,-1.68,,,,,
FSL,Firstsource Solutions Ltd.,,5.7,5.49,6.83,33.28,33.28,3.5,22.84,8.06,6.79,6.5,5.56,,35.27,29.73,28.47,24.34,16.7,18.65,14.1,0,0.59,,3.83,3.83,0,61.5,50.1,38.5,49.9,,"8,697.96",5.46,15.49,5.47,38.49,3.76,5.47,0.04,,,,,
GABRIEL,Gabriel India Ltd.,,6.23,6.23,9.11,53.38,53.38,1.55,162.35,11.98,9.1,8.8,6.23,,7.37,5.6,5.42,3.83,11.67,16.19,6.61,0,1.82,,1.66,1.28,8.68,20.05,13.71,79.95,86.29,,"1,552.76",0.67,9.02,0.69,79.94,2.1,0.69,0.06,,,,,
GAIL,GAIL India Ltd.,,23.34,23.34,28.09,125.18,125.18,10,206.35,35.75,31,30.61,23.34,,17.32,15.02,14.83,11.31,18.64,18.91,12,0.11,1.15,,1.1,0.87,1.8,38.56,32.03,61.44,67.97,,"73,404.68",0.8,4.62,0.75,61.43,1.24,0.75,0.15,,,,,
GALAXYSURF,Galaxy Surfactants Ltd.,,37.76,37.76,50.1,320.93,320.93,18,741.49,65.6,53.26,51.07,37.76,,8.84,7.18,6.88,5.09,11.76,15.19,7.12,0.22,1.53,,1.52,0.88,5.88,10.59,7.98,89.41,92.02,,"10,394.43",3.95,44.7,3.86,89.4,8.93,3.86,0.01,,,,,
GALLANTT,Gallantt Ispat Ltd.,,21.62,7.29,32.95,256.16,256.16,0,371.04,43.02,31.7,29.18,21.62,,11.59,8.54,7.86,5.82,8.44,11.64,6.53,0.19,1.76,,1.81,1.11,10.49,0,0,0,0,,863.96,0.29,2.47,0.16,0,0.24,0.16,0.36,,,,,
GANDHITUBE,Gandhi Special Tubes Ltd.,,30.66,30.66,34.41,121.11,121.11,10,112.73,44.26,41.59,41.55,31.74,,39.26,36.89,36.85,28.15,26.2,32.24,23.18,0,0.76,,8.33,5.87,2.17,30.14,27.8,69.86,72.2,,422.14,3.08,7.85,3.1,69.85,2.88,3.1,0.09,,,,,
GANECOS,Ganesha Ecosphere Ltd.,,31.86,31.86,44.86,267.55,267.55,2,468.34,59.03,46.04,41.57,31.86,,12.6,9.82,8.87,6.8,11.9,15.72,8.1,0.24,1.27,,1.97,1.1,3.62,6.27,4.45,93.73,95.55,,"1,727.13",1.69,13.4,1.56,93.72,2.72,1.56,0.04,,,,,
GANESHHOUC,Ganesh Housing Corporation Ltd.,,0.01,0.01,0.24,104.5,104.5,0,15,3.33,3.1,0.05,0,,22.2,20.63,0.3,0.03,0,2.74,0,0.11,0.12,,4.16,2.76,0,0,0,0,0,,"2,320.46",18.55,83.52,17.8,0,2.56,17.8,0,,,,,
GARFIBRES,Garware Technical Fibres Ltd.,,77.96,77.96,88.34,483.19,483.19,7,570.4,117.31,106.92,101.86,77.96,,20.56,18.74,17.85,13.66,16.13,21.12,11.23,0.08,0.85,,2.02,1.52,1.82,3.2,2.83,96.8,97.17,,"5,879.31",5,24.31,4.96,96.79,5.86,4.96,0.03,,,,,
GEECEE,GeeCee Ventures Ltd.,,8.73,8.73,9.44,244.65,244.65,1.9,44.53,12.21,11.5,11.5,8.73,,27.42,25.82,25.81,19.59,3.56,4.56,3.37,0,0.18,,21.89,6.84,0,21.77,20.13,78.23,79.87,,310.61,3.34,12.16,3.37,78.22,0.61,3.37,0.06,,,,,
GEEKAYWIRE,Geekay Wires Ltd.,,8.61,8.61,11.96,45.29,49.77,2.5,246.78,22.76,19.41,12.25,8.61,,9.22,7.86,4.96,3.48,19.01,24.66,4.48,2.29,1.51,,1.29,0.75,3.8,24.38,17.55,75.62,82.45,,168.38,0.65,7.08,0.27,75.61,1.47,0.27,0.13,,,,,
GENESYS,Genesys International Corporation Ltd.,,-27,-25.01,-23.66,62.6,62.6,0,38.14,10.35,7.1,-25.69,-26.9,,27.13,18.62,-67.34,-70.53,-42.97,10.79,-31.32,0.06,0.42,,2.05,2.05,0,0,0,0,0,,"1,777.82",14.86,54.76,14.95,0,9.11,14.95,-0.05,,,,,
GENUSPOWER,Genus Power Infrastructures Ltd.,,1,0.99,1.8,37.09,37.09,0.25,26.6,3.36,2.56,1.57,1,,12.61,9.62,5.88,3.76,2.7,6.55,1.7,0.28,0.47,,2.24,1.8,2.22,44.52,24.84,55.48,75.16,,"2,034.77",2.97,23.54,2.7,55.47,1.94,2.7,0.01,,,,,
GEOJITFSL,Geojit Financial Services Ltd.,,5.99,5.98,6.97,23.53,23.53,3,20.12,9.2,8.21,8,5.98,,45.73,40.82,39.74,29.73,25.42,33.92,11.86,0.09,0.44,,1.74,1.74,0,33.34,28.61,66.66,71.39,,868.65,1.81,3.95,3.11,66.65,2.66,3.11,0.1,,,,,
GEPIL,GE Power India Ltd.,,-43.39,-43.39,-36.89,100.09,100.09,0,389.77,-3.29,-9.79,-43.65,-43.39,,-0.84,-2.51,-11.19,-11.13,-43.34,-7.75,-8.44,0.44,0.7,,1.15,1.12,10.2,0,0,0,0,,"1,137.14",0.43,-51.45,0.39,0,1.52,0.39,-0.28,,,,,
GESHIP,Great Eastern Shipping Company Ltd.,,55.42,55.31,87.39,460.28,460.28,9.9,198.36,108.06,77.53,58.17,56.85,,54.47,39.08,29.32,28.66,12.35,11.23,7.4,0.52,0.26,,3.34,3.22,0,24.44,15.9,75.56,84.1,,"6,318.21",2.23,4.1,1.74,75.55,0.75,1.74,0.16,,,,,
GHCL,Gujarat Heavy Chemicals Ltd.,,60.31,60.31,78.73,324.1,324.1,15,396.26,104.07,91.82,82.53,66.49,,26.26,23.17,20.82,16.77,20.51,23,12.7,0.25,0.84,,1.84,1.04,1.77,8.24,6.96,91.76,93.04,,"5,749.93",1.52,5.79,1.38,91.75,1.69,1.38,0.12,,,,,
GICHSGFIN,GIC Housing Finance Ltd.,,32.23,32.23,33.81,280.4,280.4,4.5,213.4,174.45,172.86,42.76,32.21,,81.74,81,20.03,15.09,11.48,30.81,1.45,6.85,0.09,,1.32,1.32,0,12.4,11.82,87.6,88.18,,"10,572.26",9.2,11.25,0.61,87.59,0.47,0.61,0.25,,,,,
GILLANDERS,Gillanders Arbuthnot & Co Ltd.,,6.52,6.52,10.68,117.93,117.93,0,172.62,19.28,15.11,6.23,6.52,,11.16,8.75,3.61,3.77,5.52,10.58,2.69,0.47,0.7,,1.08,0.56,1.05,0,0,0,0,,265.08,0.72,6.44,0.38,0,0.55,0.38,0.1,,,,,
GILLETTE,Gillette India Ltd.,,88.79,88.79,109.75,264.25,264.25,69,692.29,150.42,129.44,126.21,88.78,,21.72,18.69,18.23,12.82,33.59,44.66,17.98,0,1.5,,1.43,0.87,1.6,77.71,62.85,22.29,37.15,,"16,033.26",7.11,32.71,7.24,22.28,18.96,7.24,0.02,,,,,
GINNIFILA,Ginni Filaments Ltd.,,5.82,5.82,8.66,34.17,34.17,0,126.62,13.87,10.86,8.68,5.65,,10.95,8.57,6.85,4.45,16.52,22.05,6.22,1.11,1.59,,1.32,0.59,3.08,0,0,0,0,,688.32,0.63,5.79,0.34,0,1.27,0.34,0.13,,,,,
GIPCL,Gujarat Industries Power Co. Ltd.,,11.33,11.33,21.31,201.28,201.28,2.5,77.51,28.23,18.25,16.35,11.33,,36.41,23.54,21.09,14.61,5.62,6.8,3.89,0.17,0.27,,2.55,1.91,2.15,25.6,13.61,74.4,86.39,,"1,344.71",1.15,3.15,0.95,74.39,0.36,0.95,0.15,,,,,
GKWLIMITED,GKW Ltd.,,22.46,22.46,23.99,589.16,"3,845.40",0,40.15,30.31,28.77,28.75,22.46,,75.47,71.66,71.59,55.93,3.81,0.59,0.46,0,0.01,,10.26,10.26,0,0,0,0,0,,-46.7,-1.95,-2.58,0.15,0,0.01,0.15,3.65,,,,,
GLAXO,GlaxoSmithKline Pharmaceuticals Ltd.,,99.05,99.79,103.82,158.06,158.06,90,189.93,49.12,45.09,45.66,99.79,,25.85,23.74,24.03,52.54,63.13,25.9,36.57,0,0.83,,2.19,1.89,1.07,30.06,28.89,69.94,71.11,,"25,692.26",7.99,30.88,8.76,69.93,10.52,8.76,0.06,,,,,
GLFL,Gujarat Lease Financing Ltd.,,-0.03,-0.03,-0.02,-1.63,-1.63,0,0,-0.02,-0.03,-0.03,-0.03,,0,0,0,0,0,-1.47,-1.38,-2.26,0,,15.18,15.18,0,0,0,0,0,,13.64,0,-254.5,0,0,-1.97,0,-0.01,,,,,
GLOBALVECT,Global Vectra Helicorp Ltd.,,-3.89,-3.89,52.09,28.88,28.88,0,237.19,61.83,5.86,-5.48,-3.89,,26.06,2.47,-2.31,-1.63,-13.46,2.96,-0.81,1.37,0.48,,0.48,0.42,0,0,0,0,0,,86.82,0.26,1,0.19,0,1.57,0.19,-0.09,,,,,
GLOBUSSPR,Globus Spirits Ltd.,,65.01,65.01,79.79,268.14,268.14,3,548.27,116.39,101.61,97.64,65.01,,21.22,18.53,17.8,11.85,24.24,29.86,15.14,0.23,1.42,,1.51,1.09,8.15,3.07,2.5,96.93,97.5,,"4,504.98",2.85,13.44,2.79,96.92,5.71,2.79,0.04,,,,,
GMBREW,GM Breweries Ltd.,,51.08,51.08,54.37,323.22,323.22,5,250.72,67.88,64.57,64.56,51.05,,27.07,25.75,25.74,20.36,15.79,19.87,13.97,0,0.74,,1.64,1.21,11.04,7.83,7.35,92.17,92.65,,"1,276.56",2.78,10.28,2.84,92.16,2.2,2.84,0.07,,,,,
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,,12.71,12.71,15.79,148.78,148.78,4.3,89.87,26.29,23.21,23.15,12.71,,29.25,25.82,25.75,14.14,8.54,13.52,6.87,0,0.53,,3.9,3.69,0,1.57,1.26,98.43,98.74,,"5,971.07",2.09,7.14,2.11,98.42,1.28,2.11,0.07,,,,,
GMMPFAUDLR,GMM Pfaudler Ltd.,,64.96,64.95,88.03,304.53,304.53,6,558.1,120.27,97.27,87,65.04,,21.54,17.42,15.58,11.65,21.35,25.59,10.91,0.29,1.06,,1.44,0.71,2.34,7.69,5.68,92.31,94.32,,"6,775.46",8.32,38.59,8.18,92.3,14.99,8.18,0.01,,,,,
GNFC,Gujarat Narmada Valley Fert & Chem. Ltd.,,109.62,109.62,128.39,508.23,508.23,10,556.06,166.85,148.08,147.86,109.62,,30,26.63,26.59,19.71,21.56,24.81,16.03,0,0.91,,3.61,2.89,5.6,7.29,6.23,92.71,93.77,,"11,944.13",1.38,4.61,1.52,92.7,1.66,1.52,0.13,,,,,
GOACARBON,Goa Carbon Ltd.,,41.28,41.28,43.58,125.22,125.22,10,837.19,64.72,62.42,44.71,41.28,,7.73,7.45,5.34,4.93,32.96,45.34,8.84,2.09,2.21,,1.26,0.77,5.33,0,0,0,0,,537.84,0.7,9.08,0.62,0,4.17,0.62,0.08,,,,,
GODFRYPHLP,Godfrey Phillips India Ltd.,,83.08,83.08,110.42,523.85,523.85,28,514.35,141.85,114.51,108.01,83.08,,27.57,22.26,20.99,16.15,15.85,19.71,11.23,0.01,0.73,,1.89,0.97,0.85,28.88,21.73,71.12,78.27,,"5,246.01",1.96,7.11,1.96,71.11,1.93,1.96,0.08,,,,,
GODREJPROP,Godrej Properties Ltd.,,18.92,18.92,19.56,333.99,333.99,0,53.01,34.3,33.66,25.67,18.92,,64.71,63.51,48.42,35.69,5.66,9,3.26,0.56,0.09,,2.26,1.85,0,0,0,0,0,,"50,374.62",34.19,52.83,31.55,0,5.01,31.55,0.01,,,,,
GOKEX,Gokaldas Exports Ltd.,,23.01,22.07,29.68,120.32,120.32,0,303.35,36.45,26.57,19.79,19.79,,12.01,8.75,6.52,6.52,16.44,19.09,9.52,0.09,1.6,,2.04,0.97,2.91,0,0,0,0,,"2,435.82",1.36,11.33,1.33,0,3.36,1.33,0.05,,,,,
GOKULAGRO,Gokul Agro Resources Ltd.,,7.55,7.55,9.22,28.41,28.41,0,714.14,14.84,12.81,9.26,7.2,,2.07,1.79,1.29,1,25.33,35.52,7.25,0.52,7.71,,1.2,0.55,19.75,0,0,0,0,,"1,091.44",0.11,5.14,0.1,0,2.59,0.1,0.1,,,,,
GOLDTECH,AION-TECH SOLUTIONS Ltd.,,0.37,0.37,0.39,15.86,15.86,0,15.88,0.53,0.42,0.38,0.28,,3.33,2.64,2.38,1.76,1.76,2.44,1.32,0.07,0.95,,3.84,3.84,0,0,0,0,0,,240.96,4.39,131.74,4.9,0,4.91,4.9,0,,,,,
GOODLUCK,Good Luck India Ltd.,,29.48,29.48,39.98,179.16,179.16,3.5,"1,004.83",71.86,60.73,38.68,28.85,,7.15,6.04,3.84,2.87,16.1,25.42,5.98,1.16,2.22,,1.35,0.67,4.92,12.13,8.75,87.87,91.25,,"1,243.57",0.48,6.65,0.27,87.86,1.54,0.27,0.1,,,,,
GPPL,Gujarat Pipavav Port Ltd.,,4,4,6.67,42.04,42.04,4,15.38,9.13,6.45,6.26,4,,59.33,41.94,40.68,25.98,9.5,13.74,7.66,0,0.3,,3.71,3.67,0,100.07,59.96,-0.07,40.04,,"2,844.95",3.83,6.45,4.98,-0.07,1.82,4.98,0.05,,,,,
GPTINFRA,GPT Infraprojects Ltd.,,8.5,8.5,13.49,77.45,77.45,3,230.72,30.43,25.44,12.29,8.5,,13.18,11.02,5.32,3.68,10.97,23.56,3.68,1.08,1,,1.38,1.15,0.92,29.4,18.53,70.6,81.47,,441.86,0.66,4.99,0.33,70.59,0.97,0.33,0.11,,,,,
GRANULES,Granules India Ltd.,,15.6,15.55,20.67,102.04,102.04,1.5,130.58,26.7,21.61,20.95,15.58,,20.44,16.55,16.04,11.93,15.27,18.93,8.83,0.41,0.8,,1.51,1.13,3.54,9.61,7.24,90.39,92.76,,"8,288.56",2.56,12.52,2.35,90.38,3,2.35,0.05,,,,,
GRAPHITE,Graphite India Ltd.,,29.39,29.39,31.72,229.63,229.63,10,143.24,41.07,38.74,38.55,29.39,,28.67,27.04,26.91,20.51,12.79,16.46,10.13,0.08,0.54,,3.76,2.39,1.2,17.01,15.76,82.99,84.24,,"10,065.45",3.6,12.54,3.51,82.98,2.19,3.51,0.06,,,,,
GRASIM,Grasim Industries Ltd.,,46.47,46.4,60.23,738.5,738.5,10,316.83,62.46,48.57,43.77,46.35,,19.71,15.33,13.81,14.62,6.27,5.95,4.87,0.08,0.36,,1.28,0.84,4.32,19.41,14.93,80.59,85.07,,"113,485.93",5.44,27.6,5.25,80.58,2.25,5.25,0.03,,,,,
GRAVITA,Gravita India Ltd.,,5.76,5.76,7.05,30.11,30.11,3,274.32,12.39,11.1,7.06,5.76,,4.51,4.04,2.57,2.09,19.12,23.44,5.24,1.53,2.82,,1.33,0.5,4.66,52.1,42.54,47.9,57.46,,"2,517.83",1.33,29.43,1.16,47.89,10.61,1.16,0.02,,,,,
GREENPOWER,Orient Green Power Company Ltd.,,-0.29,-0.29,-0.29,9.78,9.78,0,0.4,-0.06,-0.06,-0.26,-0.29,,-15.84,-15.95,-66.42,-72.96,-2.95,-0.46,-2.1,0.39,0.03,,0.69,0.69,0,0,0,0,0,,"1,207.50",40.55,-255.83,30.83,0,1.25,30.88,-0.02,,,,,
GRINDWELL,Grindwell Norton Ltd.,,26.91,26.91,31.54,140.87,141.17,12,181.14,41.08,36.45,36.09,26.91,,22.67,20.12,19.92,14.85,19.1,25.02,14.27,0,1.02,,2.86,1.93,1.89,35.29,30.11,64.71,69.89,,"19,657.23",9.8,43.22,9.93,64.7,12.77,9.93,0.01,,,,,
GROBTEA,The Grob Tea Company Ltd.,,35.72,35.72,59.33,674.63,674.63,2,800.01,70.47,46.85,43.07,35.72,,8.8,5.85,5.38,4.46,5.29,6.68,4.21,0.04,0.97,,2.95,2.16,0.24,8.39,5.05,91.61,94.95,,104.97,1.13,12.82,1.25,91.6,1.49,1.25,0.04,,,,,
GRPLTD,GRP Ltd.,,43.39,43.39,135.45,"1,051.80","1,051.80",9,"2,911.03",181.61,89.55,55.87,43.39,,6.23,3.07,1.91,1.49,4.12,6.38,1.92,0.71,1.4,,1.49,1.02,3.99,5.76,1.84,94.24,98.16,,284.51,0.73,11.75,0.48,94.23,1.32,0.48,0.03,,,,,
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,,16.55,16.55,19.66,109.81,109.81,5.8,153.42,26.31,23.19,22.46,16.55,,17.14,15.11,14.63,10.78,15.06,19.31,2.48,0,0.24,,0.93,0.74,0.95,36.86,31.02,63.14,68.98,,36.61,0.02,0.12,1.48,63.13,2.06,1.48,0.07,,,,,
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,,22.36,22.36,26.83,292.83,292.83,2.5,225.75,37.46,32.99,32.75,22.36,,16.59,14.61,14.5,9.9,7.63,10.39,6.37,0,0.72,,3.36,2.39,4.42,9.84,8.2,90.16,91.8,,"6,142.35",0.68,4.11,0.72,90.15,0.55,0.72,0.14,,,,,
GSS,GSS Infotech Ltd.,,0.48,0.41,0.5,71.93,71.93,0,12.11,0.97,0.95,0.88,0.48,,8,7.84,7.3,3.92,0.66,1.32,0.57,0,0.16,,2.72,2.72,0,0,0,0,0,,192.22,9.37,117.08,9.58,0,1.61,9.58,0,,,,,
GTL,GTL Ltd.,,27.45,27.45,27.74,-436.11,-436.11,0,12.3,0.6,0.32,27.46,27.46,,4.9,2.61,223.17,223.17,-6.29,-0.08,197.47,-0.86,0.93,,0.02,0.02,0,0,0,0,0,,"6,252.13",32.31,658.12,0.89,0,-0.03,0.89,2.5,,,,,
GTLINFRA,GTL Infrastructure Ltd.,,-1.14,-1.14,-0.77,-2.41,-2.41,0,1.16,0.34,-0.06,-1.17,-1.17,,29.11,-5.28,-100.81,-100.81,0,3.7,-26.54,-1.33,0.24,,0.11,0.1,0,0,0,0,0,,"5,395.51",3.69,12.67,1.27,0,-0.61,1.27,-0.79,,,,,
GTPL,GTPL Hathway Ltd.,,12.2,12.2,24.49,75.19,75.19,4,136.15,29.27,16.98,16.05,12.2,,21.49,12.46,11.79,8.96,16.22,21.31,8.97,0.11,0.98,,0.66,0.64,0,32.78,16.33,67.22,83.67,,"1,984.54",1.3,6.03,1.28,67.21,2.31,1.28,0.07,,,,,
GUJAPOLLO,Gujarat Apollo Industries Ltd.,,0.74,0.74,2.67,196.78,196.78,2,25.06,2.85,0.92,0.14,0.74,,11.36,3.67,0.57,2.96,0.37,0.46,0.34,0.04,0.11,,7.51,6.58,1.49,269.62,74.98,-169.62,25.02,,252.62,8.54,75.2,8.25,-169.62,1.05,8.25,0,,,,,
GUJGASLTD,Gujarat Gas Ltd.,,18.68,18.68,24.27,81.34,81.34,2,239.05,31.48,25.89,24.89,18.68,,13.16,10.82,10.41,7.81,22.96,25.29,13.45,0.09,1.83,,0.55,0.53,254.62,10.7,8.24,89.3,91.76,,"35,062.39",2.13,16.18,2.1,89.29,6.18,2.1,0.04,,,,,
GUJRAFFIA,Gujarat Raffia Industries Ltd.,,2.07,2.07,3.87,35.32,35.32,0,70.28,4.8,3,2.41,2.07,,6.82,4.26,3.43,2.94,5.85,8.25,3.4,0.43,1.33,,1.8,1.13,4.96,0,0,0,0,,25.63,0.67,9.89,0.48,0,0.96,0.48,0.06,,,,,
GULFOILLUB,Gulf Oil Lubricants India Ltd.,,41.89,41.63,48.94,206.77,206.77,5,434.62,65.38,58.29,56.39,41.86,,15.04,13.41,12.97,9.63,20.24,27.18,11.77,0.34,1.35,,2.03,1.37,2.76,0,0,0,0,,"1,908.36",0.87,5.79,0.97,0,2.04,0.97,0.1,,,,,
GULFPETRO,GP Petroleums Ltd.,,3.71,3.71,4.28,49.3,49.3,0,140.74,5.9,5.34,5.17,3.71,,4.19,3.79,3.67,2.63,7.53,10.53,5.85,0.13,1.99,,3.92,2.36,2.5,0,0,0,0,,262.33,0.37,8.72,0.32,0,0.92,0.32,0.08,,,,,
GULPOLY,Gulshan Polyols Ltd.,,16.4,16.4,22.64,103.01,103.01,2,211.78,29.28,23.04,22.09,16.4,,13.82,10.87,10.42,7.74,15.92,19.94,10.6,0.21,1.69,,2.08,1.55,5.69,3.21,2.32,96.79,97.68,,"1,814.50",1.65,11.92,1.66,96.78,3.41,1.66,0.05,,,,,
GVKPIL,GVK Power & Infrastructure Ltd.,,0.35,0.35,0.35,5.49,5.49,0,0.06,0.36,0.36,0.36,0.35,,569.9,568.7,568.7,558.7,6.44,6.36,2.17,0.43,0,,0.97,0.97,0,0,0,0,0,,757.58,75.76,13.29,42.95,0,0.5,42.97,0.13,,,,,
HAL,Hindustan Aeronautics Ltd.,,152.11,152.11,190.58,576.09,576.09,50,736.27,196.64,158.18,156.44,152.11,,26.7,21.48,21.24,20.65,26.4,15.88,8.72,0,0.45,,1.8,1.22,0.57,26.29,20.98,73.71,79.02,,"35,383.53",1.44,5.38,2.02,73.7,2.58,2.02,0.1,,,,,
