Company Name,Symbol,Report URL 2022-2023,Report URL 2021-2022,Report URL 2020-2021,Report URL 2019-2020,Report URL 2018-2019
Blue Chip India Limited,BLUECHIP,https://nsearchives.nseindia.com/annual_reports/AR_23781_BLUECHIP_2022_2023_07092023181731_09072023190023.zip,https://nsearchives.nseindia.com/annual_reports/AR_21564_BLUECHIP_2021_2022_07092022013836_09072022070010.zip,https://nsearchives.nseindia.com/annual_reports/AR_19645_BLUECHIP_2020_2021_07092021184829_09072021190003.zip,https://nsearchives.nseindia.com/annual_reports/AR_17815_BLUECHIP_2019_2020_18112020165937_23112020074201.zip,https://nsearchives.nseindia.com/annual_reports/AR_15475_BLUECHIP_2018_2019_30082019123045_30082019130004.zip
Blue Coast Hotels Limited,BLUECOAST,https://nsearchives.nseindia.com/annual_reports/AR_23525_BLUECOAST_2022_2023_05092023174158_09052023180011.zip,https://nsearchives.nseindia.com/annual_reports/AR_21122_BLUECOAST_2021_2022_02092022183132_09022022190026.zip,https://nsearchives.nseindia.com/annual_reports/AR_19366_BLUECOAST_2020_2021_04092021174143_09042021180006.zip,https://nsearchives.nseindia.com/annual_reports/AR_17072_BLUECOAST_2019_2020_01092020161028_01092020170003.zip,https://nsearchives.nseindia.com/annual_reports/AR_15614_BLUECOAST_2018_2019_02092019155144_02092019160005.zip
Blue Dart Express Limited,BLUEDART,https://nsearchives.nseindia.com/annual_reports/AR_22147_BLUEDART_2022_2023_03072023181108_07032023190000.zip,https://nsearchives.nseindia.com/annual_reports/AR_20190_BLUEDART_2021_2022_04072022181239_07042022190015.zip,https://nsearchives.nseindia.com/annual_reports/AR_18312_BLUEDART_2020_2021_06072021200509_06072021210013.zip,https://nsearchives.nseindia.com/annual_reports/AR_16395_BLUEDART_2019_2020_07072020195750_07072020200003.zip,https://nsearchives.nseindia.com/annual_reports/AR_14728_BLUEDART_2018_2019_05072019174332_05072019180016.zip
Blue Star Limited,BLUESTARCO,https://nsearchives.nseindia.com/annual_reports/AR_22261_BLUESTARCO_2022_2023_10072023153231_07102023160000.zip,https://nsearchives.nseindia.com/annual_reports/AR_20283_BLUESTARCO_2021_2022_08072022132350_07082022140007.zip,https://nsearchives.nseindia.com/annual_reports/AR_18327_BLUESTARCO_2020_2021_08072021101427_08072021110012.zip,https://nsearchives.nseindia.com/annual_reports/AR_16457_BLUESTARCO_2019_2020_15072020175345_15072020180002.zip,https://nsearchives.nseindia.com/annual_reports/AR_14999_BLUESTARCO_2018_2019_22072019165534_22072019170005.zip
Bodal Chemicals Limited,BODALCHEM,https://nsearchives.nseindia.com/annual_reports/AR_23378_BODALCHEM_2022_2023_04092023165411_09042023170030.zip,https://nsearchives.nseindia.com/annual_reports/AR_21019_BODALCHEM_2021_2022_01092022164200_09012022170018.zip,https://nsearchives.nseindia.com/annual_reports/AR_19081_BODALCHEM_2020_2021_31082021181024_08312021190003.zip,https://nsearchives.nseindia.com/annual_reports/AR_16571_BODALCHEM_2019_2020_27072020163731.zip,https://nsearchives.nseindia.com/annual_reports/AR_15314_BODALCHEM_2018_2019_23082019123823_23082019130009.zip
Bombay Dyeing & Mfg Company Limited,BOMDYEING,https://nsearchives.nseindia.com/annual_reports/AR_22638_BOMDYEING_2022_2023_04082023152346_08042023160000.zip,https://nsearchives.nseindia.com/annual_reports/AR_19963_BOMDYEING_2021_2022_31052022164328_05312022170003.zip,https://nsearchives.nseindia.com/annual_reports/AR_18735_BOMDYEING_2020_2021_14082021220559_14082021230002.zip,https://nsearchives.nseindia.com/annual_reports/AR_16309_BOMDYEING_2019_2020_23062020000417_23062020070002.zip,https://nsearchives.nseindia.com/annual_reports/AR_14817_BOMDYEING_2018_2019_10072019194339_10072019200009.zip
BOROSIL RENEWABLES LIMITED,BORORENEW,https://nsearchives.nseindia.com/annual_reports/AR_22620_BORORENEW_2022_2023_02082023232548_08032023070002.zip,https://nsearchives.nseindia.com/annual_reports/AR_20447_BORORENEW_2021_2022_20072022175910_07202022180003.zip,https://nsearchives.nseindia.com/annual_reports/AR_19059_BORORENEW_2020_2021_31082021124622_08312021130009.zip,https://nsearchives.nseindia.com/annual_reports/AR_17240_BORORENEW_2019_2020_04092020124231_04092020130003.zip,https://nsearchives.nseindia.com/annual_reports/AR_16175_BOROSIL_2018_2019_29112019180946_29112019190003.zip
Bosch Limited,BOSCHLTD,https://nsearchives.nseindia.com/annual_reports/AR_22226_BOSCHLTD_2022_2023_07072023170456_07072023180002.zip,https://nsearchives.nseindia.com/annual_reports/AR_20322_BOSCHLTD_2021_2022_11072022201035_07112022210010.zip,https://nsearchives.nseindia.com/annual_reports/AR_18390_BOSCHLTD_2020_2021_13072021232710_14072021070005.zip,https://nsearchives.nseindia.com/annual_reports/AR_16621_BOSCHLTD_2019_2020_01082020214414_01082020220002.zip,https://nsearchives.nseindia.com/annual_reports/AR_15057_BOSCHLTD_2018_2019_29072019205609_29072019210003.zip
Bharat Petroleum Corporation Limited,BPCL,https://nsearchives.nseindia.com/annual_reports/AR_22626_BPCL_2022_2023_03082023164143_08032023170001.zip,https://nsearchives.nseindia.com/annual_reports/AR_20565_BPCL_2021_2022_02082022122506_08022022130003.zip,https://nsearchives.nseindia.com/annual_reports/AR_19302_BPCL_2020_2021_03092021192933.zip,https://nsearchives.nseindia.com/annual_reports/AR_18029_BPCL_2019_2020_30122020124404_30122020130007.zip,https://nsearchives.nseindia.com/annual_reports/AR_15108_BPCL_2018_2019_02082019194741_02082019200002.zip
BPL Limited,BPL,https://nsearchives.nseindia.com/annual_reports/AR_23504_BPL_2022_2023_05092023161941_09052023170015.zip,https://nsearchives.nseindia.com/annual_reports/AR_21583_BPL_2021_2022_07092022151637_09072022160008.zip,https://nsearchives.nseindia.com/annual_reports/AR_19604_BPL_2020_2021_07092021171945_09072021180007.zip,https://nsearchives.nseindia.com/annual_reports/AR_17725_BPL_2019_2020_29092020114056_29092020120019.zip,https://nsearchives.nseindia.com/annual_reports/AR_16113_BPL_2018_2019_30092019133755_30092019140004.zip
