Symbol,Company Name,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
3MINDIA,3M India Ltd.,,,11.27,11.27,"1,936.57","1,936.57","1,947.84",,0,0,13.59,39.03,52.62,,0,711.67,151.12,51.18,913.96,"2,914.42",,,322.1,0.31,24.57,0,346.99,504.8,22.22,0.14,179.21,"1,053.35",,0,567.6,595.1,634.43,0.36,63.57,"1,861.07","2,914.42",,,663.98,,0,0,0,0,,"1,789.20",,--,,74.51,--,,--,,--,504.8,,--,--
3PLAND,3p Land Holdings Ltd.,,,3.6,3.6,64.09,64.09,67.69,,0,1.41,0,0,1.41,,0,0,0.02,0,0.02,69.12,,,0.23,0,0,0.32,0.55,0,0,0,0.01,0.56,,51.77,0,0,0.1,16.67,0.02,68.57,69.12,,,1.83,,0,0,0,0,,0,,--,,--,--,,1.22,,--,--,,--,--
63MOONS,63 Moons Technologies Ltd.,,,9.22,9.22,"2,607.35","2,607.35","2,616.56",,0,0,7.43,10.97,18.41,,0,3.12,189.47,4.59,197.18,"2,832.15",,,208.97,2.07,0,102.39,313.44,649.01,47.22,0.11,337.2,"1,346.97",,113.13,0,9.15,"1,252.20",5.1,105.6,"1,485.18","2,832.15",,,180.61,,0,0,0,0,,2.11,,--,,--,0.61,,--,,--,649.01,,--,113.13
AARTIIND,Aarti Industries Ltd.,,,181.25,181.25,"4,739.70","4,739.70","4,920.95",,634.71,0,241.94,0,876.65,,"2,239.27",416.57,109.03,27.57,"2,792.44","8,590.04",,,"4,822.54",1.47,988.73,0,"5,919.98",12.41,52.17,0,130.62,"6,115.18",,0,"1,015.07",973.83,194.34,0,291.62,"2,474.86","8,590.04",,,652.82,,"1,198.61",0,0,5.02,,127.61,,--,,"3,182.57",--,,159.21,,--,12.41,,--,--
AARVEEDEN,Aarvee Denim and Exports Ltd.,,,23.46,23.46,37.94,37.94,61.4,,166.39,0,0.8,0.64,167.83,,230.14,57.13,9.96,1.38,298.6,527.83,,,202.34,0.01,1.44,0,203.79,0,53.36,0,1.49,258.65,,0,120.79,124.22,6.88,0,17.29,269.18,527.83,,,29.84,,0,0,0,0,,1.26,,--,,51.16,--,,--,,--,--,,--,--
AAVAS,AAVAS Financiers  Ltd.,,,79.06,79.06,"3,190.54","3,190.54","3,269.59",,"1,524.44",50.18,22.26,6.6,"1,603.48",,"8,316.25",8.6,212.54,0,"8,537.39","13,410.53",,,74.2,4.16,0,0,98.73,0,0,0,15.61,114.35,,123.08,0,0,"1,381.63","11,476.27",315.2,"13,296.18","13,410.53",,,16.04,,0,0,0,0,,47.95,,--,,--,--,,--,,--,--,,--,123.08
ABAN,Aban Offshore Ltd.,,,11.67,11.67,-892.29,-892.29,-880.62,,0,0,0,0,0,,673.72,303.81,587.07,0,"1,564.61",683.99,,,73.95,0,0,0,73.95,12.81,46.44,29.5,93.38,256.07,,0,42.83,288.59,1.55,55.36,39.6,427.92,683.99,,,"1,620.01",,0,0,0,0,,32.98,,--,,--,76,,--,,--,12.81,,--,--
ABFRL,Aditya Birla Fashion & Retail Ltd.,,,948.79,948.8,"2,296.73","2,296.73","3,786.87",,"1,415.40",0.0,"3,633.89",93.78,"5,143.07",,614.5,"3,662.69","2,139.44",126.62,"6,543.25","15,473.22",,,"3,842.54","2,402.19",88.95,0.0,"6,390.71","1,401.07",316.61,1.15,926.02,"9,035.56",,150.02,"3,764.03",835.1,643.02,26.33,"1,019.16","6,437.66","15,473.22",,,185.14,,0.0,0.0,0.0,0.0,,"1,374.22",,--,,164.34,--,,--,,--,10.57,,150.02,--
ABHISHEK,Abhishek Corporation Ltd.,,,16.01,16.01,-923.62,-923.62,-907.62,,0,0,0,2.17,2.17,,28.63,55.43,878.32,0.8,963.18,57.73,,,43.28,0,2.13,0,45.41,0.04,0,0,1.46,46.91,,0,4.77,0.17,4.59,1.24,0.05,10.82,57.73,,,0,,0,0,0,0,,0,,--,,--,--,,--,,--,--,,--,--
ACCELYA,Accelya Solutions India Ltd.,,,14.93,14.93,236.72,236.72,251.64,,0,0,3.64,6.7,10.34,,0,18.5,45.52,8.57,72.6,334.58,,,35.21,18.5,2.19,0,57.71,47.41,10.11,0,11.71,126.95,,55.62,0,86.32,15.58,0,50.1,207.63,334.58,,,7.77,,0,0,0,0,,45.36,,75.84,,--,365.18,,0.6,,--,47.41,,--,55.62
