Symbol,Company Name,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
3MINDIA,3M India Ltd.,,,11.27,11.27,"1,848.27","1,848.27","1,859.53",,7.45,0,0,26.45,33.91,,0,323.35,210.41,66.49,600.25,"2,493.68",,,269.27,0.21,10.19,0,279.67,584.7,23.47,9.4,106.48,"1,003.72",,0,379.18,546.14,470.39,4.58,89.66,"1,489.96","2,493.68",,,445.84,,0,0,0,0,,"1,177.75",,--,,103.75,--,,--,,--,584.7,,--,--
3PLAND,3p Land Holdings Ltd.,,,3.6,3.6,33.88,33.88,37.48,,0,0,0.14,0,0.14,,2.37,0,0.03,0,2.41,40.02,,,0.46,0,0,0.55,1.01,0,0.3,0,0.9,2.21,,36.2,0,0,0.16,1.46,0,37.82,40.02,,,4.47,,0,0,0,0,,0,,--,,--,--,,1.22,,--,--,,--,0.6
63MOONS,63 Moons Technologies Ltd.,,,9.22,9.22,"2,846.68","2,846.68","2,855.89",,0,0,1.84,4.51,6.34,,0,6.24,72.06,4.19,82.48,"2,944.72",,,235.6,4.65,0,110.79,351.04,"1,036.12",1.28,0.42,278.18,"1,667.05",,158.09,0,26.28,975.69,5.21,112.39,"1,277.67","2,944.72",,,231.12,,0,0,0,0,,4.39,,--,,--,1.46,,--,,--,"1,036.12",,--,158.09
AARTIIND,Aarti Industries Ltd.,,,43.33,43.33,"2,517.08","2,517.08","2,560.41",,807.76,170.98,203.24,0,"1,181.98",,"1,262.50",265.47,319.4,37.89,"1,885.26","5,627.87",,,"1,978.56",0.9,794.57,0,"2,774.03",33.36,0,0,296.97,"3,104.36",,0,700.91,806.05,797.08,0,219.47,"2,523.51","5,627.87",,,406.72,,470.02,45.41,45.41,62.91,,66.87,,--,,"1,740.57",--,,28.54,,--,33.36,,--,--
AARVEEDEN,Aarvee Denim and Exports Ltd.,,,23.46,23.46,249.67,249.67,273.13,,132.56,43.64,6.16,0.74,183.09,,296.33,197.44,11.2,1.13,506.1,962.31,,,388.42,0.55,0,0,388.97,0.01,0,0,17.56,406.54,,0,223.24,287.59,17.54,0,27.39,555.77,962.31,,,12.38,,0,0,0,0,,23.63,,--,,103.82,--,,--,,--,0.01,,--,--
AAVAS,AAVAS Financiers  Ltd.,,,78.11,78.11,"1,758.85","1,758.85","1,836.96",,"3,653.25",42.75,8.31,4.43,"3,708.74",,0,9.49,71.63,0,81.12,"5,626.83",,,19.23,3.59,0,0,22.91,0,0,0,21.42,44.33,,4.5,0,0,679.15,"4,724.49",174.36,"5,582.50","5,626.83",,,0.53,,0,0,0,0,,6.09,,--,,--,--,,--,,--,--,,--,--
ABAN,Aban Offshore Ltd.,,,11.67,11.67,"4,017.83","4,017.83","4,029.50",,0,380.84,0.59,0,381.43,,102.45,320.18,993.25,0,"1,415.88","5,826.81",,,"1,528.80",0,5.88,0,"1,534.67","3,547.34",0,30.88,19.77,"5,132.66",,0,94.18,483.66,6.65,46.37,63.29,694.15,"5,826.81",,,"2,047.91",,0,0,0,15.1,,52.88,,--,,--,262.12,,--,,2.75,"3,544.59",,--,--
ABFRL,Aditya Birla Fashion & Retail Ltd.,,,773.48,773.99,627.68,627.68,"1,429.29",,723.27,0,173.68,115.21,"1,012.16",,474.45,"2,398.61","1,219.42",87.04,"4,179.52","6,621.07",,,636.37,"1,919.11",22.39,0,"2,577.87",4.21,263.38,3.08,403.37,"3,251.91",,0,"1,921.28",786.59,57.41,5.42,598.46,"3,369.16","6,621.07",,,108.87,,0,0,0,0,,699,,--,,155,--,,--,,--,4.21,,--,--
ABHISHEK,Abhishek Corporation Ltd.,,,16.01,16.01,-847.28,-847.28,-831.27,,0,0,0,1.49,1.49,,28.63,53.51,874.53,0.55,957.21,127.43,,,111.61,0,2.13,0,113.74,0.04,0,0,1.24,115.02,,0,4.41,3.92,1.26,2.73,0.09,12.41,127.43,,,0,,0,0,0,0,,0,,--,,--,--,,--,,--,0.04,,--,--
ACCELYA,Accelya Solutions India Ltd.,,,14.93,14.93,221.02,221.02,235.94,,0,0,40.48,3.89,44.37,,0,23.58,37.72,5.06,66.37,346.69,,,79.06,27.7,4.66,0,112.44,47.42,7.93,4.5,9.72,182,,10.18,0,71.33,48.25,0.19,34.73,164.69,346.69,,,18.13,,0,0,0,0,,37.6,,27.89,,--,30.12,,0.6,,--,47.42,,--,10.18
