Symbol,Company Name,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
ACE,Action Construction Equipment Ltd.,,,23.46,23.46,413.72,413.72,437.19,,37.25,15.59,0,2.6,55.45,,6.65,280.6,103.04,1.53,391.82,884.46,,,321.32,0.57,7.14,12.51,341.54,23.86,0,0,73.22,438.62,,26.66,212.46,143.98,11.41,0,51.33,445.84,884.46,,,123.2,,0,0,0,0,,109.04,,--,,35.64,--,,--,,18.43,5.43,,26.66,--
ADANIENT,Adani Enterprises Ltd.,,,109.98,109.98,"3,138.84","3,138.84","3,248.82",,928.34,0,103.17,17.39,"1,048.90",,"1,915.33","7,726.56",510.46,39.79,"10,192.14","14,489.86",,,931.03,617.27,211.39,9.37,"1,769.06","1,943.24",168.27,0,408.31,"4,288.88",,1,"1,901.88","4,998.42",349.7,"2,013.52",936.46,"10,200.98","14,489.86",,,"5,982.21",,0,0,0,0,,"9,592.68",,--,,0.11,--,,41.84,,--,"1,943.24",,--,1
ADANIGREEN,Adani Green Energy Ltd.,,,"1,564.01","1,564.01",-155.2,-155.2,"1,408.82",,"1,738.51",0,0,7.21,"1,745.72",,541.13,89.72,874.2,2.98,"1,508.03","5,411.71",,,60.77,0.79,1.15,0,62.72,"2,029.71",10.13,0,50.09,"2,152.65",,0,251.4,314.95,119.71,"2,092.47",480.52,"3,259.06","5,411.71",,,"3,615.96",,0,0,0,0,,46.36,,--,,--,--,,--,,--,"2,029.71",,--,--
ADFFOODS,ADF Foods Industries Ltd.,,,20.4,20.4,190.03,190.03,210.43,,0,8.67,0,1.2,9.87,,0,11,6,0.51,17.5,237.81,,,47.25,21.36,1.48,0,70.09,57.93,0,1.28,7.01,136.3,,0,26.18,42.22,16.38,0.14,16.59,101.5,237.81,,,12.22,,0,0,0,0,,12.04,,--,,--,178.61,,--,,--,57.93,,--,--
ADORWELD,Ador Welding Ltd.,,,13.6,13.6,249.8,249.8,263.4,,0,8.83,0.3,2.78,11.91,,64.99,66.85,20.18,3.58,155.6,430.91,,,104.61,1.2,1.02,8.87,115.75,3.53,0,1.6,30.12,151,,3.41,51.59,84.51,28,1.59,110.81,279.91,430.91,,,69.25,,0,0,0,0,,49.81,,--,,--,46.74,,8.53,,--,--,,--,3.41
ADROITINFO,Adroit Infotech Ltd.,,,18.27,18.27,2.36,2.36,20.63,,0,0.05,0,0.13,0.18,,0.48,1.41,10.44,1.17,13.5,34.31,,,0.92,11.32,0,0,12.23,0.08,0.31,0,0.4,13.03,,0,0,13.77,0.03,0.13,7.36,21.28,34.31,,,0,,0,0,0,0,,0,,--,,--,0.12,,--,,--,0.08,,--,--
ADSL,Allied Digital Services Ltd.,,,25.1,25.1,437.97,437.97,463.07,,13.17,26.53,0.04,0.02,39.76,,51.47,29.48,0.58,17.68,99.21,602.04,,,46.87,49.54,0,82.03,178.44,155.06,0,3.16,17.31,353.97,,0,33.83,142.46,12.23,2.04,57.51,248.07,602.04,,,23.36,,0,0,0,0,,1.14,,--,,--,43.42,,8.43,,--,155.06,,--,--
ADVANIHOTR,Advani Hotels and Resorts (India) Ltd.,,,9.24,9.24,45.24,45.24,54.49,,0.44,6.4,0,0.64,7.48,,1.11,3.23,9.52,0.22,14.08,76.05,,,48.38,0.1,0,0.19,48.67,0,0,0.13,0.48,49.27,,19.07,1.39,3.42,0.76,0.26,1.89,26.77,76.05,,,11.55,,0,0,0,0,,1.79,,--,,--,11.82,,--,,--,--,,--,19.07
AGARIND,Agarwal Industrial Corporation Ltd.,,,10.26,10.26,119.24,119.24,132.95,,4.95,4.33,0,0.27,9.55,,62.78,6.79,14.41,0,83.99,226.49,,,54.36,0,0.52,0,54.89,2.33,0,0,1.05,58.26,,9.38,27,113,2.89,0.38,15.57,168.23,226.49,,,5.73,,0,0,0,0,,300.72,,--,,--,--,,--,,--,2.33,,--,9.38
AGI,AGI Greenpac Ltd.,,,14.46,14.46,"1,500.06","1,500.06","1,514.52",,753.23,216.01,50.27,11.01,"1,030.51",,404.53,264.31,343.68,3.82,"1,016.34","3,561.38",,,"1,920.71",29.18,120.77,0,"2,070.73",22.5,0,18.2,98.18,"2,209.60",,0,569.77,587.77,60.48,0.83,132.92,"1,351.77","3,561.38",,,200.98,,381.95,0,0,104.14,,486.09,,--,,66.7,--,,4.85,,0,22.5,,--,--
AGRITECH,Agri-Tech (India) Ltd.,,,5.94,5.94,101.71,101.71,107.65,,0,0,0,0.04,0.04,,0.99,0.18,0.02,0.07,1.27,108.96,,,23.82,0,0.05,0,23.87,30.63,0,0,0,54.5,,0,0.08,0,0.06,0,54.32,54.46,108.96,,,1.22,,0,0,0,0,,0,,--,,--,--,,--,,--,12.3,,--,--
AGROPHOS,Agro Phos India Ltd.,,,20.27,20.27,14.42,14.42,34.69,,1.62,3.01,0.07,0.15,4.84,,17.5,10.98,2.09,0.02,30.6,70.13,,,13.92,0,0.09,0,14.01,0.4,0,0.21,0.27,14.9,,0,19.02,20.14,1.04,1.54,13.49,55.23,70.13,,,0,,0,0,0,0,,0,,--,,--,2.09,,1.18,,0.4,--,,--,--
AIAENG,AIA Engineering Ltd.,,,18.86,18.86,"3,157.18","3,157.18","3,176.05",,15,101,0,5.79,121.78,,111.69,151.66,44.03,3.6,310.98,"3,608.81",,,815.17,7.12,59.75,0,882.04,15.78,0,5.85,57.8,961.48,,"1,078.46",457.72,900.75,27,1.89,181.51,"2,647.34","3,608.81",,,346.72,,0,0,0,0,,330.22,,--,,--,"2,075.97",,10.46,,28.07,2.37,,905.5,166.7
AIRAN,Airan Ltd.,,,12.5,12.5,34.94,70.1,82.6,,6.33,0.06,0.01,0,6.41,,0.49,0.02,2.17,0,2.68,91.69,,,53.66,0.26,0,0,53.92,2.42,0,0,0.78,57.12,,6.33,0,8.89,1.54,17.4,0.41,34.57,91.69,,,0,,0,0,0,0,,0,,--,,--,--,,4.6,,--,2.42,,5.1,--
AJANTPHARM,Ajanta Pharma Ltd.,,,17.54,17.54,"2,123.44","2,123.44","2,142.08",,0,58.9,0.33,13.44,72.67,,0,185.53,102.9,18.33,306.76,"2,521.51",,,"1,155.38",6.65,261.29,0,"1,423.32",18.26,0,0,30.05,"1,471.63",,64.74,414.26,423.38,35.87,0,111.63,"1,049.88","2,521.51",,,306.3,,0,0,0,0,,210.19,,--,,--,"1,068.17",,7.09,,--,18.26,,36.97,27.77
AJMERA,Ajmera Realty and Infra India Ltd.,,,35.48,35.48,522.76,522.76,558.24,,672.12,0,186.55,5.31,863.98,,0,45.35,84.12,16.29,145.76,"1,567.98",,,9.71,0.11,0,0,9.82,134.17,0,539.97,1.49,685.45,,0,621.92,167.79,20.97,5.86,65.99,882.53,"1,567.98",,,46.89,,0,0,0,0,,1.26,,--,,--,--,,--,,--,134.17,,--,--
AKSHARCHEM,AksharChem (India) Ltd.,,,8.2,8.2,249,249,257.2,,0,15.16,0,0,15.16,,11.53,27.39,4.56,0.18,43.65,316.01,,,126.05,0.03,30.82,0,157.12,20.98,0,0.18,16.62,194.89,,0,36.55,38.13,2.21,0.11,44.11,121.12,316.01,,,17.7,,0,0,0,0,,5.91,,--,,--,266.83,,0.48,,19.98,1,,--,--
AKSHOPTFBR,Aksh Optifibre Ltd.,,,81.35,81.35,432.66,432.66,514.01,,67.09,2.22,1.27,2.96,73.54,,107.13,92.7,94.29,0.32,294.44,881.99,,,168.92,1.56,153.42,0,323.9,160.11,0,96.96,9.63,590.61,,0,65.56,183.16,14.28,11.38,17,291.39,881.99,,,151.61,,0,0,0,0,,0,,--,,--,--,,4.75,,--,--,,--,--
AKZOINDIA,Akzo Nobel India Ltd.,,,45.6,45.6,"1,088.80","1,090.00","1,135.60",,2.9,0,16.3,57.9,77.1,,0,606.3,246.7,31.4,884.4,"2,097.10",,,521.4,8.7,16.9,0,547,77.8,3.1,7,52.8,687.7,,299.5,391.9,444,61.6,3.7,208.7,"1,409.40","2,097.10",,,273.6,,0,0,0,0,,289.9,,--,,--,58.6,,8.53,,77.2,0.6,,299.5,--
ALBERTDAVD,Albert David Ltd.,,,5.71,5.71,204.74,204.74,210.45,,0,0.99,4.73,10.06,15.78,,0.44,33.06,25.64,10.02,69.17,295.39,,,77.07,0.02,2.6,0,82.14,21.43,0,2.45,3.03,109.06,,91.55,44.06,22.55,7.13,14.5,6.55,186.34,295.39,,,3.66,,0,0,0,0,,28.28,,--,,--,24.98,,--,,--,21.43,,--,91.55
ALEMBICLTD,Alembic Ltd.,,,51.36,51.36,361.06,361.06,412.42,,0,3.67,4.13,0.72,8.52,,0,24.75,8.77,15.28,48.8,469.74,,,131.11,0,0,77.99,209.1,161.82,0,0.05,0,370.97,,43.46,35.33,13.51,1.99,0.04,4.45,98.77,469.74,,,19.6,,38.6,0,0,0,,0.1,,--,,3.04,--,,45.11,,"3,068.03",0.12,,--,43.46
ALKALI,Alkali Metals Ltd.,,,10.18,10.18,41.02,41.85,52.03,,0.8,0,1.75,0.11,2.66,,17.23,15.94,3,0.11,36.29,90.98,,,44.56,0.19,3.11,0,47.86,0,3.51,0,0.64,52.02,,0,22.64,10.74,1.1,0,4.49,38.97,90.98,,,2.41,,20.63,0,0,0,,0.23,,--,,28.68,--,,--,,--,--,,--,--
ALKEM,Alkem Laboratories Ltd.,,,23.91,23.91,"5,441.30","5,441.30","5,465.21",,6.32,0,9.23,141.52,157.07,,496.64,754.09,288.05,131.09,"1,669.87","7,292.15",,,"1,573.76",32.62,381.59,0,"1,987.97","1,476.42",636.59,12.73,97.76,"4,211.47",,219.18,991.28,966.64,397.94,26.25,479.39,"3,080.68","7,292.15",,,406.92,,0,0,0,0,,210.5,,--,,--,"1,223.77",,11.96,,--,39.27,,--,201.15
ALLSEC,ALLSEC Technologies Ltd.,,,15.24,15.24,159.5,159.5,174.74,,0.45,0,0.19,3.22,3.86,,0,5.14,6.98,2.36,14.48,193.08,,,8.62,2.98,0,0,11.6,22.34,14.41,0,12.89,61.24,,82.39,0,23.39,14.67,0,11.39,131.84,193.08,,,0.42,,0,0,0,0,,1.69,,--,,--,45.6,,--,,--,82.39,,--,--
ALPA,Alpa Laboratories Ltd.,,,21.04,21.04,84.87,84.87,105.91,,0.41,0,0,0,0.41,,1.05,13.18,5.81,2.24,22.28,128.6,,,5.76,0,0.12,0,5.88,29.25,0.17,0,0.43,35.73,,29.96,14.04,29.81,0.88,5.04,13.15,92.87,128.6,,,4.07,,5.56,0.03,0.03,0,,0.09,,--,,--,27.01,,--,,--,29.25,,--,29.96
ALPHAGEO,Alphageo (India) Ltd.,,,6.38,6.38,243.25,243.25,249.62,,0,0,0,1.12,1.12,,27.77,78.3,17.54,0.25,123.85,374.6,,,76.52,1.42,1.04,0,78.99,13.31,9.74,0,0.08,102.11,,0,0.43,163.92,100.27,0,7.87,272.48,374.6,,,0,,0,6.53,6.53,0,,7.97,,--,,--,--,,0.42,,--,13.31,,--,--
ALPSINDUS,Alps Industries Ltd.,,,39.11,169.79,-500.04,-500.04,-330.24,,269.88,0,0,2.83,272.71,,372.27,23.13,22.5,0.4,418.3,383.09,,,287.32,1.95,0.05,0,289.33,7.27,0,3.38,11.41,311.39,,0,29.63,30.06,3.48,0.18,8.34,71.7,383.09,,,452.76,,10.42,0,0,0,,3.03,,--,,218.47,--,,16.26,,--,7.27,,--,--
AMBICAAGAR,Ambica Agar Ltd.,,,17.18,17.18,75.74,75.74,92.92,,66.03,25.82,0,0,91.85,,0.85,3.41,5.15,0,9.4,194.17,,,129.31,0.02,0,0,129.33,6.12,0,0,20.85,156.3,,0,3.3,14.24,2.79,0,17.54,37.87,194.17,,,0,,0,0,0,0,,0,,--,,--,--,,--,,--,--,,--,--
AMBIKCO,Ambika Cotton Mills Ltd.,,,5.73,5.73,468.9,468.9,474.62,,0,27.43,7.56,0,34.99,,88.67,7.38,7.58,0,103.64,613.24,,,260.16,0,1.16,0,261.32,0,0,0,6.97,268.29,,0.33,271.89,12.55,21.81,0,38.36,344.95,613.24,,,79.33,,0,0,0,0,,2.6,,--,,4.46,--,,2.96,,--,--,,0.21,0.04
AMDIND,AMD Industries Ltd.,,,19.17,19.17,104.43,104.43,123.6,,18.31,3.59,0,1.38,23.29,,33.47,44.54,15.16,1.05,94.22,241.11,,,95.56,0.04,0,2.54,98.15,0.03,0,0,29.9,128.08,,0,54.01,45.18,3.87,0,9.97,113.03,241.11,,,3.45,,0,0,0,0,,"3,202.04",,--,,--,"1,351.08",,--,,0.03,--,,--,--
AMJLAND,AMJ Land Ltd.,,,8.2,8.2,92.22,92.22,100.42,,0,2.77,2.03,0,4.79,,0,1.14,9.56,0,10.7,115.92,,,20.54,0,2.15,11.65,34.33,11.14,0,1.87,0.04,47.39,,1.49,25.06,1.31,3.01,32.02,5.64,68.53,115.92,,,0,,0,0,0,0,,0,,--,,--,--,,5.8,,6.2,6.86,,--,1.49
AMRUTANJAN,Amrutanjan Health Care Ltd.,,,2.92,2.92,142.81,142.81,145.74,,0,0,0.28,5.49,5.76,,0,29.87,3.94,2.31,36.12,187.61,,,25.28,0.42,0,0,25.7,15.81,4.24,0.56,1.68,48,,1.71,14.58,32.93,81.31,0,9.09,139.62,187.61,,,11.98,,0,0,0,0,,1.64,,--,,--,4.66,,2.87,,15.81,--,,1.71,--
ANANTRAJ,Anant Raj Ltd.,,,59.02,59.02,"2,400.69","2,400.69","2,459.71",,"1,169.99",19.92,0,1.38,"1,191.28",,155.76,4.15,633.25,0.41,793.57,"4,444.56",,,17.32,0,143.31,"1,168.14","1,328.77",290.13,0,450.94,42.16,"2,111.99",,0,957.81,61.3,33.84,5.1,"1,274.52","2,332.56","4,444.56",,,110.59,,0,0,0,0,,1.24,,--,,--,--,,--,,--,290.13,,--,--
ANDHRAPAP,Andhra Paper Ltd.,,,39.77,39.77,724.04,724.04,763.81,,12.54,139.61,4.78,1.72,158.65,,0,170.89,58.27,34.48,263.64,"1,186.10",,,705.02,2.43,8.43,0,715.88,15.58,0,0.14,54.35,785.95,,0,157,73.56,67.06,21.21,81.32,400.15,"1,186.10",,,103.99,,0,0,0,0,,34.13,,--,,--,216.35,,1.13,,--,15.58,,--,--
ANDHRSUGAR,The Andhra Sugar Ltd.,,,27.11,27.11,972.89,972.89,"1,000.00",,176.28,128.42,53.55,16.26,374.5,,58.77,30.5,142.13,6.72,238.12,"1,612.61",,,649.84,0.15,54.51,0.06,704.56,203.43,0,2,26.63,936.62,,110.08,371.38,126.93,42.55,2,23.06,676,"1,612.61",,,125.88,,49.88,0,0,2.35,,1.22,,--,,17.98,--,,20.82,,207.79,162.3,,--,110.08
ANIKINDS,Anik Industries Ltd.,,,27.75,27.75,272.63,272.63,300.38,,62.1,0,0,0.12,62.22,,5.54,142.01,55.2,0.2,202.95,565.55,,,19.76,0,5.09,0,24.85,137.2,8,0,10.78,180.84,,0,82.63,209.85,27.86,22.27,42.1,384.71,565.55,,,26.71,,0,0,0,0,,27.29,,--,,--,1.26,,0.43,,--,--,,--,--
ANKITMETAL,Ankit Metal and Power Ltd.,,,141.11,141.11,-724.03,-724.03,-582.92,,447.14,0,0,0,447.14,,431.63,546.37,572.52,15.39,"1,565.91","1,430.13",,,599.34,0,0,0,599.34,0.12,0,0,3.69,603.15,,0,530.77,147.03,0.64,0,148.53,826.98,"1,430.13",,,958.99,,0,0,0,0,,0,,--,,--,--,,--,,--,0.07,,--,--
ANTGRAPHIC,Antarctica Ltd.,,,15.5,15.5,-2.82,1.15,16.65,,2.54,0,0.13,0,2.67,,0,0.19,0.41,0,0.6,19.93,,,7.1,2.82,0,0,9.93,0,0.01,0,0.8,10.74,,0,3.99,5.01,0.19,0,0,9.19,19.93,,,0.04,,0,0,0,0,,0,,--,,0.17,--,,0.73,,--,--,,--,--
ANUP,The Anup Engineering Ltd.,,,10.19,10.19,271.46,271.46,281.65,,0,12.61,0,0.75,13.36,,7.38,48.61,45.75,0.41,102.15,397.16,,,142.35,30.68,1.69,0,174.72,0,0,44.36,0.67,219.75,,0,88.46,69.53,0.18,0,19.23,177.41,397.16,,,129.05,,0,0,0,0,,37.54,,--,,--,128.49,,--,,--,--,,--,--
APEX,Apex Frozen Foods Ltd.,,,31.25,31.25,323.83,323.83,355.08,,7.1,0,2.32,0,9.42,,95.77,31.48,5.06,12.95,145.27,509.77,,,114.68,0,116.32,0,230.99,0,3.25,0,11.4,245.64,,0,106.28,93.54,6.67,0,57.63,264.13,509.77,,,0,,0,0,0,14.97,,0.68,,--,,746.56,--,,9,,--,--,,--,--
APLAPOLLO,APL Apollo Tubes Ltd.,,,23.85,23.85,983.93,983.93,"1,007.78",,139.93,94.98,45.47,8.03,288.41,,451.89,624.17,204.59,0.61,"1,281.26","2,577.45",,,799.19,2.85,22.49,0,824.53,392.29,0,0.5,88.73,"1,306.05",,0,680.25,421.61,24.78,0.79,143.97,"1,271.40","2,577.45",,,74.92,,0,0,0,0,,0,,--,,--,--,,0.97,,--,392.29,,--,--
APLLTD,Alembic Pharmaceuticals Ltd.,,,37.7,37.7,"2,674.71","2,674.71","2,712.41",,499.3,45.27,0,51.33,595.9,,359.98,529.91,318.46,32.37,"1,240.72","4,549.03",,,"1,077.08",0,"1,106.89",8.35,"2,192.32",506.39,0,0,14.31,"2,713.02",,0,891.41,539.75,150.8,0,254.05,"1,836.01","4,549.03",,,409.05,,0,0,0,0,,606.48,,--,,--,"1,945.27",,--,,--,506.39,,--,--
APOLLOTYRE,Apollo Tyres Ltd.,,,57.21,57.21,"7,583.96","7,583.96","7,641.16",,"2,443.86",575.46,289.48,49.88,"3,358.68",,292.51,"1,368.66",821.95,165.98,"2,649.10","13,648.94",,,"6,368.08",31.44,654.9,0,"7,054.42","2,232.57",0,0,851.51,"10,138.50",,0,"2,051.48",779.5,217.57,0,461.9,"3,510.44","13,648.94",,,"4,497.96",,"3,340.14",0,0,171.96,,415.96,,0.59,,"1,069.00",86.81,,--,,0.28,"2,232.29",,--,--
APOLSINHOT,Apollo Sindoori Hotels Ltd.,,,1.3,1.3,33.67,33.67,34.97,,0.09,0,0,6.62,6.72,,0,17.13,8.44,1.98,27.55,69.24,,,4.96,0.12,0,0,5.08,0.15,3.05,0.61,1.53,10.42,,0,1.12,37.52,15.31,1.64,3.24,58.82,69.24,,,5.7,,0,0,0,0,,0.28,,--,,--,--,,--,,--,0.15,,--,--
ARCHIDPLY,Archidply Industries Ltd.,,,22.07,22.07,114.31,114.31,136.37,,6.16,0,0,5.97,12.13,,76.52,43.73,12.15,6.37,138.77,287.28,,,60.28,2.91,0.38,0.07,63.64,0.01,0.59,11.34,9.09,84.67,,0,81.59,97.47,10.53,0,13.02,202.61,287.28,,,9.1,,42.08,0,0,1.23,,0.26,,--,,11.23,--,,--,,0,0,,--,--
ARCHIES,Archies Ltd.,,,6.76,6.76,98.14,111.25,118.01,,0,2.3,1.26,0.55,4.11,,16.02,12.84,16.73,0.78,46.37,168.48,,,75.22,0,0.33,0,75.54,0,0,0,11.76,87.3,,0,50.86,19.1,2.19,0,9.02,81.18,168.48,,,4.3,,0,0,0,0,,20.73,,--,,--,1.75,,4.13,,--,--,,--,--
ARCOTECH,Arcotech Ltd.,,,21,29.92,113.9,113.9,143.81,,19.1,0,0,1.5,20.6,,363.76,3.95,145.46,12.65,525.82,716.33,,,191.89,0,0,0,191.89,0.12,25.53,0,8.01,225.55,,0,115.74,282.99,2.22,0,89.83,490.78,716.33,,,44.6,,0,0,0,0,,0,,--,,0.69,--,,--,,--,0.12,,--,--
ARENTERP,Rajdarshan Industries Ltd.,,,3.11,3.11,19.85,19.85,22.96,,0,0,0,0,0,,0,0.04,0.08,0.03,0.15,23.11,,,0.47,0,0,0.16,0.64,6.05,0.08,0,9.07,15.84,,0,0,1.24,1.58,4.33,0.12,7.27,23.11,,,0.01,,0,0,0,0,,0,,--,,--,--,,0.15,,--,6.05,,--,--
ARIES,Aries Agro Ltd.,,,13,13,143.79,143.79,156.8,,13.27,3.86,0,2.06,19.19,,143.78,51.33,52.75,1.08,248.94,424.92,,,38.33,0.28,14.52,0,53.13,20.27,0,0,0,73.4,,0,129.79,99.32,8.31,83.8,30.31,351.53,424.92,,,30.34,,0,0,0,0,,0.88,,--,,0.09,4.2,,6.6,,--,20.27,,--,--
