Symbol,Company Name,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
3MINDIA,3M India Ltd.,,,11.27,11.27,"2,210.24","2,210.24","2,221.51",,0,0,10.31,38.32,48.63,,0,387.37,211.67,47.45,646.49,"2,916.63",,,247.89,0.34,23.5,0,271.73,504.8,25.61,8.4,165.55,976.09,,0,430.27,460.51,937.15,6.73,105.87,"1,940.54","2,916.63",,,482.48,,0,0,0,0,,"1,170.08",,--,,91.03,--,,--,,--,504.8,,--,--
3PLAND,3p Land Holdings Ltd.,,,3.6,3.6,44.53,44.53,48.13,,0,0.06,0,0,0.06,,0,0,0.03,0,0.04,48.23,,,0.31,0,0,0.43,0.74,0,0,0,1.03,1.77,,33.64,0,0,0.17,12.65,0,46.46,48.23,,,95.78,,0,0,0,0,,0,,--,,--,--,,1.22,,--,--,,--,2.23
63MOONS,63 Moons Technologies Ltd.,,,9.22,9.22,"2,650.60","2,650.60","2,659.82",,0,3.06,4.33,7.38,14.78,,0,2.79,107.58,6.43,116.8,"2,791.40",,,208.68,4.13,0,106.59,319.4,853.61,0,0.18,327.04,"1,500.24",,123.41,0,4.58,"1,067.43",5.13,90.61,"1,291.16","2,791.40",,,269.78,,0,0,0,0,,1.68,,--,,--,2.11,,--,,--,853.61,,--,123.41
AARTIIND,Aarti Industries Ltd.,,,87.12,87.12,"3,324.62","3,324.62","3,411.74",,"1,268.05",210.98,224.41,0,"1,703.44",,"1,219.29",584.64,557.58,37.04,"2,398.55","7,513.73",,,"3,510.67",0.1,"1,297.91",0,"4,808.68",36.26,0,0,317.14,"5,162.08",,0,901.46,819.08,405.99,0,225.12,"2,351.65","7,513.73",,,439.02,,622.3,0,0,96.21,,42.93,,--,,"1,739.04",--,,72.09,,--,36.26,,--,--
AARVEEDEN,Aarvee Denim and Exports Ltd.,,,23.46,23.46,144.17,144.17,167.63,,175.5,0,1.21,0.55,177.26,,245,87.15,32.22,1.37,365.74,710.63,,,273.09,0.06,0,0,273.15,0,2.14,0,1.24,276.53,,0,153.93,208.13,19.9,0,52.14,434.1,710.63,,,19.73,,0,0,0,0,,2.29,,--,,74.52,--,,--,,--,--,,--,--
AAVAS,AAVAS Financiers  Ltd.,,,78.5,78.5,"2,322.90","2,322.90","2,401.40",,"1,564.40",28.52,10.97,3.72,"1,607.61",,"4,781.02",2.84,167.16,0,"4,951.03","8,960.05",,,54.8,3.46,0,0,58.66,0,0,0,8.19,66.85,,4.5,0,0,"1,120.96","7,523.29",244.44,"8,893.19","8,960.05",,,0.48,,0,0,0,0,,18.29,,--,,--,--,,--,,--,--,,--,4.5
ABAN,Aban Offshore Ltd.,,,11.67,11.67,-671.16,-671.16,-659.49,,0,0,1,0,1,,12.34,357.44,"1,245.58",0,"1,615.36",956.86,,,172.94,0,0,0,172.94,12.86,63.32,29.99,19.78,298.88,,0,88.99,333.34,3.61,62.56,169.49,657.99,956.86,,,"1,653.04",,0,0,0,18.44,,44.98,,--,,155.15,3.02,,--,,--,12.86,,--,--
ABFRL,Aditya Birla Fashion & Retail Ltd.,,,915.05,915.56,"1,721.87","1,721.87","2,685.07",,801.58,0.0,"2,072.67",89.44,"2,963.69",,0.06,"2,333.69","1,695.22",84.91,"4,113.88","9,762.66",,,"2,601.39","1,904.93",34.64,0.0,"4,540.96",689.53,321.23,2.59,536.1,"6,090.41",,299.53,"1,742.93",722.4,164.54,6.49,736.36,"3,672.25","9,762.66",,,66.84,,0.0,0.0,0.0,0.0,,418.27,,--,,103.09,--,,--,,--,6.66,,299.53,--
ABHISHEK,Abhishek Corporation Ltd.,,,16.01,16.01,-889.5,-889.5,-873.49,,0,0,0,1.95,1.95,,28.63,53.27,878.58,0.52,961,89.46,,,72.57,0,2.13,0,74.7,0.04,0,0,1.24,75.98,,0,4.8,3.05,4.28,1.3,0.05,13.48,89.46,,,0,,0,0,0,0,,0,,--,,--,--,,--,,--,--,,--,--
ACCELYA,Accelya Solutions India Ltd.,,,14.93,14.93,214.57,214.57,229.5,,0,0,29.04,4.82,33.86,,0,9.54,43.01,3.75,56.3,319.66,,,62.88,29.01,8.53,0,100.59,47.41,7.84,0,8.25,164.09,,22.83,0,51.14,28.97,0,52.63,155.57,319.66,,,11.16,,0,0,0,0,,19.6,,46.68,,--,228.96,,0.6,,--,47.41,,--,22.83
ACE,Action Construction Equipment Ltd.,,,22.7,22.7,500.77,500.77,523.46,,20.13,16.06,0.13,1.85,38.18,,30.93,330.42,128.47,1.42,491.23,"1,052.88",,,407.74,1.22,12.55,11.99,433.5,12.89,0,0,16.46,462.86,,25.05,265.69,224.59,36.44,0,38.26,590.02,"1,052.88",,,145.2,,0,0,0,0,,128.93,,--,,55.8,--,,--,,6.39,6.51,,24.13,0.91
ADANIENT,Adani Enterprises Ltd.,,,109.98,109.98,"4,018.01","4,018.01","4,127.99",,"1,338.07",12.43,60.87,21.47,"1,432.84",,"1,422.31","5,050.86",915.66,42.6,"7,431.43","12,992.26",,,845.73,563.5,453.12,18.56,"1,880.91","2,464.31",0,0,597.44,"4,942.66",,1,"1,099.19","2,661.31",435.93,"2,729.07","1,123.10","8,049.60","12,992.26",,,"6,614.21",,0,0,0,0,,"5,536.52",,--,,--,--,,41.84,,--,"2,464.31",,--,1
ADANIGREEN,Adani Green Energy Ltd.,,,"1,564.00","1,564.00",157,157,"1,721.00",,"2,148.00",0,0,21,"2,169.00",,"3,162.00",625,"5,865.00",6,"9,658.00","14,297.00",,,60,7,1,0,68,"2,920.00",321,"4,557.00",230,"8,096.00",,0,"2,429.00","2,534.00",182,0,"1,056.00","6,201.00","14,297.00",,,"13,152.00",,0,0,0,0,,"1,818.14",,--,,--,5.39,,--,,--,"2,920.00",,--,--
ADFFOODS,ADF Foods Industries Ltd.,,,20.4,20.4,249.5,249.5,287.55,,0,7.69,0.06,0.79,8.54,,0,18.18,6.23,0.13,24.53,320.62,,,55.88,21.35,0.35,0,77.57,69.97,0,1.74,5.59,154.88,,16.63,30.42,54.25,45.26,1.05,18.15,165.75,320.62,,,9.84,,0,0,0,0,,21.31,,--,,--,214.2,,--,,--,69.97,,16.63,--
ADORWELD,Ador Welding Ltd.,,,13.6,13.6,223.83,223.83,237.43,,0,0,1.41,3.59,5,,28,73.94,15.83,14.88,132.65,375.08,,,107.78,0.75,3.27,7.89,119.69,2.13,0.86,1.74,38.92,163.34,,9.65,62.46,105.33,18,1.14,15.16,211.74,375.08,,,45.69,,0,0,0,0,,47.83,,--,,--,24.5,,8.53,,--,2.13,,--,9.65
ADROITINFO,Adroit Infotech Ltd.,,,18.27,18.27,-11.96,-11.96,6.31,,0,0.05,0,0,0.05,,0.24,0.4,7.51,0.08,8.23,14.59,,,0.28,0,0,0,8.94,0.08,0.34,0,0,9.35,,0,0,4.21,0.02,0.13,0.88,5.24,14.59,,,0,,0,0,0,0,,0,,--,,--,5.15,,--,,--,--,,--,--
ADSL,Allied Digital Services Ltd.,,,25.35,25.35,453.03,453.03,478.38,,4.68,26.83,0.77,0,32.28,,47.86,33.85,1.76,8.4,91.87,602.53,,,44.66,33.66,0,80.23,158.55,155.56,0,2.52,18.27,334.9,,0,34.74,136.94,13.75,1.44,80.76,267.63,602.53,,,7.44,,0,0,0,0,,3.12,,--,,--,37.22,,8.68,,--,--,,--,--
ADVANIHOTR,Advani Hotels and Resorts (India) Ltd.,,,9.24,9.24,34,34,43.25,,0.21,4.18,0.15,0.64,5.19,,0.28,3.45,12.05,0.17,15.96,64.39,,,44.19,0.03,0,0.19,44.42,0,0,0.1,1.23,45.74,,12.04,1.27,0.38,2.76,0.22,1.99,18.65,64.39,,,11.08,,0,0,0,0,,0.54,,--,,--,0.59,,--,,--,--,,--,12.04
AGARIND,Agarwal Industrial Corporation Ltd.,,,10.26,10.26,155.26,155.26,165.51,,21.1,3.84,14.66,0.39,39.99,,81.13,18.64,15.79,0.01,115.56,321.07,,,70.37,0,0.76,0.37,71.5,4.23,0,0,0.53,76.26,,6.06,45.33,122.71,9.32,50.51,10.88,244.81,321.07,,,30.96,,0,0,0,0,,640.91,,--,,--,3.57,,--,,--,4.23,,6.06,--
AGI,AGI Greenpac Ltd.,,,12.94,12.94,"1,220.62","1,220.62","1,233.56",,675.4,256.26,19.14,8.84,959.64,,128.74,230.13,295.33,8.62,662.82,"2,856.02",,,"1,829.24",2.1,30.52,0,"1,861.86",11.12,0,17.11,80.12,"1,970.20",,0,436.14,317.3,23.41,0.01,108.96,885.82,"2,856.02",,,352.89,,262.44,0,0,63.93,,326.37,,--,,29.65,--,,4.34,,0,11.12,,--,--
AGRITECH,Agri-Tech (India) Ltd.,,,5.94,5.94,83.22,83.22,89.16,,0,0,0,0.05,0.05,,15.64,0.08,0.03,0.09,15.84,105.05,,,10.56,0,0.05,0,10.61,31.01,0,0,0,41.62,,0,0.02,0,0.05,0,63.37,63.44,105.05,,,0,,0,0,0,0,,0,,--,,--,--,,--,,--,12.3,,--,--
AGROPHOS,Agro Phos India Ltd.,,,20.27,20.27,21.38,21.38,41.65,,2.36,1.34,0.07,0.52,4.29,,10.75,12.1,3.85,0.04,26.74,72.68,,,14.81,0.04,0.33,0,15.18,0,0,0.24,0.06,15.48,,0,29.37,16.58,1.01,2.42,7.82,57.2,72.68,,,0.21,,0,0,0,0,,3.67,,--,,--,--,,1.18,,--,--,,--,--
AIAENG,AIA Engineering Ltd.,,,18.86,18.86,"4,075.56","4,075.56","4,094.42",,0,57.49,5.75,7.7,70.93,,181,146.95,38.06,1.97,367.98,"4,533.34",,,780.91,7.6,160.95,0,949.46,272.14,0,5.77,54.32,"1,281.69",,520.26,419.5,"1,066.95","1,147.90",1.52,95.52,"3,251.64","4,533.34",,,358.62,,0,0,0,0,,347.19,,--,,--,"1,902.87",,10.46,,276.88,2.38,,523.47,--
AIRAN,Airan Ltd.,,,25,25,60.99,60.99,85.99,,0,6.75,0.43,0,7.18,,5.81,1.82,6.87,0,14.51,107.68,,,58.97,0.21,0,0,59.18,5.89,0,0,0,65.06,,1.18,0,19.26,0.8,16.63,4.74,42.62,107.68,,,1.04,,0,0,0,0,,0,,--,,--,--,,17.1,,--,5.89,,--,--
AJANTPHARM,Ajanta Pharma Ltd.,,,17.39,17.39,"2,867.59","2,867.59","2,884.98",,0,92.17,20.89,17.93,130.99,,0,317.2,187.18,11.71,516.09,"3,532.06",,,"1,502.37",7.52,108.19,8.9,"1,626.98",17.89,0,6.25,44.73,"1,695.85",,138.99,634.22,782.3,151.98,5.74,122.98,"1,836.21","3,532.06",,,168.98,,0,0,0,0,,231.45,,--,,--,"1,809.65",,7.09,,--,17.89,,138.99,--
AJMERA,Ajmera Realty and Infra India Ltd.,,,35.48,35.48,565.2,565.2,600.69,,619.43,0,179.4,3.02,801.86,,0,21.68,33.11,18.16,72.94,"1,475.49",,,6.83,0.07,0,0,6.91,134.17,0,598.07,29,768.15,,0,534.4,127.24,19.13,0.18,26.38,707.33,"1,475.49",,,6.19,,0,0,0,0,,0.64,,--,,--,--,,--,,--,134.17,,--,--
AKSHARCHEM,AksharChem (India) Ltd.,,,8.2,8.2,270.52,270.52,278.72,,0,16.26,0,0.3,16.56,,14.79,37.95,7.09,0.38,60.21,355.5,,,228.71,0.03,5.68,0,234.82,0.25,0,0.08,6.18,241.33,,0,57.96,28.19,3.1,0.09,24.83,114.17,355.5,,,7.93,,0,0,0,0,,2.5,,--,,--,193.86,,0.48,,0.49,0,,--,--
AKSHOPTFBR,Aksh Optifibre Ltd.,,,81.35,81.35,185.63,185.63,266.98,,22.31,0,4.22,1.49,28.03,,128.12,73.91,47.09,4.76,253.88,548.88,,,148.05,0.62,0.54,0,149.21,182.49,2.09,26.23,3.93,363.94,,0,36.39,102.16,20.95,8.39,17.05,184.94,548.88,,,104.56,,0,0,0,0,,0,,--,,--,--,,4.75,,--,182.49,,--,--
AKZOINDIA,Akzo Nobel India Ltd.,,,45.5,45.5,"1,240.90","1,242.10","1,287.60",,0,0,76,74.3,150.3,,0,798.5,262.7,30.1,"1,091.30","2,529.20",,,536.5,6.3,16.5,0,559.3,0.5,18.1,0.4,203.8,782.1,,0,488.2,413.1,732.5,0,113.3,"1,747.10","2,529.20",,,103.9,,0,0,0,0,,474.5,,--,,--,131.5,,8.51,,--,0.5,,--,--
ALBERTDAVD,Albert David Ltd.,,,5.71,5.71,238.67,238.67,244.38,,0,0.97,4.86,10.58,16.41,,0.43,31.95,28.23,20,80.61,341.4,,,82.49,1.47,0.75,0,84.71,23.86,0,1.92,7.23,117.72,,113.82,35.75,19.49,35.37,13.41,5.84,223.68,341.4,,,4.07,,0,0,0,0,,11.56,,--,,--,12.71,,--,,--,18.7,,--,103.54
ALEMBICLTD,Alembic Ltd.,,,51.36,51.36,775.46,775.46,826.82,,0,46.58,3.84,0.83,51.24,,0.28,17.34,30.11,10.66,58.39,936.45,,,133.69,0,5.84,127.44,266.97,565.5,0,0,4.37,836.84,,15.68,54.28,13.1,6.46,0.06,10.04,99.62,936.45,,,55.92,,0,0,0,0,,4.46,,--,,1.08,--,,45.11,,"5,881.82",5.12,,--,9.64
ALKALI,Alkali Metals Ltd.,,,10.18,10.18,38.35,39.19,49.37,,3.67,1.43,4.75,0.15,10,,15.76,19.11,2.91,0.32,38.1,97.47,,,46.59,0.06,0.43,0,47.09,0,3.74,0,1.25,52.07,,0,28.16,11.99,0.95,0,4.3,45.4,97.47,,,2.6,,13.52,0,0,0,,13.52,,--,,25.77,--,,--,,--,--,,--,--
ALKEM,Alkem Laboratories Ltd.,,,23.91,23.91,"7,601.84","7,601.84","7,625.75",,6.32,0,40.3,190.42,237.04,,"1,332.84",952.92,430.53,193.65,"2,909.94","10,772.73",,,"1,648.60",109.76,323.26,0,"2,081.62","1,990.21",954.43,33.32,81.61,"5,141.19",,162.17,"1,513.26","1,556.55","1,673.36",21.11,705.09,"5,631.54","10,772.73",,,376.65,,0,0,0,0,,246.74,,--,,--,"1,955.49",,11.96,,--,92.34,,--,129.64
ALLSEC,ALLSEC Technologies Ltd.,,,15.24,15.24,141.05,141.05,156.29,,0.01,0,6.47,5.08,11.56,,0,16.42,14.86,2.69,33.97,201.82,,,22.33,4.66,0,0,28.33,10.2,9.66,0,13.23,61.42,,49.71,0,34.5,38.76,0,17.43,140.4,201.82,,,1.12,,0,0,0,0,,2.7,,--,,--,51.77,,--,,--,10.2,,49.71,--
ALPA,Alpa Laboratories Ltd.,,,21.04,21.04,96.48,96.48,117.52,,0.01,0.22,0,0,0.23,,0,24.72,6.08,1.68,32.48,150.23,,,7.16,0.06,1.57,0,8.79,21.24,0,0,0.34,30.36,,40.69,16.56,35.43,10.24,0.04,16.91,119.87,150.23,,,5.28,,71.76,0,0,0.24,,0.08,,--,,--,45.3,,--,,--,10.15,,--,0.28
ALPHAGEO,Alphageo (India) Ltd.,,,6.38,6.38,228.16,228.16,234.54,,0.04,0,0,0.74,0.77,,0,33.48,12.07,0.2,45.75,281.06,,,69.65,0,2.2,0,71.85,13.37,12.59,0,0.66,98.46,,3.1,1.36,88.12,40.25,0,49.77,182.6,281.06,,,0,,0,28.21,28.21,0,,1.94,,--,,--,--,,0.42,,--,13.37,,3.1,--
