Symbol,Company Name,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
ALPSINDUS,Alps Industries Ltd.,,,39.11,197.46,-689.69,-689.69,-492.23,,268.8,0,0,3.51,272.31,,343.81,31.49,19.76,0.47,395.53,197.93,,,107.98,0.9,0,0,108.88,3.75,0,3.09,10.06,125.78,,0,29.4,32.1,0.5,0,10.14,72.15,197.93,,,392.38,,4.88,0,0,0,,1.97,,--,,3.75,--,,16.26,,--,3.75,,--,--
AMBICAAGAR,Ambica Agar Ltd.,,,17.18,17.18,82.86,82.86,100.04,,69.1,21.97,0,0,91.07,,0.04,13.73,6.63,0,20.4,211.51,,,124.55,0.01,0,0,124.56,7.11,0,0,19.44,151.11,,0,13.59,8.27,2.55,0,35.99,60.4,211.51,,,0,,0,0,0,0,,0,,--,,--,--,,--,,--,7.11,,--,--
AMBIKCO,Ambika Cotton Mills Ltd.,,,5.73,5.73,559.48,559.48,565.21,,0,20.8,4.88,0,25.68,,0.1,23.2,14.94,0,38.25,629.13,,,244.55,0,3.86,0,248.4,0,0,0,9.09,257.5,,0.39,313.2,13.47,2.18,0,42.41,371.63,629.13,,,60.84,,0,0,0,0,,177.07,,--,,422.17,--,,2.96,,--,--,,0.28,--
AMDIND,AMD Industries Ltd.,,,19.17,19.17,112.69,112.69,131.86,,12.97,3.33,0,1.82,18.12,,30.19,49.15,13.89,1.18,94.41,244.4,,,100.81,0,0.28,2.46,103.54,0,0,0,25.25,128.79,,0,57.9,45.5,5.5,0,6.7,115.61,244.4,,,5.05,,0,0,0,0,,"1,536,014.64",,--,,--,"523,519.80",,--,,--,--,,--,--
AMJLAND,AMJ Land Ltd.,,,8.2,8.2,103.4,103.4,111.6,,3.75,2.9,1.94,0,8.59,,7.25,1.33,2.05,0,10.63,130.82,,,18.57,0,2.21,10.52,31.31,25.91,0,0,0.18,57.4,,8.22,29.49,0.18,3.92,28.02,3.58,73.42,130.82,,,0,,0,0,0,0,,0,,--,,--,--,,5.8,,20.15,3.31,,--,--
AMRUTANJAN,Amrutanjan Health Care Ltd.,,,2.92,2.92,212.64,212.64,215.56,,0,0,0.88,5.72,6.6,,0,40.67,7.95,3.49,52.1,274.27,,,22.9,0.36,0.41,0,24.83,12.01,3.43,0.45,10.66,51.37,,5.83,17.46,17.66,139.32,0,42.63,222.9,274.27,,,12.94,,0,0,0,0,,1.85,,--,,--,6.83,,2.87,,12.01,--,,5.83,--
ANANTRAJ,Anant Raj Ltd.,,,59.02,59.02,"2,409.14","2,409.14","2,468.16",,"1,372.97",29.77,0,1.73,"1,404.47",,78.41,3.91,402.4,0.64,485.36,"4,357.99",,,14.41,0,100.42,"1,143.00","1,257.84",290.21,0,490.07,115.2,"2,153.33",,0,"1,265.86",53.68,11.21,5.05,868.86,"2,204.66","4,357.99",,,102.82,,0,0,0,0,,0.17,,--,,--,--,,--,,--,290.21,,--,--
ANDHRAPAP,Andhra Paper Ltd.,,,39.77,39.77,935.45,935.45,975.22,,7.18,88.35,10.43,0.51,106.46,,22,130.38,64.06,34.48,250.91,"1,332.59",,,605.52,13.11,7.55,0,627.62,107.3,0,4,37.9,776.82,,111.96,164.31,75.6,81.57,61.97,60.36,555.77,"1,332.59",,,106.72,,0,0,0,0,,16.37,,--,,--,75.66,,1.13,,--,107.3,,--,111.96
ANDHRSUGAR,The Andhra Sugar Ltd.,,,27.11,27.11,"1,094.61","1,094.61","1,121.72",,49.53,85.1,61.55,21.65,217.84,,19.85,36.61,153.56,7.38,217.39,"1,556.95",,,667.99,0.05,46.15,0.04,714.22,130.75,0,0,24.95,869.92,,155.94,346.25,133.55,16.1,0,35.2,687.03,"1,556.95",,,101.2,,48.28,0,0,38.58,,0.53,,--,,5.05,--,,20.82,,243.72,89.68,,--,155.94
ANIKINDS,Anik Industries Ltd.,,,27.75,27.75,237.96,237.96,265.71,,64.93,0,0,0.11,65.03,,39.56,51.86,226.76,0.11,318.29,649.04,,,16.21,0,0,0,16.21,146.75,25.69,0,9.08,197.73,,0,54.41,120.36,31.41,1.02,244.11,451.31,649.04,,,43.88,,0,0,0,0,,65.72,,--,,--,6.88,,0.43,,0.01,103.3,,--,--
ANKITMETAL,Ankit Metal and Power Ltd.,,,141.11,141.11,-875.3,-875.3,-734.19,,176.52,0,0,0,176.52,,376.14,470.14,911.85,16.02,"1,774.15","1,216.48",,,503.89,0,0,0,503.89,0.12,0,0,0.94,504.95,,0,569.92,51.33,0.91,0,89.37,711.53,"1,216.48",,,962.98,,0,0,0,0,,0,,--,,--,--,,--,,--,0.07,,--,--
ANTGRAPHIC,Antarctica Ltd.,,,15.5,15.5,-2.76,1.21,16.71,,2.96,0,0,0,2.96,,0,0.11,0.28,0,0.39,20.06,,,6.88,2.83,0,0,9.71,0,0,0,0.81,10.52,,0,4.37,4.95,0.22,0,0,9.54,20.06,,,0.04,,0,0,0,0,,0,,--,,--,--,,0.73,,--,--,,--,--
ANUP,The Anup Engineering Ltd.,,,9.83,9.83,327.56,327.56,337.39,,0,12.47,0,0.09,12.56,,0,26.95,53.43,0.62,81,430.95,,,188.06,23.72,1.53,0,213.31,0.01,0,0,1.2,214.52,,0,66.78,110.31,23.61,0,15.73,216.43,430.95,,,163.68,,0,0,0,0,,23.15,,--,,--,41.48,,--,,--,0.01,,--,--
APEX,Apex Frozen Foods Ltd.,,,31.25,31.25,408.57,408.57,439.82,,28.06,0,0,0,28.06,,138.02,29.98,7.43,13.47,188.9,656.78,,,250.4,0,15.39,0,265.79,0,2.31,0,2.67,270.77,,0,161.2,154.59,9.89,0,60.33,386.02,656.78,,,8.2,,0,0,0,0,,42.08,,--,,733.72,--,,9,,--,--,,--,--
APLAPOLLO,APL Apollo Tubes Ltd.,,,24.98,24.98,"1,420.03","1,420.03","1,448.79",,224.48,76.39,49.55,11.69,362.11,,208.42,696.87,103.13,0.57,"1,008.99","2,819.89",,,890.01,1.62,52.89,0,944.52,525.81,0,107.29,74.57,"1,652.19",,0,550.39,87.18,344.49,1.11,184.53,"1,167.70","2,819.89",,,109.54,,0,0,0,0,,1.67,,--,,--,119.2,,0.97,,0.1,1.38,,--,--
APLLTD,Alembic Pharmaceuticals Ltd.,,,39.31,39.31,"5,214.93","5,214.93","5,254.24",,199.89,46.12,67.73,84.73,398.47,,0.02,516.94,554.91,51.6,"1,123.47","6,776.18",,,"1,452.83",0,"1,927.63",8.35,"3,388.81",978.25,0,0,35.17,"4,402.23",,186.97,"1,316.78",407.9,61.22,0,401.08,"2,373.95","6,776.18",,,327.06,,0,0,0,0,,684.49,,--,,--,"3,602.01",,--,,--,978.25,,--,--
APOLLOTYRE,Apollo Tyres Ltd.,,,63.51,63.51,"9,409.05","9,409.05","9,472.56",,"3,660.43",673.37,978.71,49.48,"5,361.99",,100.49,"1,929.26","2,106.82",192.34,"4,328.90","19,163.45",,,"10,196.54",37.6,"1,029.96",0,"11,264.09","2,409.72",0,0,592.07,"14,265.88",,90.07,"2,076.60",732.04,"1,400.25",0,598.62,"4,897.57","19,163.45",,,"1,486.39",,"2,062.05",0,0,376.77,,388.84,,--,,"1,013.24",84.6,,6.31,,0.12,"2,409.60",,--,--
APOLSINHOT,Apollo Sindoori Hotels Ltd.,,,1.3,1.3,45.91,45.91,47.21,,0.79,0,8.56,8.64,17.99,,0,12.92,11.33,2.82,27.07,92.26,,,14.03,0.04,0,0,14.07,1.05,3.36,2.36,2.34,23.18,,0,1.7,35.51,22.19,1.38,8.3,69.08,92.26,,,5.7,,0,0,0,0,,0.22,,--,,--,--,,--,,--,1.05,,--,--
ARCHIDPLY,Archidply Industries Ltd.,,,19.87,19.87,63.77,63.77,83.64,,4.73,0,0,4.35,9.08,,56.6,25.85,7.71,8.85,99.02,191.74,,,46.08,1.66,0.12,0,47.86,0.15,1.15,0,5.93,55.09,,0,45.78,71.39,9.66,0,9.81,136.65,191.74,,,2.14,,12.22,0,0,0,,15.92,,--,,18.95,--,,--,,0,0.15,,--,--
ARCHIES,Archies Ltd.,,,6.76,6.76,87.97,100.82,107.58,,0,0,34.68,1.7,36.38,,17.84,6.38,21.1,0.67,45.98,189.94,,,68.09,0,0.48,0,68.57,0,2.81,7.09,39.4,117.87,,0,57.95,10.42,0.85,0.35,2.5,72.07,189.94,,,0.51,,0,0,0,0,,3.13,,--,,--,6.46,,4.13,,--,--,,--,--
ARCOTECH,Arcotech Ltd.,,,21,23.5,28.77,28.77,52.27,,0,0,0,1.35,1.35,,391.85,1.64,131.84,12.79,538.11,624.85,,,170.23,0,0,0,170.23,0.01,68.96,0,8.21,247.4,,0,59.49,237.65,0.16,0,80.15,377.44,624.85,,,50.08,,0,0,0,0,,0,,--,,--,--,,--,,--,0.01,,--,--
ARENTERP,Rajdarshan Industries Ltd.,,,3.11,3.11,15.06,15.06,18.17,,0,0,0.02,0,0.02,,0,0.02,0.02,0.02,0.07,18.26,,,0.17,0,0,0.16,0.34,6.54,2.05,0,1.69,10.62,,0,0,1.04,2.51,4.03,0.07,7.65,18.26,,,0,,0,0,0,0,,0,,--,,--,--,,0.15,,--,6.54,,--,--
ARIES,Aries Agro Ltd.,,,13,13,177.52,177.52,190.53,,12.15,5.28,2.87,3.08,23.39,,115.59,52.24,92.63,1.13,261.59,475.5,,,54.25,0.17,12.21,0,66.63,20.28,0,0,0,86.91,,0,140.75,108.93,3.85,101.27,33.79,388.59,475.5,,,61.56,,48.42,0,0,0,,1.28,,--,,0.23,4.97,,6.6,,--,20.28,,--,--
