Symbol,Company Name,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
ACE,Action Construction Equipment Ltd.,,,23.82,23.82,731.27,731.27,755.09,,0,13.66,0.75,2.27,16.68,,7.6,360.92,137.3,1.79,507.61,"1,279.37",,,428.12,2.66,24.29,11.75,466.83,75.72,0,0,23.03,565.58,,110.47,332.47,189.73,14.02,0,67.12,713.79,"1,279.37",,,159.39,,0,0,0,0,,187.4,,--,,44.26,--,,--,,42.41,33.32,,107.46,3.01
ADANIENT,Adani Enterprises Ltd.,,,109.98,109.98,"4,620.68","4,620.68","4,730.66",,"1,921.99",138.77,150.67,27.29,"2,238.72",,"2,299.84","10,623.77","1,201.23",47.66,"14,172.50","21,651.88",,,"1,098.31",566.73,511.44,18.37,"2,194.85","3,436.35",0,0.63,566.56,"6,198.39",,1,"4,843.83","3,516.19",485.21,"5,120.54","1,486.72","15,453.49","21,651.88",,,"7,305.21",,0,0,0,0,,"20,097.58",,--,,--,110.28,,41.84,,--,"3,436.35",,--,1
ADANIGREEN,Adani Green Energy Ltd.,,,"1,564.00","1,564.00",-44,-44,"1,520.00",,"11,645.00",0,"5,466.00",27,"17,138.00",,"5,644.00",495,"2,407.00",10,"8,556.00","27,963.00",,,65,9,8,0,82,"17,837.00",414,"2,037.00",468,"20,838.00",,2,"4,500.00",897,369,2,"1,355.00","7,125.00","27,963.00",,,"10,408.00",,0,0,0,0,,"6,284.94",,--,,--,--,,--,,--,"17,837.00",,--,2
ADFFOODS,ADF Foods Industries Ltd.,,,21.34,21.34,318.76,318.76,349.21,,0,8.31,0.06,0.92,9.29,,0,22.17,10.46,0.13,32.76,391.26,,,59.94,21.38,0.14,0,81.45,86.83,0,0.06,6.91,175.25,,39.27,35.32,60.92,54.3,0.39,25.81,216.01,391.26,,,20.04,,0,0,0,0,,13.73,,--,,--,236.08,,--,,--,86.83,,39.27,--
ADORWELD,Ador Welding Ltd.,,,13.6,13.6,268.41,268.41,282.01,,0.6,0,1.48,4.69,6.77,,0.08,77.5,19.86,6.51,103.95,392.73,,,108.74,0.65,7.06,7.29,123.78,2.13,2.75,0.3,35.14,164.1,,18.78,89.97,93.15,7.4,0.41,18.92,228.63,392.73,,,53.44,,0,0,0,0,,56.86,,--,,--,31.42,,8.53,,--,2.13,,--,18.78
ADROITINFO,Adroit Infotech Ltd.,,,18.27,18.27,-11.34,-11.34,6.93,,0.9,0,5.01,0.07,5.97,,0.9,0.78,2.94,0,4.62,17.51,,,1.23,0,0,0,8.93,0,0.3,0,1.58,10.81,,0,0,2.95,0.07,2.84,0.85,6.7,17.51,,,0,,0,0,0,0,,0,,--,,--,5.78,,--,,--,--,,--,--
ADSL,Allied Digital Services Ltd.,,,27.1,27.1,465.77,465.77,492.87,,4.63,25.12,3.62,0,33.37,,37.93,19.19,0.42,7.91,65.45,591.69,,,48.55,24.41,0,79.37,152.33,156.99,0,2.52,14.18,326.02,,0,37.89,138.38,9.57,1.95,77.88,265.67,591.69,,,6.86,,0,0,0,0,,5.29,,--,,--,58.06,,8.68,,--,--,,--,--
ADVANIHOTR,Advani Hotels and Resorts (India) Ltd.,,,9.24,9.24,40.61,40.61,49.85,,0.13,5.41,0.26,0.54,6.34,,0.08,2.94,15.56,0.19,18.77,74.97,,,42.31,0.02,0,0.19,42.53,0,0,0,0.78,43.31,,25.23,1.42,0.38,1.44,0.11,3.07,31.65,74.97,,,10.99,,0,0,0,0,,1.76,,--,,--,1.47,,--,,--,--,,--,25.23
AGARIND,Agarwal Industrial Corporation Ltd.,,,13.21,13.21,219.67,219.67,237.48,,14.77,3.6,19.63,0.42,38.43,,108.97,25.85,20.85,0.06,155.74,431.65,,,72.4,0,2.87,0.37,75.64,16.73,0,0,6.66,99.02,,12.49,61.78,132.83,45.63,59.69,20.21,332.62,431.65,,,31.87,,0,0,0,0,,"1,111.52",,--,,--,6.05,,--,,--,16.73,,12.49,--
AGI,AGI Greenpac Ltd.,,,12.94,12.94,"1,379.14","1,379.14","1,392.08",,863.65,253.72,15.38,6.22,"1,138.96",,298.73,217.4,226.22,6.1,748.45,"3,279.49",,,"1,117.32",1.22,303.97,410.55,"1,833.05",20.93,0,0.76,44.73,"1,899.47",,0,301.62,306.4,58.62,0.21,713.18,"1,380.02","3,279.49",,,173.2,,330.66,0,0,112.44,,443.1,,--,,25.84,--,,4.34,,--,20.93,,--,--
AGRITECH,Agri-Tech (India) Ltd.,,,5.94,5.94,85.95,85.95,91.89,,0,0,0,0.05,0.05,,3.54,0.33,19.74,0.12,23.72,115.67,,,10.5,0,0,0,10.51,23.2,0,0,0,33.71,,0,0.05,0,0,79.04,2.87,81.96,115.67,,,41,,0,0,0,0,,0,,--,,--,--,,--,,--,4.95,,--,--
AGROPHOS,Agro Phos India Ltd.,,,20.27,20.27,26.69,26.69,46.96,,1.71,0.73,0.63,0.66,3.73,,11.05,18.25,4.64,0.05,33.99,84.68,,,20.98,0.03,0.72,0,21.73,1.27,0,0,0.67,23.67,,0,31.63,11.39,3.09,6.89,8.01,61.01,84.68,,,0.55,,0,0,0,0,,11.73,,--,,--,--,,1.18,,--,0.48,,--,--
AIAENG,AIA Engineering Ltd.,,,18.86,18.86,"4,576.02","4,576.02","4,594.89",,0,58.04,3.08,5.34,66.47,,0,150.56,49.55,3.36,203.47,"4,864.82",,,758.2,7.43,210.23,0,975.87,15.41,0,1.62,390.99,"1,383.89",,"1,012.09",628.02,"1,295.13",422.58,0.96,122.16,"3,480.94","4,864.82",,,327.29,,0,0,0,0,,477.99,,--,,--,"2,352.78",,10.46,,18.39,2,,"1,012.75",--
AIRAN,Airan Ltd.,,,25,25,69.39,69.39,94.39,,1.75,6.51,0.72,0,8.98,,0.03,2.32,6.69,0,9.04,112.41,,,55.96,0.17,0,0,56.13,7.01,0,0,0,63.14,,10.77,0,16.18,0.39,18.14,3.8,49.27,112.41,,,22.95,,0,0,0,0,,0,,--,,--,--,,17.1,,--,7.01,,--,--
AJANTPHARM,Ajanta Pharma Ltd.,,,17.17,17.17,"3,152.01","3,152.01","3,169.18",,0,101.87,20.42,19.32,141.61,,0,274.37,184.53,10.8,469.7,"3,780.49",,,"1,478.09",5.82,152.86,8.41,"1,645.18",42.99,0,0,35.31,"1,723.48",,121.86,635.11,"1,043.62",145.25,6.14,105.03,"2,057.01","3,780.49",,,76.44,,0,0,0,0,,366.23,,--,,--,"1,867.82",,7.09,,--,42.99,,121.86,--
AJMERA,Ajmera Realty and Infra India Ltd.,,,35.48,35.48,605.55,605.55,641.03,,743.53,0,111,3.02,857.56,,10.07,29.84,14.95,11.89,66.74,"1,565.33",,,5.62,0.11,0,0,5.74,112.57,0,602.68,55.15,776.14,,0,603.39,137.53,20.75,0.36,27.16,789.19,"1,565.33",,,1.36,,0,0,0,0,,0.75,,--,,--,--,,--,,--,112.57,,--,--
AKSHARCHEM,AksharChem (India) Ltd.,,,8.03,8.03,271.69,271.69,279.72,,22.5,17.71,0,0.4,40.6,,27.77,50.13,7.32,0.43,85.65,405.97,,,230.84,0.4,16,0,247.23,0,0,0,6.15,253.39,,0,72.48,52.93,2,0.21,24.97,152.59,405.97,,,7.92,,0,0,0,0,,3.13,,--,,--,276.53,,0.48,,0.25,0,,--,--
AKSHOPTFBR,Aksh Optifibre Ltd.,,,81.35,81.35,203.17,203.17,284.52,,11.14,3.64,4.19,1.73,20.7,,97.32,69.59,54.77,2.62,224.3,529.52,,,134.33,0.27,0,0,134.61,184.85,0,23.92,5.77,349.15,,0,34.73,106.43,18.8,7.39,13.01,180.37,529.52,,,117.43,,0,0,0,0,,59.31,,--,,--,117.61,,4.75,,--,184.85,,--,--
AKZOINDIA,Akzo Nobel India Ltd.,,,45.5,45.5,"1,212.10","1,213.30","1,258.80",,0,0,79.9,68.2,148.1,,0,845.1,296.4,42.1,"1,183.60","2,590.50",,,514.8,5.2,41.6,0,561.6,0,19.6,0.4,249.4,831,,0,664.4,495.5,457.6,0,142,"1,759.50","2,590.50",,,115.1,,0,0,0,0,,615.8,,--,,--,113.4,,8.51,,--,--,,--,--
ALBERTDAVD,Albert David Ltd.,,,5.71,5.71,273.76,273.76,279.47,,0,0.4,3.56,10.47,14.43,,3.77,30.98,50.1,24.1,108.94,402.84,,,83.81,3.87,0.81,0,88.49,26.56,0,0,33.96,149.01,,156.53,39.18,25.07,18.56,5.12,9.37,253.83,402.84,,,2.81,,0,0,0,0,,20.69,,--,,--,17.73,,--,,--,18.7,,20.76,135.76
ALEMBICLTD,Alembic Ltd.,,,51.36,51.36,962.49,962.49,"1,013.85",,0,60.43,1.93,1.1,63.45,,0,19.12,36.85,10.92,66.89,"1,144.19",,,133.5,0,0.19,160.23,293.92,702.38,0,0,7.66,"1,003.96",,23.59,86.87,14.9,1.59,5.04,8.23,140.23,"1,144.19",,,54.62,,0,0,0,0,,0.23,,--,,1.56,--,,45.11,,"4,771.91",2.62,,--,19.11
ALKALI,Alkali Metals Ltd.,,,10.18,10.18,41.07,41.9,52.08,,2.01,2.98,4.24,0.25,9.48,,15.17,20.22,2.25,0.31,37.95,99.52,,,46.27,0,0.63,0,46.9,0,4.6,0,1.26,52.75,,0,25.7,13.4,2.57,0,5.1,46.77,99.52,,,2.05,,13.95,0,0,0.68,,0,,--,,52.96,--,,--,,--,--,,--,--
ALKEM,Alkem Laboratories Ltd.,,,23.91,23.91,"8,719.75","8,719.75","8,743.66",,0,0,44.12,257.63,301.75,,"2,245.52","1,111.02",573.2,194.02,"4,123.76","13,169.17",,,"1,731.22",150.85,232.45,0,"2,114.52","2,393.45","1,048.74",17.85,734,"6,308.56",,135.16,"1,975.73","1,768.22","2,297.21",14.53,669.76,"6,860.61","13,169.17",,,359.22,,0,0,0,0,,391.06,,--,,--,"1,992.36",,11.96,,--,235.16,,--,--
ALLSEC,ALLSEC Technologies Ltd.,,,15.24,15.24,146.81,146.81,162.05,,0,0,19.56,6.05,25.61,,0,21.9,16.63,3.23,41.76,229.42,,,38.94,3.77,0,0,50.55,10.2,6.63,0,16.2,83.58,,46.94,0,44.07,36.99,0,17.84,145.84,229.42,,,1.14,,0,0,0,0,,3.22,,--,,--,66.25,,--,,--,10.2,,46.94,--
ALPA,Alpa Laboratories Ltd.,,,21.04,21.04,110.6,110.6,131.64,,2.12,2.57,0,0,4.7,,3.72,14.89,7.54,2.65,28.8,165.14,,,9.22,0.1,0,0,9.32,17.03,0,0,1.05,27.4,,68.7,15.46,38.04,2.24,0.04,13.26,137.74,165.14,,,5.28,,6.41,0,0,0,,0.07,,--,,--,55.52,,--,,--,5.93,,--,0.24
ALPHAGEO,Alphageo (India) Ltd.,,,6.38,6.38,236.61,236.61,242.99,,0,0,0,1.12,1.12,,0,28.51,8.49,0.16,37.15,281.26,,,52.82,0,1.19,0,54.02,13.37,12.31,0,3.08,82.78,,25.67,0.7,82.43,86.64,0,3.04,198.48,281.26,,,6.02,,0,0.06,0.06,0,,0.87,,--,,--,--,,0.42,,--,13.37,,12.27,13.4
ALPSINDUS,Alps Industries Ltd.,,,39.11,211.71,-774.41,-774.41,-562.7,,268.8,0,0,0.07,268.87,,273.19,22.21,17.81,4.41,317.62,46.12,,,2.23,0,0,0,2.23,1.91,0,0.78,0.15,5.05,,0,0,31.45,0.47,0,9.14,41.07,46.12,,,406.42,,4.23,0,0,0,,2.53,,--,,154.62,--,,16.26,,--,1.91,,--,--
AMBICAAGAR,Ambica Agar Ltd.,,,17.18,17.18,85.26,85.26,102.44,,61.89,20.17,0.29,0,82.34,,1.69,24.9,7.77,0,34.36,219.15,,,121.51,0.02,0,0,121.53,7.66,0,0,18.55,147.73,,0,13.1,28.96,1.62,0,27.74,71.41,219.15,,,11.59,,0,0,0,0,,0,,--,,--,--,,--,,--,7.66,,--,--
AMBIKCO,Ambika Cotton Mills Ltd.,,,5.73,5.73,719.14,719.14,724.87,,0,20.29,6.71,0,27,,0,60.25,11.43,0,71.68,823.54,,,227.02,0,0.03,0,227.05,0,0,0,7.79,234.84,,0.44,229.22,45.87,279.56,0,33.62,588.71,823.54,,,151.07,,0,0,0,0,,130.14,,--,,596.27,--,,2.96,,--,--,,0.31,--
AMDIND,AMD Industries Ltd.,,,19.17,19.17,120.96,120.96,140.12,,26.2,3.37,0,1.84,31.4,,60.15,53.73,9.33,0.78,123.99,295.52,,,95.67,0.34,0.36,2.41,98.78,0,0,0,24.19,122.98,,0,82.77,69.67,12.54,0,7.56,172.54,295.52,,,4.53,,0,0,0,0,,"3,534,921.81",,--,,--,"793,756.02",,--,,--,--,,--,--
AMJLAND,AMJ Land Ltd.,,,8.2,8.2,119.51,119.51,127.71,,0,3.38,1.06,0,4.44,,0,0.27,1.93,0,2.19,134.34,,,17.27,0,0,12.15,29.42,50.61,0,0,0.05,80.08,,7.43,14.17,0.05,1.05,30.14,1.43,54.27,134.34,,,0,,0,0,0,0,,0,,--,,--,--,,5.8,,31.72,19.32,,--,--
AMRUTANJAN,Amrutanjan Health Care Ltd.,,,2.92,2.92,262.2,262.2,265.12,,0,0,0.48,6.79,7.27,,0,60.45,12.78,4.24,77.47,349.87,,,27.21,1.25,16.26,0,45.79,5.36,3.64,0,20.43,75.22,,7.52,26,38.26,87.75,0,115.12,274.65,349.87,,,11.39,,0,0,0,0,,9.26,,--,,--,8.34,,2.87,,5.36,--,,7.52,--
ANANTRAJ,Anant Raj Ltd.,,,59.02,59.02,"2,552.41","2,552.41","2,611.43",,865.58,34.66,103.11,1.88,"1,005.22",,60.61,2.55,448.96,0.75,512.87,"4,129.52",,,13.11,0,41.34,"1,130.72","1,185.17",339.72,0,535.51,140.19,"2,200.60",,0,978.91,21.05,18.05,0,910.91,"1,928.92","4,129.52",,,103.42,,0,0,0,0,,0.18,,--,,--,--,,--,,--,339.72,,--,--
ANDHRAPAP,Andhra Paper Ltd.,,,39.77,39.77,"1,054.32","1,054.32","1,094.09",,7.86,81.01,9.69,1.42,99.97,,41.4,162.68,63.9,35.87,303.85,"1,497.92",,,581.83,3.18,7.68,0,592.69,138.23,0,0,41.87,772.79,,244.46,145.09,102.55,54.81,104.39,73.82,725.12,"1,497.92",,,157.17,,0,0,0,0,,18.74,,--,,--,244.04,,1.13,,--,138.23,,--,244.46
ANDHRSUGAR,The Andhra Sugar Ltd.,,,27.11,27.11,"1,245.70","1,245.70","1,272.81",,8.49,80.87,72.99,30.78,193.13,,41.68,59.28,69.36,6.9,177.23,"1,644.98",,,665.11,0.03,68.29,0,733.43,149.17,0,0,52.29,934.89,,125.48,359.93,165.99,29.81,0,28.87,710.08,"1,644.98",,,131.91,,116.04,0,0,10.33,,0.5,,--,,3.69,--,,20.82,,354.12,108.1,,--,125.48
ANIKINDS,Anik Industries Ltd.,,,27.75,27.75,247.93,247.93,275.69,,3.16,0,0,0.26,3.42,,38.76,51.64,277.08,0.14,367.61,646.72,,,15.04,0,0,0,15.04,149.54,20.8,0,12.6,197.98,,0,39.77,106.44,18.57,1.35,282.6,448.74,646.72,,,134.17,,0,0,0,0,,67.22,,--,,--,0.58,,0.43,,0.01,103.3,,--,--
ANKITMETAL,Ankit Metal and Power Ltd.,,,141.11,141.11,-926.29,-926.29,-785.18,,65.66,0,0,4.26,69.92,,"1,074.00",601.26,248.05,11.3,"1,934.62","1,219.36",,,461.49,0,28.4,0,489.89,0.12,0,0,2.02,492.03,,0,596.97,35.54,0.65,0,94.17,727.33,"1,219.36",,,950.25,,0,0,0,0,,0,,--,,--,--,,--,,--,0.07,,--,--
ANTGRAPHIC,Antarctica Ltd.,,,15.5,15.5,1.22,1.22,16.72,,2.9,0,0,0,2.9,,0,0.05,0.27,0,0.32,19.95,,,6.51,2.83,0,0,9.33,0,0.01,0,0.78,10.12,,0,4.5,5.01,0.3,0,0.02,9.83,19.95,,,0.04,,0,0,0,0,,0,,--,,--,--,,0.73,,--,--,,--,--
ANUP,The Anup Engineering Ltd.,,,9.88,9.88,384.57,384.57,394.45,,0,11.65,0,0.33,11.98,,0,41.87,75.96,0.64,118.47,524.9,,,182.91,20.2,12.61,0,215.72,20.16,0,0,8.31,244.19,,0,90.2,124.8,52.76,0,12.97,280.72,524.9,,,175.54,,0,0,0,0,,22.55,,--,,--,47.41,,--,,--,20.16,,--,--
APEX,Apex Frozen Foods Ltd.,,,31.25,31.25,444.18,444.18,475.43,,29.12,0,0,0,29.12,,136.08,20.93,4.13,13.67,174.8,679.35,,,236.05,0,21.87,0,257.92,0,1.33,0,2.63,261.87,,0,202.83,132,7.45,0,75.2,417.48,679.35,,,8.44,,0,0,0,0,,0,,--,,794.3,--,,9,,--,--,,--,--
APLAPOLLO,APL Apollo Tubes Ltd.,,,50.06,50.06,"1,693.46","1,693.46","1,745.09",,172.4,78.19,50.26,11.12,311.97,,215.6,896.7,36.73,0.81,"1,149.84","3,206.90",,,899.29,1.06,42.94,62.51,"1,005.80",754.08,0,0.42,102.82,"1,863.12",,0,673.88,327.97,223.29,1.02,117.62,"1,343.78","3,206.90",,,72.29,,0,0,0,0,,61.74,,--,,--,385.67,,25.95,,0.21,1.06,,--,--
APLLTD,Alembic Pharmaceuticals Ltd.,,,39.31,39.31,"5,251.03","5,251.03","5,290.34",,0,46.4,62.03,95.82,204.25,,629.99,570.21,315.61,63.64,"1,579.45","7,074.04",,,"1,714.72",56.38,"2,205.79",0,"4,075.33",219.36,0,0,34.89,"4,329.58",,0,"1,396.83",988.33,21.9,0,337.4,"2,744.46","7,074.04",,,228.15,,0,0,0,0,,672.76,,--,,--,"2,325.09",,--,,--,219.36,,--,--
APOLLOTYRE,Apollo Tyres Ltd.,,,63.51,63.51,"9,454.96","9,454.96","9,518.47",,"3,531.01",705.33,"1,072.44",49.04,"5,357.82",,855.28,"2,784.31","1,311.87",194.78,"5,146.23","20,022.53",,,"11,785.43",43.9,548.04,0,"12,377.37","2,423.99",0,0,427.66,"15,229.01",,450.61,"2,463.89",995.98,525.43,0,357.61,"4,793.52","20,022.53",,,751.17,,"3,258.12",0,0,720.84,,396.73,,--,,"2,149.59",93.01,,6.31,,0.24,"2,423.75",,450.61,--
APOLSINHOT,Apollo Sindoori Hotels Ltd.,,,1.3,1.3,56.32,56.32,57.62,,0.65,0,7.53,7.76,15.94,,0.15,13.5,11.17,2.65,27.46,101.02,,,13.9,0.01,0,0,13.91,8.55,3.15,1.36,2.74,29.7,,0,2.15,35.67,25.52,2.01,5.96,71.32,101.02,,,5.7,,0,0,0,0,,0.17,,--,,--,--,,--,,--,8.55,,--,--
ARCHIDPLY,Archidply Industries Ltd.,,,19.87,19.87,72.4,72.4,92.27,,0.03,0,0,4.74,4.77,,53.06,37.58,5.53,6.09,102.25,199.29,,,42.68,1.34,0,0,44.02,0.78,1.47,0.09,5.64,51.99,,0,51.21,81.81,4.73,0,9.55,147.3,199.29,,,34.87,,11.15,0,0,0.68,,0,,--,,8.98,--,,--,,--,0.78,,--,--
ARCHIES,Archies Ltd.,,,6.76,6.76,85.17,98.02,104.77,,1.75,0,27.47,1.56,30.78,,23.07,8.77,17.48,0.87,50.19,185.74,,,95.41,0,0.09,0,95.5,0,4.27,0.04,7.86,107.67,,0,64.94,9.19,0.66,0.07,3.2,78.07,185.74,,,0.63,,0,0,0,0,,2.45,,--,,--,7.74,,4.13,,--,--,,--,--
ARCOTECH,Arcotech Ltd.,,,21,23.88,-31.37,-31.37,-7.49,,0,0,0,1.36,1.36,,467.36,0.7,67.69,12.25,548,575,,,159.29,0,0,0,159.29,0.01,99.36,0,8.03,266.69,,0,27.33,215.09,0.16,0,65.71,308.3,575,,,51.56,,0,0,0,0,,0,,--,,--,--,,--,,--,0.01,,--,--
ARENTERP,Rajdarshan Industries Ltd.,,,3.11,3.11,18.32,18.32,21.43,,0,0,0.22,0,0.22,,0,0.03,0.14,0.17,0.34,21.99,,,0.16,0,0,0.16,0.32,9.62,2.13,0,1.33,13.4,,0,0,1.37,2.77,4.32,0.12,8.58,21.99,,,0,,0,0,0,0,,0,,--,,0.3,--,,0.15,,--,2.22,,--,--
ARIES,Aries Agro Ltd.,,,13,13,195.64,195.64,208.65,,16.48,6.01,1.66,2.43,26.59,,87.45,67.69,94.68,1.19,251.01,486.24,,,64.39,0.13,0,0,64.51,20.28,0,0,0,84.79,,0,146.61,105.88,3.09,84.57,61.3,401.45,486.24,,,107.8,,0,0,0,0,,0.2,,--,,--,0.08,,6.6,,--,20.28,,--,--
