Symbol,Company Name,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
3MINDIA,3M India Ltd.,,,11.27,11.27,"2,477.52","2,477.52","2,488.78",,0,0,6.82,50.06,56.88,,0,501.89,155.82,54.01,711.72,"3,257.38",,,290.23,0.56,22.6,0,313.39,504.8,27.35,0.14,188.14,"1,033.81",,0,453.48,488.58,"1,206.54",0.29,74.68,"2,223.56","3,257.38",,,712.85,,0,0,0,0,,"1,395.18",,--,,93.15,--,,--,,--,504.8,,--,--
3PLAND,3p Land Holdings Ltd.,,,3.6,3.6,64.77,64.77,68.37,,0,1.71,0,0,1.71,,0,0,0.04,0,0.04,70.12,,,0.27,0,0,0.38,0.65,0,0,0,0.03,0.67,,54.27,0,0,0.09,15.09,0,69.45,70.12,,,1.83,,0,0,0,0,,0,,--,,--,--,,1.22,,--,--,,--,2.23
63MOONS,63 Moons Technologies Ltd.,,,9.22,9.22,"2,580.98","2,580.98","2,590.20",,0,0,4.68,6.59,11.27,,0,2.3,106.25,6.83,115.38,"2,716.84",,,209.5,3.19,0,104.49,317.18,670.66,84,0.17,214.81,"1,286.82",,231.36,0,5.98,"1,105.64",5.15,81.9,"1,430.03","2,716.84",,,187.74,,0,0,0,0,,2.03,,--,,--,1.18,,--,,--,670.66,,--,231.36
AARTIIND,Aarti Industries Ltd.,,,181.25,181.25,"4,319.78","4,319.78","4,501.03",,929.85,0,238.49,0,"1,168.34",,"1,632.42",343.72,154.5,30.3,"2,160.94","7,830.31",,,"3,635.01",0,"1,260.05",0,"4,938.03",3.29,28.67,0,154.58,"5,124.57",,0,898.57,"1,130.88",167.38,0,508.91,"2,705.74","7,830.31",,,"1,008.90",,634.09,0,0,35.71,,72.38,,--,,"1,915.47",--,,159.21,,--,3.29,,--,--
AARVEEDEN,Aarvee Denim and Exports Ltd.,,,23.46,23.46,102.88,102.88,126.34,,157.3,0,0.85,0.55,158.7,,255.61,76.87,9.72,1.36,343.55,628.59,,,230.52,0.02,1.44,0,231.99,0,24.11,0,1.17,257.27,,0,156.35,166.11,16.31,0,32.56,371.33,628.59,,,31.08,,0,0,0,0,,1.79,,--,,194.8,--,,--,,--,--,,--,--
AAVAS,AAVAS Financiers  Ltd.,,,78.94,78.94,"2,729.30","2,729.30","2,808.24",,"1,809.29",35.36,14.27,4.03,"1,862.94",,"6,163.21",3.68,181.91,0,"6,348.80","11,020.38",,,62.47,3.69,0,0,68.26,0,0,0,15.91,84.18,,67.52,0,0,"1,530.23","9,053.42",285.04,"10,936.21","11,020.38",,,10.32,,0,0,0,0,,22.35,,--,,--,--,,--,,--,--,,--,67.52
ABAN,Aban Offshore Ltd.,,,11.67,11.67,-776.54,-776.54,-764.87,,0,0,0,0,0,,0,301.57,"1,312.26",0,"1,613.83",848.96,,,127.3,0,0,0,127.3,12.86,57.94,29.44,19.84,247.37,,0,72.91,311.03,2.84,52.72,162.09,601.59,848.96,,,"1,666.95",,0,0,0,0,,32.22,,--,,81.35,4.05,,--,,--,12.86,,--,--
ABFRL,Aditya Birla Fashion & Retail Ltd.,,,938.29,938.8,"1,883.69","1,883.69","2,882.63",,756.89,0.0,"2,272.85",90.02,"3,119.76",,449.97,"3,335.62","1,717.00",96.4,"5,598.99","11,601.40",,,"2,848.10","1,903.38",61.04,0.0,"4,812.52",835.12,353.1,3.63,580.08,"6,584.45",,537.42,"2,729.23",754.4,107.92,6.84,881.14,"5,016.95","11,601.40",,,149.97,,0.0,0.0,0.0,0.0,,808.46,,--,,159.54,--,,--,,--,7.32,,537.42,--
ABHISHEK,Abhishek Corporation Ltd.,,,16.01,16.01,-907.16,-907.16,-891.15,,0,0,0,1.99,1.99,,28.63,53.41,878.17,0.72,960.93,71.77,,,54.9,0,2.13,0,57.03,0.04,0,0,1.24,58.3,,0,4.78,2.55,4.49,1.59,0.05,13.46,71.77,,,0,,0,0,0,0,,0,,--,,--,--,,--,,--,--,,--,--
ACCELYA,Accelya Solutions India Ltd.,,,14.93,14.93,241.41,241.41,256.33,,0,0,14.13,5.32,19.44,,0,12.33,44.9,2.8,60.03,335.81,,,47.85,22.97,0.8,0,72.77,47.41,8.85,0,10.78,139.82,,48.22,0,76.97,38.92,0,31.87,195.99,335.81,,,9.33,,0,0,0,0,,26.87,,32.23,,--,293.67,,0.6,,--,47.41,,--,48.22
