Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
ORIENTELEC,Orient Electric Ltd.,,"2,489.16",0,"2,489.16","2,529.17",26.61,"2,555.78",,762.05,"1,028.95",0,33.18,192.6,22.15,53.5,361.41,"2,453.84",101.94,0,101.94,,25.44,0,0.65,0,26.09,75.85,75.85,75.85,,,3.57,3.56,,0,0,,0,0.0,,42.48,0.0,150
ORIENTPPR,Orient Paper and Industries Ltd.,,931.99,0,931.99,942.96,29.14,972.1,,565.45,0,0,0.22,80.18,10.39,33.04,135.15,824.44,147.66,0,147.66,,25.86,0,22.55,0,48.41,99.25,99.25,99.25,,,4.68,4.68,,0,0,,0,0.0,,5.3,0.0,100
ORISSAMINE,Orissa Minerals Development Company Ltd.,,35.53,0,35.53,35.53,9.42,44.95,,0,0,0,-0.5,24.92,24.43,2.23,22.63,73.7,-28.75,1.53,-27.22,,0,0,-10.68,0,-10.68,-16.54,-16.54,-16.54,,,-27.57,-27.57,,0,0,,0,0.0,,0,0.0,0
OSWALGREEN,Oswal Greentech Ltd.,,2.67,0,2.67,20.5,78.38,98.88,,0,0,0,2.79,16.13,1.06,4.08,16.56,40.62,58.25,0,58.25,,16.78,0,2.34,1.25,20.37,37.88,37.88,37.88,,,1.47,1.47,,0,0,,0,0.0,,0,0.0,15
PAGEIND,Page Industries Ltd.,,"4,663.70",0,"4,663.70","4,788.64",14.73,"4,803.37",,"1,488.13","1,425.58",0,-745.73,881.22,41.28,78.09,876.7,"4,045.27",758.1,0,758.1,,187.7,0,-1.88,1.03,186.85,571.25,571.25,571.25,,,512.15,512.15,,0,0,,0,0.0,,290,0.0,"2,500.00"
PAISALO,Paisalo Digital Ltd.,,422.97,0,422.97,422.97,0,422.97,,0,0,0.49,0,32.71,180.35,3.29,33.17,294.55,128.42,-4.59,123.83,,35.42,0,-3.29,0,32.14,91.69,91.69,91.69,,,2.06,2.06,,0,0,,0,0.0,,4.59,0.0,10
PALASHSECU,Palash Securities Ltd.,,4.84,0,4.84,4.84,0.38,5.22,,0,0,0.07,0,0,0.11,0.02,0.34,0.55,4.68,0,4.68,,0.41,0,0,0,0.41,4.26,4.26,4.26,,,4.26,4.26,,0,0,,0,0.0,,0,0.0,0
PANACHE,Panache Digilife Ltd.,,111.8,0,111.8,111.8,1.43,113.23,,98.1,0,0,0.79,3.61,3.93,0.79,3.7,110.92,2.31,0,2.31,,0.34,0,0.12,0,0.46,1.85,1.85,1.85,,,1.54,1.54,,0,0,,0,0.0,,0,0.0,0
PANAMAPET,Panama Petrochem Ltd.,,"1,708.24",0,"1,708.24","1,708.24",6.22,"1,714.46",,"1,304.11",24.39,0,1.05,21.03,10.1,6.1,105.53,"1,472.31",242.15,0,242.15,,60,0,1.7,-0.12,61.58,180.57,180.57,180.57,,,29.85,29.85,,0,0,,0,0.0,,54.44,0.0,400
PARACABLES,Paramount Communications Ltd.,,789.69,0,789.69,796.47,16.25,812.72,,586.12,0,0,-2.65,21.49,7.18,9.26,143.56,764.95,47.77,0,47.77,,0,0,0,0,0,47.77,47.77,47.77,,,2.4,2.4,,0,0,,0,0.0,,0,0.0,0
